
Volume Inside Img=1
 ==================== 
Distance to Surface,Volume Inside,Unit,Collection,Image,Time,ID,
-2.244,9.80933,µm^3,Volume Inside,Image 1,1,,
-2.108,25.1065,µm^3,Volume Inside,Image 1,1,,
-1.972,38.3513,µm^3,Volume Inside,Image 1,1,,
-1.836,53.0535,µm^3,Volume Inside,Image 1,1,,
-1.7,63.3263,µm^3,Volume Inside,Image 1,1,,
-1.564,78.1943,µm^3,Volume Inside,Image 1,1,,
-1.428,86.6143,µm^3,Volume Inside,Image 1,1,,
-1.292,101.859,µm^3,Volume Inside,Image 1,1,,
-1.156,122.772,µm^3,Volume Inside,Image 1,1,,
-1.02,129.724,µm^3,Volume Inside,Image 1,1,,
-0.884,143.647,µm^3,Volume Inside,Image 1,1,,
-0.748,164.987,µm^3,Volume Inside,Image 1,1,,
-0.612,168.277,µm^3,Volume Inside,Image 1,1,,
-0.476,182.716,µm^3,Volume Inside,Image 1,1,,
-0.34,205.13,µm^3,Volume Inside,Image 1,1,,
-0.204,200.911,µm^3,Volume Inside,Image 1,1,,
-0.0680001,203.786,µm^3,Volume Inside,Image 1,1,,
