
Spine Part Max Diameter
 ==================== 
Spine Part Max Diameter Ground,Spine Part Max Diameter Head,Spine Part Max Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.449025,0.205198,0.267597,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000001381,
0.294543,0.175689,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000001391,
0.324668,0.306725,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000001412,
0.261256,0.529817,0.42304,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000001423,
0.33735,0.324624,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000001448,
0.770397,0.770397,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000001452,
0.42551,0.33375,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000001466,
0.245544,0.219308,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000001485,
0.550152,0.48362,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000001487,
0.306725,0.278354,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000001493,
0.550152,0.208216,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000001496,
0.380118,0.277473,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000001514,
0.35787,0.35787,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000001516,
0.463584,0.284084,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000001531,
0.277473,0.277473,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000001544,
0.383597,0.32359,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000001589,
0.389122,0.34122,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000001590,
0.461539,0.461539,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000001591,
0.500766,0.500766,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000001592,
0.555797,0.40382,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000001593,
0.502828,0.26688,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000001594,
0.390684,0.162334,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000001620,
0.409441,0.360829,0.272279,µm,Spine,Spine Part Max Diameter,1,1,1,100000002,610000001363,
0.409441,0.360829,0.286206,µm,Spine,Spine Part Max Diameter,1,1,1,100000002,610000001389,
0.272279,0.360829,0.286206,µm,Spine,Spine Part Max Diameter,1,1,1,100000002,610000001401,
1.15462,0.28354,0.439591,µm,Spine,Spine Part Max Diameter,1,1,1,100000000,610000001407,
0.380073,0.380073,0,µm,Spine,Spine Part Max Diameter,1,1,1,100000002,610000001415,
0.969231,0.445444,0,µm,Spine,Spine Part Max Diameter,1,1,1,100000000,610000001437,
0.35891,0.564526,0.390982,µm,Spine,Spine Part Max Diameter,1,1,1,100000002,610000001444,
0.446894,0.314721,0.272427,µm,Spine,Spine Part Max Diameter,1,1,1,100000002,610000001461,
0.286206,0.360829,0.324668,µm,Spine,Spine Part Max Diameter,1,1,1,100000002,610000001475,
0.969231,0.445444,0.758795,µm,Spine,Spine Part Max Diameter,1,1,1,100000000,610000001482,
