
Spine Part Volume Neck
 ==================== 
Spine Part Volume Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.0130332,µm^3,Spine,Spine Part Volume,2,3,1,100000002,610000001343,
0.0131424,µm^3,Spine,Spine Part Volume,2,3,1,100000002,610000001354,
0.0165689,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000001363,
0,µm^3,Spine,Spine Part Volume,2,3,1,100000002,610000001367,
0,µm^3,Spine,Spine Part Volume,6,2,1,100000000,610000001371,
0,µm^3,Spine,Spine Part Volume,6,3,1,100000000,610000001375,
0,µm^3,Spine,Spine Part Volume,6,2,1,100000000,610000001378,
0.0055537,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000001381,
0.0261059,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000001389,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000001391,
0,µm^3,Spine,Spine Part Volume,2,1,1,100000001,610000001395,
0.0111928,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000001401,
0.0218768,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000001407,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000001412,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000001415,
0.0369947,µm^3,Spine,Spine Part Volume,6,2,1,100000000,610000001419,
0.0216418,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000001423,
0.00835747,µm^3,Spine,Spine Part Volume,6,2,1,100000000,610000001426,
0.00761114,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000001429,
0,µm^3,Spine,Spine Part Volume,6,2,1,100000000,610000001431,
0,µm^3,Spine,Spine Part Volume,2,1,1,100000001,610000001433,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000001437,
0,µm^3,Spine,Spine Part Volume,6,2,1,100000000,610000001439,
0.023097,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000001444,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000001448,
0,µm^3,Spine,Spine Part Volume,2,2,1,100000002,610000001450,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000001452,
0,µm^3,Spine,Spine Part Volume,6,2,1,100000000,610000001454,
0,µm^3,Spine,Spine Part Volume,6,2,1,100000000,610000001456,
0.0100256,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000001461,
0,µm^3,Spine,Spine Part Volume,2,3,1,100000002,610000001463,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000001466,
0.0182451,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000001469,
0,µm^3,Spine,Spine Part Volume,6,3,1,100000001,610000001471,
0.0124258,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000001475,
0,µm^3,Spine,Spine Part Volume,6,2,1,100000000,610000001479,
0.0540766,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000001482,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000001485,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001487,
0,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000001490,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000001493,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001496,
0,µm^3,Spine,Spine Part Volume,6,2,1,100000000,610000001500,
0.050805,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000001505,
0,µm^3,Spine,Spine Part Volume,8,5,1,100000001,610000001509,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000001514,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000001516,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000001522,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000001525,
0,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000001527,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000001531,
0,µm^3,Spine,Spine Part Volume,10,4,1,100000001,610000001536,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000001538,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000001544,
0,µm^3,Spine,Spine Part Volume,6,3,1,100000000,610000001547,
0,µm^3,Spine,Spine Part Volume,5,2,1,100000001,610000001556,
0,µm^3,Spine,Spine Part Volume,6,2,1,100000000,610000001561,
0,µm^3,Spine,Spine Part Volume,6,2,1,100000000,610000001581,
0,µm^3,Spine,Spine Part Volume,6,2,1,100000000,610000001582,
0,µm^3,Spine,Spine Part Volume,5,2,1,100000000,610000001583,
0,µm^3,Spine,Spine Part Volume,5,2,1,100000000,610000001584,
0,µm^3,Spine,Spine Part Volume,4,3,1,100000000,610000001585,
0,µm^3,Spine,Spine Part Volume,4,3,1,100000000,610000001586,
0,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000001587,
0,µm^3,Spine,Spine Part Volume,2,2,1,100000000,610000001588,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001589,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001590,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001591,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001592,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001593,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001594,
0,µm^3,Spine,Spine Part Volume,9,4,1,100000001,610000001605,
0,µm^3,Spine,Spine Part Volume,8,4,1,100000001,610000001606,
0,µm^3,Spine,Spine Part Volume,4,1,1,100000001,610000001607,
0,µm^3,Spine,Spine Part Volume,7,4,1,100000001,610000001608,
0,µm^3,Spine,Spine Part Volume,10,4,1,100000001,610000001609,
0,µm^3,Spine,Spine Part Volume,5,2,1,100000001,610000001610,
0,µm^3,Spine,Spine Part Volume,5,2,1,100000001,610000001611,
0,µm^3,Spine,Spine Part Volume,5,3,1,100000001,610000001612,
0,µm^3,Spine,Spine Part Volume,4,2,1,100000001,610000001613,
0,µm^3,Spine,Spine Part Volume,3,1,1,100000001,610000001614,
0,µm^3,Spine,Spine Part Volume,3,1,1,100000001,610000001615,
0,µm^3,Spine,Spine Part Volume,3,1,1,100000001,610000001616,
0,µm^3,Spine,Spine Part Volume,3,1,1,100000001,610000001617,
0,µm^3,Spine,Spine Part Volume,2,1,1,100000001,610000001618,
0,µm^3,Spine,Spine Part Volume,2,1,1,100000001,610000001619,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000001620,
0,µm^3,Spine,Spine Part Volume,2,3,1,100000002,610000001631,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000001640,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000001641,
