
Segment Intensity Mean Ch=1 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0.355236,,Segment,1,9,Image 1,4,1,100000001,510000000045,
0.476048,,Segment,1,8,Image 1,4,1,100000001,510000000062,
0.397849,,Segment,1,7,Image 1,3,1,100000001,510000000071,
0.816794,,Segment,1,6,Image 1,2,1,100000001,510000000092,
1.06918,,Segment,1,5,Image 1,1,1,100000001,510000000105,
0.458689,,Segment,1,4,Image 1,1,1,100000001,510000000112,
0.466125,,Segment,1,3,Image 1,1,1,100000001,510000000138,
0.611688,,Segment,1,2,Image 1,1,1,100000001,510000000171,
0.448413,,Segment,1,1,Image 1,1,1,100000001,510000000176,
0.492424,,Segment,1,0,Image 1,1,1,100000001,510000000180,
0.470588,,Segment,1,9,Image 1,5,1,100000001,510000000201,
0.272401,,Segment,1,8,Image 1,3,1,100000001,510000000216,
0.392157,,Segment,1,7,Image 1,2,1,100000001,510000000224,
1.6085,,Segment,1,6,Image 1,2,1,100000000,510000000296,
0.723636,,Segment,1,5,Image 1,2,1,100000000,510000000302,
1.07692,,Segment,1,3,Image 1,2,1,100000000,510000000306,
1.68362,,Segment,1,2,Image 1,1,1,100000000,510000000313,
2.34202,,Segment,1,1,Image 1,1,1,100000000,510000000316,
2.36022,,Segment,1,0,Image 1,1,1,100000000,510000000355,
10.3579,,Segment,1,4,Image 1,3,1,100000000,510000000431,
1.00929,,Segment,1,5,Image 1,3,1,100000000,510000000445,
4.36614,,Segment,1,4,Image 1,2,1,100000000,510000000453,
2.85357,,Segment,1,3,Image 1,1,1,100000000,510000000461,
0.71179,,Segment,1,6,Image 1,3,1,100000000,510000000472,
1.76515,,Segment,1,2,Image 1,3,1,100000000,510000000478,
2.48548,,Segment,1,1,Image 1,2,1,100000000,510000000482,
8.52966,,Segment,1,2,Image 1,2,1,100000000,510000000484,
2.3964,,Segment,1,2,Image 1,2,1,100000000,510000000488,
0.446809,,Segment,1,9,Image 1,4,1,100000001,510000000500,
0.722944,,Segment,1,7,Image 1,4,1,100000001,510000000503,
0.446864,,Segment,1,6,Image 1,3,1,100000001,510000000564,
0.586283,,Segment,1,5,Image 1,2,1,100000001,510000000581,
1.11895,,Segment,1,4,Image 1,2,1,100000001,510000000595,
0.363636,,Segment,1,9,Image 1,5,1,100000001,510000000607,
0.439655,,Segment,1,8,Image 1,4,1,100000001,510000000610,
0.670588,,Segment,1,7,Image 1,3,1,100000001,510000000613,
0.673797,,Segment,1,8,Image 1,5,1,100000001,510000000630,
0.598131,,Segment,1,10,Image 1,4,1,100000001,510000000646,
0.421569,,Segment,1,9,Image 1,4,1,100000001,510000000648,
1.31481,,Segment,1,10,Image 1,5,1,100000001,510000000653,
0.479592,,Segment,1,9,Image 1,5,1,100000001,510000000656,
0.513333,,Segment,1,8,Image 1,3,1,100000001,510000000659,
6.26446,,Segment,1,2,Image 1,3,1,100000002,510000000667,
1.40336,,Segment,1,1,Image 1,2,1,100000002,510000000674,
2.84573,,Segment,1,0,Image 1,1,1,100000002,510000000748,
4.704,,Segment,1,2,Image 1,2,1,100000002,510000000785,
1.39474,,Segment,1,6,Image 1,1,1,100000001,510000000789,
0.430493,,Segment,1,6,Image 1,3,1,100000001,510000000795,
0.423077,,Segment,1,6,Image 1,2,1,100000001,510000000797,
0.40625,,Segment,1,6,Image 1,3,1,100000001,510000000803,
3.52809,,Segment,1,5,Image 1,3,1,100000001,510000000811,
0.375,,Segment,1,6,Image 1,2,1,100000001,510000000814,
1.50877,,Segment,1,4,Image 1,3,1,100000001,510000000823,
0.533333,,Segment,1,3,Image 1,2,1,100000001,510000000832,
0.356757,,Segment,1,4,Image 1,2,1,100000001,510000000836,
0.621145,,Segment,1,0,Image 1,1,1,100000001,510000000849,
0.681818,,Segment,1,0,Image 1,1,1,100000002,510000000882,
0.807377,,Segment,1,2,Image 1,1,1,100000001,510000000918,
1.2485,,Segment,1,1,Image 1,1,1,100000001,510000000924,
0.646272,,Segment,1,0,Image 1,1,1,100000001,510000000951,
0.482014,,Segment,1,1,Image 1,2,1,100000001,510000000962,
0.4375,,Segment,1,0,Image 1,1,1,100000001,510000000968,
0.365079,,Segment,1,1,Image 1,1,1,100000001,510000001023,
0.605505,,Segment,1,2,Image 1,2,1,100000001,510000001027,
0.95098,,Segment,1,1,Image 1,2,1,100000002,510000001037,
1.0597,,Segment,1,0,Image 1,1,1,100000002,510000001054,
0.907216,,Segment,1,2,Image 1,2,1,100000001,510000001056,
0.862745,,Segment,1,2,Image 1,1,1,100000002,510000001084,
0.70632,,Segment,1,1,Image 1,1,1,100000002,510000001089,
0.713043,,Segment,1,2,Image 1,2,1,100000002,510000001096,
0.57,,Segment,1,1,Image 1,2,1,100000001,510000001116,
0.592275,,Segment,1,1,Image 1,2,1,100000001,510000001174,
0.911392,,Segment,1,4,Image 1,2,1,100000000,510000001201,
4.62366,,Segment,1,4,Image 1,1,1,100000000,510000001202,
0.440367,,Segment,1,5,Image 1,2,1,100000001,510000001203,
0.551282,,Segment,1,8,Image 1,4,1,100000001,510000001204,
1.47692,,Segment,1,1,Image 1,1,1,100000002,510000001206,
