
Soma Position
 ==================== 
Soma Position X,Soma Position Y,Soma Position Z,Unit,Category,Collection,Time,FilamentID,ID,
-15320.9,22336.1,1440.11,µm,Soma,Soma Position,1,100000000,800000000,
-15306.5,22362,1440.33,µm,Soma,Soma Position,1,100000001,800000001,
-15310,22365,1442.81,µm,Soma,Soma Position,1,100000002,800000002,
