
Spine Intensity Min Ch=2 Img=1
 ==================== 
Spine Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2,,Spine,2,2,Image 1,3,1,100000002,610000001343,
2,,Spine,2,2,Image 1,3,1,100000002,610000001354,
3,,Spine,2,1,Image 1,1,1,100000002,610000001363,
4,,Spine,2,2,Image 1,3,1,100000002,610000001367,
6,,Spine,2,6,Image 1,2,1,100000000,610000001371,
2,,Spine,2,6,Image 1,3,1,100000000,610000001375,
5,,Spine,2,6,Image 1,2,1,100000000,610000001378,
3,,Spine,2,0,Image 1,1,1,100000002,610000001381,
3,,Spine,2,1,Image 1,1,1,100000002,610000001389,
3,,Spine,2,0,Image 1,1,1,100000001,610000001391,
2,,Spine,2,2,Image 1,1,1,100000001,610000001395,
9,,Spine,2,1,Image 1,1,1,100000002,610000001401,
0,,Spine,2,1,Image 1,1,1,100000000,610000001407,
8,,Spine,2,2,Image 1,1,1,100000001,610000001412,
1,,Spine,2,1,Image 1,1,1,100000002,610000001415,
1,,Spine,2,6,Image 1,2,1,100000000,610000001419,
9,,Spine,2,2,Image 1,1,1,100000001,610000001423,
5,,Spine,2,6,Image 1,2,1,100000000,610000001426,
4,,Spine,2,3,Image 1,1,1,100000000,610000001429,
2,,Spine,2,6,Image 1,2,1,100000000,610000001431,
4,,Spine,2,2,Image 1,1,1,100000001,610000001433,
4,,Spine,2,1,Image 1,1,1,100000000,610000001437,
7,,Spine,2,6,Image 1,2,1,100000000,610000001439,
8,,Spine,2,1,Image 1,1,1,100000002,610000001444,
10,,Spine,2,2,Image 1,1,1,100000001,610000001448,
9,,Spine,2,2,Image 1,2,1,100000002,610000001450,
1,,Spine,2,2,Image 1,1,1,100000001,610000001452,
6,,Spine,2,6,Image 1,2,1,100000000,610000001454,
4,,Spine,2,6,Image 1,2,1,100000000,610000001456,
5,,Spine,2,1,Image 1,1,1,100000002,610000001461,
4,,Spine,2,2,Image 1,3,1,100000002,610000001463,
9,,Spine,2,2,Image 1,1,1,100000001,610000001466,
4,,Spine,2,3,Image 1,1,1,100000000,610000001469,
4,,Spine,2,6,Image 1,3,1,100000001,610000001471,
13,,Spine,2,1,Image 1,1,1,100000002,610000001475,
6,,Spine,2,6,Image 1,2,1,100000000,610000001479,
4,,Spine,2,1,Image 1,1,1,100000000,610000001482,
19,,Spine,2,2,Image 1,1,1,100000001,610000001485,
0,,Spine,2,0,Image 1,1,1,100000000,610000001487,
4,,Spine,2,2,Image 1,1,1,100000000,610000001490,
21,,Spine,2,2,Image 1,1,1,100000001,610000001493,
18,,Spine,2,0,Image 1,1,1,100000000,610000001496,
7,,Spine,2,6,Image 1,2,1,100000000,610000001500,
5,,Spine,2,1,Image 1,1,1,100000000,610000001505,
6,,Spine,2,8,Image 1,5,1,100000001,610000001509,
16,,Spine,2,2,Image 1,1,1,100000001,610000001514,
10,,Spine,2,2,Image 1,1,1,100000001,610000001516,
14,,Spine,2,1,Image 1,1,1,100000002,610000001522,
1,,Spine,2,1,Image 1,1,1,100000002,610000001525,
2,,Spine,2,2,Image 1,1,1,100000000,610000001527,
15,,Spine,2,0,Image 1,1,1,100000001,610000001531,
3,,Spine,2,10,Image 1,4,1,100000001,610000001536,
12,,Spine,2,1,Image 1,1,1,100000002,610000001538,
19,,Spine,2,2,Image 1,1,1,100000001,610000001544,
4,,Spine,2,6,Image 1,3,1,100000000,610000001547,
9,,Spine,2,5,Image 1,2,1,100000001,610000001556,
1,,Spine,2,6,Image 1,2,1,100000000,610000001561,
1,,Spine,2,6,Image 1,2,1,100000000,610000001581,
9,,Spine,2,6,Image 1,2,1,100000000,610000001582,
11,,Spine,2,5,Image 1,2,1,100000000,610000001583,
7,,Spine,2,5,Image 1,2,1,100000000,610000001584,
10,,Spine,2,4,Image 1,3,1,100000000,610000001585,
6,,Spine,2,4,Image 1,3,1,100000000,610000001586,
3,,Spine,2,3,Image 1,1,1,100000000,610000001587,
5,,Spine,2,2,Image 1,2,1,100000000,610000001588,
13,,Spine,2,0,Image 1,1,1,100000000,610000001589,
10,,Spine,2,0,Image 1,1,1,100000000,610000001590,
3,,Spine,2,0,Image 1,1,1,100000000,610000001591,
5,,Spine,2,0,Image 1,1,1,100000000,610000001592,
4,,Spine,2,0,Image 1,1,1,100000000,610000001593,
7,,Spine,2,0,Image 1,1,1,100000000,610000001594,
1,,Spine,2,9,Image 1,4,1,100000001,610000001605,
8,,Spine,2,8,Image 1,4,1,100000001,610000001606,
4,,Spine,2,4,Image 1,1,1,100000001,610000001607,
3,,Spine,2,7,Image 1,4,1,100000001,610000001608,
3,,Spine,2,10,Image 1,4,1,100000001,610000001609,
6,,Spine,2,5,Image 1,2,1,100000001,610000001610,
5,,Spine,2,5,Image 1,2,1,100000001,610000001611,
7,,Spine,2,5,Image 1,3,1,100000001,610000001612,
1,,Spine,2,4,Image 1,2,1,100000001,610000001613,
5,,Spine,2,3,Image 1,1,1,100000001,610000001614,
7,,Spine,2,3,Image 1,1,1,100000001,610000001615,
5,,Spine,2,3,Image 1,1,1,100000001,610000001616,
9,,Spine,2,3,Image 1,1,1,100000001,610000001617,
4,,Spine,2,2,Image 1,1,1,100000001,610000001618,
7,,Spine,2,2,Image 1,1,1,100000001,610000001619,
1,,Spine,2,0,Image 1,1,1,100000001,610000001620,
10,,Spine,2,2,Image 1,3,1,100000002,610000001631,
9,,Spine,2,1,Image 1,1,1,100000002,610000001640,
11,,Spine,2,1,Image 1,1,1,100000002,610000001641,
