
Soma Ellipsoid Axis Length B
 ==================== 
Soma Ellipsoid Axis Length B,Unit,Category,Time,FilamentID,ID,
3.43166,µm,Soma,1,100000000,800000000,
3.05503,µm,Soma,1,100000001,800000001,
