
Segment Length
 ==================== 
Segment Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
28.8925,µm,Segment,2,2,1,100000000,510000000119,
9.91076,µm,Segment,1,1,1,100000000,510000000150,
5.35853,µm,Segment,0,1,1,100000000,510000000180,
5.06271,µm,Segment,4,3,1,100000000,510000000203,
11.517,µm,Segment,3,2,1,100000000,510000000246,
2.57069,µm,Segment,2,2,1,100000000,510000000254,
9.85308,µm,Segment,1,2,1,100000000,510000000292,
3.20308,µm,Segment,0,1,1,100000000,510000000308,
14.5147,µm,Segment,4,3,1,100000000,510000000369,
6.4557,µm,Segment,2,2,1,100000000,510000000394,
14.7548,µm,Segment,1,2,1,100000000,510000000452,
1.05275,µm,Segment,0,1,1,100000000,510000000470,
13.6889,µm,Segment,8,2,1,100000000,510000000504,
1.34305,µm,Segment,7,2,1,100000000,510000000509,
4.38117,µm,Segment,6,2,1,100000000,510000000526,
7.58389,µm,Segment,5,2,1,100000000,510000000547,
15.2155,µm,Segment,4,2,1,100000000,510000000592,
14.0518,µm,Segment,3,3,1,100000000,510000000649,
4.06254,µm,Segment,6,3,1,100000000,510000000659,
5.91806,µm,Segment,8,3,1,100000000,510000000674,
2.27041,µm,Segment,7,3,1,100000000,510000000677,
16.9984,µm,Segment,4,4,1,100000000,510000000721,
1.5556,µm,Segment,3,3,1,100000000,510000000725,
3.14596,µm,Segment,2,3,1,100000000,510000000733,
3.07354,µm,Segment,5,3,1,100000000,510000000737,
11.2271,µm,Segment,6,2,1,100000001,510000000762,
5.17056,µm,Segment,5,1,1,100000001,510000000777,
5.35936,µm,Segment,4,1,1,100000001,510000000793,
5.35438,µm,Segment,3,1,1,100000001,510000000807,
6.63967,µm,Segment,2,1,1,100000001,510000000829,
0.915437,µm,Segment,1,1,1,100000001,510000000832,
10.7482,µm,Segment,0,1,1,100000001,510000000884,
13.4209,µm,Segment,1,1,1,100000000,510000000947,
3.72678,µm,Segment,2,3,1,100000000,510000000956,
6.04837,µm,Segment,4,2,1,100000000,510000000969,
13.4568,µm,Segment,4,3,1,100000000,510000000995,
4.52356,µm,Segment,3,3,1,100000000,510000001004,
16.731,µm,Segment,0,1,1,100000000,510000001066,
4.3782,µm,Segment,4,2,1,100000001,510000001085,
4.885,µm,Segment,5,6,1,100000000,510000001100,
4.13637,µm,Segment,4,5,1,100000000,510000001115,
6.83232,µm,Segment,3,4,1,100000000,510000001136,
4.02062,µm,Segment,5,5,1,100000000,510000001146,
3.65673,µm,Segment,4,1,1,100000000,510000001159,
6.53106,µm,Segment,3,1,1,100000000,510000001182,
3.07896,µm,Segment,2,1,1,100000000,510000001189,
3.26806,µm,Segment,4,2,1,100000000,510000001197,
5.6911,µm,Segment,6,1,1,100000001,510000001211,
19.9044,µm,Segment,3,2,1,100000001,510000001275,
2.74433,µm,Segment,2,1,1,100000001,510000001280,
4.78058,µm,Segment,1,1,1,100000001,510000001292,
3.49956,µm,Segment,0,1,1,100000001,510000001310,
2.30412,µm,Segment,3,2,1,100000000,510000001314,
3.29937,µm,Segment,4,4,1,100000000,510000001319,
3.13952,µm,Segment,6,3,1,100000001,510000001325,
1.27088,µm,Segment,5,2,1,100000001,510000001327,
2.9393,µm,Segment,6,2,1,100000001,510000001331,
4.88865,µm,Segment,2,3,1,100000001,510000001344,
8.08196,µm,Segment,1,2,1,100000001,510000001373,
0.691078,µm,Segment,0,1,1,100000001,510000001376,
5.2585,µm,Segment,4,3,1,100000001,510000001409,
3.86174,µm,Segment,3,2,1,100000001,510000001417,
3.43994,µm,Segment,4,2,1,100000001,510000001425,
2.92801,µm,Segment,3,3,1,100000001,510000001429,
6.90213,µm,Segment,2,2,1,100000001,510000001446,
1.42022,µm,Segment,3,2,1,100000001,510000001449,
4.7851,µm,Segment,3,2,1,100000001,510000001458,
6.86532,µm,Segment,2,1,1,100000001,510000001480,
2.71621,µm,Segment,1,1,1,100000001,510000001484,
4.61247,µm,Segment,1,2,1,100000000,510000001499,
8.88496,µm,Segment,3,3,1,100000001,510000001527,
4.06023,µm,Segment,2,2,1,100000001,510000001536,
8.70061,µm,Segment,2,2,1,100000001,510000001556,
3.21934,µm,Segment,0,1,1,100000000,510000001572,
5.49033,µm,Segment,4,2,1,100000001,510000001598,
5.84184,µm,Segment,3,1,1,100000001,510000001615,
2.46455,µm,Segment,4,1,1,100000001,510000001622,
1.24756,µm,Segment,1,2,1,100000001,510000001624,
1.51488,µm,Segment,4,3,1,100000001,510000001629,
1.39152,µm,Segment,3,2,1,100000001,510000001631,
3.18132,µm,Segment,4,2,1,100000001,510000001636,
2.75056,µm,Segment,3,1,1,100000001,510000001643,
6.46011,µm,Segment,1,1,1,100000000,510000001661,
6.30849,µm,Segment,0,1,1,100000001,510000001684,
1.42968,µm,Segment,0,1,1,100000000,510000001696,
10.595,µm,Segment,0,1,1,100000001,510000001723,
1.07888,µm,Segment,2,2,1,100000001,510000001734,
2.11182,µm,Segment,1,2,1,100000001,510000001737,
2.62035,µm,Segment,0,1,1,100000001,510000001747,
1.12695,µm,Segment,0,1,1,100000001,510000001765,
1.44615,µm,Segment,2,2,1,100000001,510000001768,
3.10804,µm,Segment,0,1,1,100000001,510000001787,
0.198456,µm,Segment,3,2,1,100000000,510000001790,
0.977044,µm,Segment,2,3,1,100000001,510000001795,
