
Intensity Sum of Square Ch=6 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
1.48092e+07,,Surface,6,Image 1,1,0,
4.43279e+07,,Surface,6,Image 1,1,1,
