
Segment No. Spines
 ==================== 
Segment No. Spines,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,,Segment,2,2,1,100000000,510000000119,
0,,Segment,1,1,1,100000000,510000000150,
0,,Segment,0,1,1,100000000,510000000180,
0,,Segment,4,3,1,100000000,510000000203,
2,,Segment,3,2,1,100000000,510000000246,
0,,Segment,2,2,1,100000000,510000000254,
0,,Segment,1,2,1,100000000,510000000292,
2,,Segment,0,1,1,100000000,510000000308,
2,,Segment,4,3,1,100000000,510000000369,
0,,Segment,2,2,1,100000000,510000000394,
0,,Segment,1,2,1,100000000,510000000452,
0,,Segment,0,1,1,100000000,510000000470,
1,,Segment,8,2,1,100000000,510000000504,
0,,Segment,7,2,1,100000000,510000000509,
0,,Segment,6,2,1,100000000,510000000526,
7,,Segment,5,2,1,100000000,510000000547,
1,,Segment,4,2,1,100000000,510000000592,
0,,Segment,3,3,1,100000000,510000000649,
0,,Segment,6,3,1,100000000,510000000659,
0,,Segment,8,3,1,100000000,510000000674,
0,,Segment,7,3,1,100000000,510000000677,
1,,Segment,4,4,1,100000000,510000000721,
0,,Segment,3,3,1,100000000,510000000725,
0,,Segment,2,3,1,100000000,510000000733,
0,,Segment,5,3,1,100000000,510000000737,
1,,Segment,6,2,1,100000001,510000000762,
1,,Segment,5,1,1,100000001,510000000777,
4,,Segment,4,1,1,100000001,510000000793,
0,,Segment,3,1,1,100000001,510000000807,
1,,Segment,2,1,1,100000001,510000000829,
0,,Segment,1,1,1,100000001,510000000832,
1,,Segment,0,1,1,100000001,510000000884,
0,,Segment,1,1,1,100000000,510000000947,
0,,Segment,2,3,1,100000000,510000000956,
0,,Segment,4,2,1,100000000,510000000969,
3,,Segment,4,3,1,100000000,510000000995,
3,,Segment,3,3,1,100000000,510000001004,
4,,Segment,0,1,1,100000000,510000001066,
0,,Segment,4,2,1,100000001,510000001085,
0,,Segment,5,6,1,100000000,510000001100,
0,,Segment,4,5,1,100000000,510000001115,
0,,Segment,3,4,1,100000000,510000001136,
2,,Segment,5,5,1,100000000,510000001146,
0,,Segment,4,1,1,100000000,510000001159,
0,,Segment,3,1,1,100000000,510000001182,
0,,Segment,2,1,1,100000000,510000001189,
2,,Segment,4,2,1,100000000,510000001197,
0,,Segment,6,1,1,100000001,510000001211,
8,,Segment,3,2,1,100000001,510000001275,
0,,Segment,2,1,1,100000001,510000001280,
1,,Segment,1,1,1,100000001,510000001292,
2,,Segment,0,1,1,100000001,510000001310,
1,,Segment,3,2,1,100000000,510000001314,
0,,Segment,4,4,1,100000000,510000001319,
0,,Segment,6,3,1,100000001,510000001325,
0,,Segment,5,2,1,100000001,510000001327,
0,,Segment,6,2,1,100000001,510000001331,
0,,Segment,2,3,1,100000001,510000001344,
1,,Segment,1,2,1,100000001,510000001373,
0,,Segment,0,1,1,100000001,510000001376,
0,,Segment,4,3,1,100000001,510000001409,
0,,Segment,3,2,1,100000001,510000001417,
0,,Segment,4,2,1,100000001,510000001425,
0,,Segment,3,3,1,100000001,510000001429,
2,,Segment,2,2,1,100000001,510000001446,
0,,Segment,3,2,1,100000001,510000001449,
0,,Segment,3,2,1,100000001,510000001458,
3,,Segment,2,1,1,100000001,510000001480,
2,,Segment,1,1,1,100000001,510000001484,
1,,Segment,1,2,1,100000000,510000001499,
0,,Segment,3,3,1,100000001,510000001527,
0,,Segment,2,2,1,100000001,510000001536,
0,,Segment,2,2,1,100000001,510000001556,
0,,Segment,0,1,1,100000000,510000001572,
0,,Segment,4,2,1,100000001,510000001598,
1,,Segment,3,1,1,100000001,510000001615,
0,,Segment,4,1,1,100000001,510000001622,
0,,Segment,1,2,1,100000001,510000001624,
0,,Segment,4,3,1,100000001,510000001629,
0,,Segment,3,2,1,100000001,510000001631,
0,,Segment,4,2,1,100000001,510000001636,
0,,Segment,3,1,1,100000001,510000001643,
0,,Segment,1,1,1,100000000,510000001661,
0,,Segment,0,1,1,100000001,510000001684,
0,,Segment,0,1,1,100000000,510000001696,
6,,Segment,0,1,1,100000001,510000001723,
0,,Segment,2,2,1,100000001,510000001734,
0,,Segment,1,2,1,100000001,510000001737,
0,,Segment,0,1,1,100000001,510000001747,
0,,Segment,0,1,1,100000001,510000001765,
0,,Segment,2,2,1,100000001,510000001768,
2,,Segment,0,1,1,100000001,510000001787,
0,,Segment,3,2,1,100000000,510000001790,
0,,Segment,2,3,1,100000001,510000001795,
