
Soma Center of Image Mass Ch=2 Img=1
 ==================== 
Soma Center of Image Mass X,Soma Center of Image Mass Y,Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
1129.78,22601,1376.38,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1075.84,22553.5,1381.62,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
