
Segment Branch Depth
 ==================== 
Segment Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
9,,Segment,9,5,1,100000000,510000000022,
8,,Segment,8,5,1,100000000,510000000061,
7,,Segment,7,5,1,100000000,510000000070,
6,,Segment,6,5,1,100000000,510000000099,
5,,Segment,5,4,1,100000000,510000000186,
4,,Segment,4,3,1,100000000,510000000229,
3,,Segment,3,3,1,100000000,510000000233,
2,,Segment,2,2,1,100000000,510000000255,
1,,Segment,1,1,1,100000000,510000000257,
0,,Segment,0,1,1,100000000,510000000288,
9,,Segment,9,6,1,100000000,510000000299,
8,,Segment,8,6,1,100000000,510000000316,
7,,Segment,7,6,1,100000000,510000000319,
8,,Segment,8,7,1,100000000,510000000322,
8,,Segment,8,6,1,100000000,510000000329,
8,,Segment,8,4,1,100000000,510000000345,
7,,Segment,7,4,1,100000000,510000000350,
6,,Segment,6,3,1,100000000,510000000362,
5,,Segment,5,3,1,100000000,510000000427,
4,,Segment,4,2,1,100000000,510000000439,
3,,Segment,3,2,1,100000000,510000000497,
7,,Segment,7,3,1,100000000,510000000500,
6,,Segment,6,4,1,100000000,510000000504,
11,,Segment,11,5,1,100000000,510000000508,
10,,Segment,10,5,1,100000000,510000000514,
9,,Segment,9,5,1,100000000,510000000530,
8,,Segment,8,4,1,100000000,510000000540,
7,,Segment,7,4,1,100000000,510000000552,
6,,Segment,6,3,1,100000000,510000000571,
4,,Segment,4,2,1,100000000,510000000596,
3,,Segment,3,1,1,100000000,510000000598,
2,,Segment,2,1,1,100000000,510000000601,
10,,Segment,10,6,1,100000000,510000000622,
11,,Segment,11,6,1,100000000,510000000626,
9,,Segment,9,4,1,100000000,510000000632,
8,,Segment,8,5,1,100000000,510000000636,
6,,Segment,6,1,1,100000000,510000000651,
5,,Segment,5,1,1,100000000,510000000657,
4,,Segment,4,1,1,100000000,510000000666,
3,,Segment,3,1,1,100000000,510000000695,
2,,Segment,2,1,1,100000000,510000000701,
1,,Segment,1,1,1,100000000,510000000705,
0,,Segment,0,1,1,100000000,510000000746,
6,,Segment,6,3,1,100000000,510000000792,
5,,Segment,5,2,1,100000000,510000000800,
6,,Segment,6,2,1,100000000,510000000811,
6,,Segment,6,2,1,100000000,510000000819,
4,,Segment,4,2,1,100000000,510000000831,
6,,Segment,6,4,1,100000000,510000000839,
8,,Segment,8,4,1,100000000,510000000850,
7,,Segment,7,4,1,100000000,510000000862,
6,,Segment,6,4,1,100000000,510000000869,
5,,Segment,5,3,1,100000000,510000000922,
6,,Segment,6,3,1,100000000,510000000951,
8,,Segment,8,5,1,100000000,510000000954,
7,,Segment,7,5,1,100000000,510000000965,
5,,Segment,5,2,1,100000000,510000000973,
4,,Segment,4,3,1,100000000,510000001000,
4,,Segment,4,4,1,100000000,510000001015,
7,,Segment,7,3,1,100000000,510000001027,
6,,Segment,6,3,1,100000000,510000001043,
5,,Segment,5,3,1,100000000,510000001046,
6,,Segment,6,4,1,100000000,510000001049,
6,,Segment,6,2,1,100000000,510000001051,
8,,Segment,8,3,1,100000000,510000001069,
7,,Segment,7,3,1,100000000,510000001075,
6,,Segment,6,3,1,100000000,510000001101,
5,,Segment,5,3,1,100000000,510000001104,
4,,Segment,4,3,1,100000000,510000001119,
3,,Segment,3,3,1,100000000,510000001145,
2,,Segment,2,2,1,100000000,510000001160,
2,,Segment,2,3,1,100000001,510000001170,
1,,Segment,1,2,1,100000001,510000001186,
0,,Segment,0,1,1,100000001,510000001203,
1,,Segment,1,1,1,100000001,510000001248,
3,,Segment,3,3,1,100000001,510000001255,
2,,Segment,2,2,1,100000001,510000001258,
3,,Segment,3,2,1,100000001,510000001263,
14,,Segment,14,6,1,100000001,510000001308,
13,,Segment,13,5,1,100000001,510000001327,
12,,Segment,12,4,1,100000001,510000001342,
11,,Segment,11,3,1,100000001,510000001361,
10,,Segment,10,3,1,100000001,510000001370,
7,,Segment,7,2,1,100000001,510000001389,
6,,Segment,6,2,1,100000001,510000001400,
5,,Segment,5,2,1,100000001,510000001411,
4,,Segment,4,2,1,100000001,510000001413,
3,,Segment,3,2,1,100000001,510000001416,
2,,Segment,2,2,1,100000001,510000001422,
