
Intensity Sum of Square Ch=3 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
2.03081e+08,,Surface,3,Image 1,1,0,
9.1947e+07,,Surface,3,Image 1,1,1,
