
Segment Branching Angle B
 ==================== 
Segment Branching Angle B,Unit,Category,Depth,Level,Time,FilamentID,ID,
3.08369,°,Segment,9,5,1,100000000,510000000022,
20.3471,°,Segment,8,5,1,100000000,510000000061,
71.8383,°,Segment,7,5,1,100000000,510000000070,
51.1438,°,Segment,6,5,1,100000000,510000000099,
59.7565,°,Segment,5,4,1,100000000,510000000186,
67.0761,°,Segment,4,3,1,100000000,510000000229,
79.7445,°,Segment,3,3,1,100000000,510000000233,
48.8287,°,Segment,2,2,1,100000000,510000000255,
0.984569,°,Segment,1,1,1,100000000,510000000257,
0,°,Segment,0,1,1,100000000,510000000288,
95.5753,°,Segment,9,6,1,100000000,510000000299,
26.8206,°,Segment,8,6,1,100000000,510000000316,
95.0812,°,Segment,7,6,1,100000000,510000000319,
90.4468,°,Segment,8,7,1,100000000,510000000322,
65.811,°,Segment,8,6,1,100000000,510000000329,
45.0232,°,Segment,8,4,1,100000000,510000000345,
52.2051,°,Segment,7,4,1,100000000,510000000350,
71.82,°,Segment,6,3,1,100000000,510000000362,
68.8257,°,Segment,5,3,1,100000000,510000000427,
30.4846,°,Segment,4,2,1,100000000,510000000439,
34.8127,°,Segment,3,2,1,100000000,510000000497,
48.8464,°,Segment,7,3,1,100000000,510000000500,
58.4503,°,Segment,6,4,1,100000000,510000000504,
51.0885,°,Segment,11,5,1,100000000,510000000508,
72.2225,°,Segment,10,5,1,100000000,510000000514,
58.1899,°,Segment,9,5,1,100000000,510000000530,
84.8829,°,Segment,8,4,1,100000000,510000000540,
97.9887,°,Segment,7,4,1,100000000,510000000552,
30.2758,°,Segment,6,3,1,100000000,510000000571,
62.7485,°,Segment,4,2,1,100000000,510000000596,
84.0512,°,Segment,3,1,1,100000000,510000000598,
57.0523,°,Segment,2,1,1,100000000,510000000601,
96.063,°,Segment,10,6,1,100000000,510000000622,
38.1707,°,Segment,11,6,1,100000000,510000000626,
19.6443,°,Segment,9,4,1,100000000,510000000632,
69.1708,°,Segment,8,5,1,100000000,510000000636,
101.837,°,Segment,6,1,1,100000000,510000000651,
43.5506,°,Segment,5,1,1,100000000,510000000657,
34.1025,°,Segment,4,1,1,100000000,510000000666,
70.385,°,Segment,3,1,1,100000000,510000000695,
45.7472,°,Segment,2,1,1,100000000,510000000701,
10.657,°,Segment,1,1,1,100000000,510000000705,
0,°,Segment,0,1,1,100000000,510000000746,
76.7257,°,Segment,6,3,1,100000000,510000000792,
86.3257,°,Segment,5,2,1,100000000,510000000800,
25.6526,°,Segment,6,2,1,100000000,510000000811,
52.6025,°,Segment,6,2,1,100000000,510000000819,
74.3131,°,Segment,4,2,1,100000000,510000000831,
53.5954,°,Segment,6,4,1,100000000,510000000839,
36.2826,°,Segment,8,4,1,100000000,510000000850,
52.121,°,Segment,7,4,1,100000000,510000000862,
110.627,°,Segment,6,4,1,100000000,510000000869,
