
Spine Number of Voxel Ch=3 Img=1
 ==================== 
Spine Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
96,,Spine,3,14,Image 1,6,1,100000001,610000003319,
76,,Spine,3,14,Image 1,6,1,100000001,610000003329,
67,,Spine,3,14,Image 1,6,1,100000001,610000003333,
66,,Spine,3,3,Image 1,2,1,100000000,610000003346,
194,,Spine,3,3,Image 1,2,1,100000000,610000003350,
124,,Spine,3,4,Image 1,1,1,100000001,610000003353,
107,,Spine,3,0,Image 1,1,1,100000001,610000003357,
42,,Spine,3,4,Image 1,4,1,100000000,610000003359,
61,,Spine,3,9,Image 1,5,1,100000000,610000003361,
242,,Spine,3,2,Image 1,3,1,100000001,610000003370,
182,,Spine,3,2,Image 1,1,1,100000000,610000003377,
99,,Spine,3,2,Image 1,1,1,100000000,610000003386,
182,,Spine,3,2,Image 1,2,1,100000000,610000003389,
126,,Spine,3,3,Image 1,1,1,100000000,610000003392,
134,,Spine,3,4,Image 1,3,1,100000001,610000003396,
62,,Spine,3,4,Image 1,3,1,100000001,610000003398,
76,,Spine,3,2,Image 1,2,1,100000001,610000003400,
169,,Spine,3,1,Image 1,1,1,100000001,610000003403,
168,,Spine,3,2,Image 1,1,1,100000001,610000003405,
49,,Spine,3,7,Image 1,5,1,100000000,610000003407,
74,,Spine,3,4,Image 1,1,1,100000001,610000003410,
53,,Spine,3,8,Image 1,3,1,100000000,610000003412,
40,,Spine,3,7,Image 1,1,1,100000001,610000003414,
71,,Spine,3,2,Image 1,2,1,100000000,610000003423,
59,,Spine,3,6,Image 1,3,1,100000000,610000003425,
188,,Spine,3,0,Image 1,1,1,100000001,610000003428,
42,,Spine,3,7,Image 1,4,1,100000000,610000003430,
199,,Spine,3,7,Image 1,4,1,100000000,610000003432,
69,,Spine,3,14,Image 1,6,1,100000001,610000003434,
39,,Spine,3,7,Image 1,2,1,100000001,610000003437,
111,,Spine,3,5,Image 1,4,1,100000001,610000003439,
109,,Spine,3,3,Image 1,3,1,100000001,610000003442,
242,,Spine,3,3,Image 1,2,1,100000000,610000003445,
56,,Spine,3,2,Image 1,2,1,100000000,610000003454,
93,,Spine,3,1,Image 1,2,1,100000000,610000003457,
77,,Spine,3,8,Image 1,4,1,100000000,610000003459,
173,,Spine,3,0,Image 1,1,1,100000000,610000003462,
74,,Spine,3,9,Image 1,5,1,100000000,610000003464,
103,,Spine,3,2,Image 1,1,1,100000000,610000003470,
80,,Spine,3,4,Image 1,3,1,100000000,610000003472,
34,,Spine,3,3,Image 1,2,1,100000000,610000003476,
429,,Spine,3,0,Image 1,1,1,100000001,610000003479,
95,,Spine,3,0,Image 1,1,1,100000001,610000003481,
117,,Spine,3,4,Image 1,3,1,100000001,610000003484,
136,,Spine,3,5,Image 1,4,1,100000001,610000003488,
190,,Spine,3,2,Image 1,3,1,100000001,610000003494,
278,,Spine,3,3,Image 1,2,1,100000001,610000003496,
202,,Spine,3,5,Image 1,2,1,100000000,610000003501,
59,,Spine,3,6,Image 1,3,1,100000000,610000003503,
123,,Spine,3,0,Image 1,1,1,100000000,610000003507,
121,,Spine,3,3,Image 1,2,1,100000000,610000003510,
51,,Spine,3,2,Image 1,2,1,100000000,610000003518,
76,,Spine,3,5,Image 1,3,1,100000000,610000003520,
97,,Spine,3,3,Image 1,3,1,100000001,610000003523,
31,,Spine,3,6,Image 1,3,1,100000001,610000003525,
121,,Spine,3,1,Image 1,1,1,100000000,610000003527,
127,,Spine,3,1,Image 1,1,1,100000000,610000003529,
83,,Spine,3,8,Image 1,2,1,100000001,610000003531,
108,,Spine,3,1,Image 1,2,1,100000000,610000003536,
140,,Spine,3,5,Image 1,2,1,100000000,610000003542,
240,,Spine,3,3,Image 1,1,1,100000000,610000003549,
83,,Spine,3,5,Image 1,2,1,100000000,610000003555,
108,,Spine,3,1,Image 1,2,1,100000000,610000003557,
233,,Spine,3,6,Image 1,2,1,100000000,610000003560,
227,,Spine,3,3,Image 1,2,1,100000000,610000003562,
92,,Spine,3,0,Image 1,1,1,100000001,610000003567,
428,,Spine,3,1,Image 1,1,1,100000000,610000003573,
76,,Spine,3,0,Image 1,1,1,100000001,610000003576,
105,,Spine,3,6,Image 1,2,1,100000001,610000003579,
134,,Spine,3,1,Image 1,1,1,100000000,610000003581,
106,,Spine,3,4,Image 1,3,1,100000001,610000003584,
34,,Spine,3,0,Image 1,1,1,100000001,610000003586,
101,,Spine,3,5,Image 1,2,1,100000000,610000003590,
202,,Spine,3,5,Image 1,3,1,100000000,610000003595,
90,,Spine,3,0,Image 1,1,1,100000001,610000003597,
284,,Spine,3,3,Image 1,2,1,100000000,610000003600,
74,,Spine,3,5,Image 1,3,1,100000000,610000003603,
124,,Spine,3,2,Image 1,3,1,100000001,610000003605,
55,,Spine,3,5,Image 1,2,1,100000001,610000003607,
347,,Spine,3,1,Image 1,2,1,100000000,610000003610,
237,,Spine,3,2,Image 1,2,1,100000000,610000003613,
680,,Spine,3,4,Image 1,2,1,100000000,610000003617,
134,,Spine,3,1,Image 1,2,1,100000000,610000003623,
199,,Spine,3,0,Image 1,1,1,100000001,610000003630,
186,,Spine,3,1,Image 1,1,1,100000001,610000003632,
116,,Spine,3,1,Image 1,2,1,100000000,610000003637,
143,,Spine,3,1,Image 1,2,1,100000000,610000003641,
422,,Spine,3,3,Image 1,2,1,100000000,610000003646,
102,,Spine,3,1,Image 1,2,1,100000000,610000003648,
129,,Spine,3,13,Image 1,5,1,100000001,610000003650,
501,,Spine,3,2,Image 1,2,1,100000000,610000003655,
1030,,Spine,3,2,Image 1,1,1,100000000,610000003658,
274,,Spine,3,3,Image 1,2,1,100000000,610000003665,
92,,Spine,3,0,Image 1,1,1,100000000,610000003669,
