
Segment Center Intensity StdDev Ch=3 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
19.3749,,Segment,3,9,Image 1,5,1,100000000,510000000022,
25.9309,,Segment,3,8,Image 1,5,1,100000000,510000000061,
10.6024,,Segment,3,7,Image 1,5,1,100000000,510000000070,
24.5542,,Segment,3,6,Image 1,5,1,100000000,510000000099,
20.2294,,Segment,3,5,Image 1,4,1,100000000,510000000186,
30.6926,,Segment,3,4,Image 1,3,1,100000000,510000000229,
16.5964,,Segment,3,3,Image 1,3,1,100000000,510000000233,
40.0463,,Segment,3,2,Image 1,2,1,100000000,510000000255,
3.09121,,Segment,3,1,Image 1,1,1,100000000,510000000257,
16.683,,Segment,3,0,Image 1,1,1,100000000,510000000288,
26.949,,Segment,3,9,Image 1,6,1,100000000,510000000299,
16.4887,,Segment,3,8,Image 1,6,1,100000000,510000000316,
10.4163,,Segment,3,7,Image 1,6,1,100000000,510000000319,
10.9772,,Segment,3,8,Image 1,7,1,100000000,510000000322,
12.6787,,Segment,3,8,Image 1,6,1,100000000,510000000329,
16.6735,,Segment,3,8,Image 1,4,1,100000000,510000000345,
18.9356,,Segment,3,7,Image 1,4,1,100000000,510000000350,
19.2135,,Segment,3,6,Image 1,3,1,100000000,510000000362,
22.0911,,Segment,3,5,Image 1,3,1,100000000,510000000427,
10.2253,,Segment,3,4,Image 1,2,1,100000000,510000000439,
31.0793,,Segment,3,3,Image 1,2,1,100000000,510000000497,
14.6135,,Segment,3,7,Image 1,3,1,100000000,510000000500,
3.57771,,Segment,3,6,Image 1,4,1,100000000,510000000504,
10.8185,,Segment,3,11,Image 1,5,1,100000000,510000000508,
21.1641,,Segment,3,10,Image 1,5,1,100000000,510000000514,
16.8352,,Segment,3,9,Image 1,5,1,100000000,510000000530,
16.6902,,Segment,3,8,Image 1,4,1,100000000,510000000540,
27.2505,,Segment,3,7,Image 1,4,1,100000000,510000000552,
16.5759,,Segment,3,6,Image 1,3,1,100000000,510000000571,
37.76,,Segment,3,4,Image 1,2,1,100000000,510000000596,
11.0454,,Segment,3,3,Image 1,1,1,100000000,510000000598,
19.3051,,Segment,3,2,Image 1,1,1,100000000,510000000601,
20.709,,Segment,3,10,Image 1,6,1,100000000,510000000622,
8.95768,,Segment,3,11,Image 1,6,1,100000000,510000000626,
12.5779,,Segment,3,9,Image 1,4,1,100000000,510000000632,
15.7099,,Segment,3,8,Image 1,5,1,100000000,510000000636,
40.6551,,Segment,3,6,Image 1,1,1,100000000,510000000651,
21.3599,,Segment,3,5,Image 1,1,1,100000000,510000000657,
24.0768,,Segment,3,4,Image 1,1,1,100000000,510000000666,
55.5606,,Segment,3,3,Image 1,1,1,100000000,510000000695,
15.5537,,Segment,3,2,Image 1,1,1,100000000,510000000701,
18.8531,,Segment,3,1,Image 1,1,1,100000000,510000000705,
31.9133,,Segment,3,0,Image 1,1,1,100000000,510000000746,
23.9038,,Segment,3,6,Image 1,3,1,100000000,510000000792,
22.5968,,Segment,3,5,Image 1,2,1,100000000,510000000800,
24.8882,,Segment,3,6,Image 1,2,1,100000000,510000000811,
35.8887,,Segment,3,6,Image 1,2,1,100000000,510000000819,
16.5458,,Segment,3,4,Image 1,2,1,100000000,510000000831,
15.632,,Segment,3,6,Image 1,4,1,100000000,510000000839,
11.9012,,Segment,3,8,Image 1,4,1,100000000,510000000850,
13.9483,,Segment,3,7,Image 1,4,1,100000000,510000000862,
14.9243,,Segment,3,6,Image 1,4,1,100000000,510000000869,
25.3088,,Segment,3,5,Image 1,3,1,100000000,510000000922,
23.1998,,Segment,3,6,Image 1,3,1,100000000,510000000951,
16.3248,,Segment,3,8,Image 1,5,1,100000000,510000000954,
25.9995,,Segment,3,7,Image 1,5,1,100000000,510000000965,
20.5649,,Segment,3,5,Image 1,2,1,100000000,510000000973,
22.9132,,Segment,3,4,Image 1,3,1,100000000,510000001000,
27.7162,,Segment,3,4,Image 1,4,1,100000000,510000001015,
15.8864,,Segment,3,7,Image 1,3,1,100000000,510000001027,
19.7782,,Segment,3,6,Image 1,3,1,100000000,510000001043,
11.1131,,Segment,3,5,Image 1,3,1,100000000,510000001046,
11.6833,,Segment,3,6,Image 1,4,1,100000000,510000001049,
8.16497,,Segment,3,6,Image 1,2,1,100000000,510000001051,
14.6928,,Segment,3,8,Image 1,3,1,100000000,510000001069,
14.171,,Segment,3,7,Image 1,3,1,100000000,510000001075,
28.9098,,Segment,3,6,Image 1,3,1,100000000,510000001101,
18.3081,,Segment,3,5,Image 1,3,1,100000000,510000001104,
27.2201,,Segment,3,4,Image 1,3,1,100000000,510000001119,
30.8963,,Segment,3,3,Image 1,3,1,100000000,510000001145,
20.9818,,Segment,3,2,Image 1,2,1,100000000,510000001160,
13.942,,Segment,3,2,Image 1,3,1,100000001,510000001170,
23.3773,,Segment,3,1,Image 1,2,1,100000001,510000001186,
50.6282,,Segment,3,0,Image 1,1,1,100000001,510000001203,
27.8395,,Segment,3,1,Image 1,1,1,100000001,510000001248,
29.8012,,Segment,3,3,Image 1,3,1,100000001,510000001255,
24.8533,,Segment,3,2,Image 1,2,1,100000001,510000001258,
16.68,,Segment,3,3,Image 1,2,1,100000001,510000001263,
27.389,,Segment,3,14,Image 1,6,1,100000001,510000001308,
31.1237,,Segment,3,13,Image 1,5,1,100000001,510000001327,
14.8361,,Segment,3,12,Image 1,4,1,100000001,510000001342,
24.2059,,Segment,3,11,Image 1,3,1,100000001,510000001361,
34.6914,,Segment,3,10,Image 1,3,1,100000001,510000001370,
20.4756,,Segment,3,7,Image 1,2,1,100000001,510000001389,
11.263,,Segment,3,6,Image 1,2,1,100000001,510000001400,
19.4898,,Segment,3,5,Image 1,2,1,100000001,510000001411,
12.2474,,Segment,3,4,Image 1,2,1,100000001,510000001413,
16.0857,,Segment,3,3,Image 1,2,1,100000001,510000001416,
10.0773,,Segment,3,2,Image 1,2,1,100000001,510000001422,
11.1,,Segment,3,0,Image 1,1,1,100000001,510000001442,
20.8783,,Segment,3,8,Image 1,4,1,100000000,510000001471,
20.4684,,Segment,3,7,Image 1,2,1,100000001,510000001495,
17.997,,Segment,3,6,Image 1,1,1,100000001,510000001509,
21.6744,,Segment,3,5,Image 1,1,1,100000001,510000001517,
24.3016,,Segment,3,4,Image 1,1,1,100000001,510000001558,
11.0223,,Segment,3,3,Image 1,1,1,100000001,510000001567,
20.3503,,Segment,3,2,Image 1,1,1,100000001,510000001584,
12.2128,,Segment,3,1,Image 1,1,1,100000001,510000001599,
14.3746,,Segment,3,9,Image 1,2,1,100000001,510000001609,
23.8984,,Segment,3,7,Image 1,1,1,100000001,510000001618,
19.521,,Segment,3,9,Image 1,5,1,100000000,510000001640,
10.3148,,Segment,3,8,Image 1,4,1,100000000,510000001660,
15.0407,,Segment,3,7,Image 1,4,1,100000000,510000001665,
9.65337,,Segment,3,6,Image 1,4,1,100000000,510000001668,
23.6144,,Segment,3,9,Image 1,3,1,100000001,510000001677,
27.567,,Segment,3,14,Image 1,5,1,100000001,510000001684,
22.5979,,Segment,3,9,Image 1,4,1,100000000,510000001696,
11.2321,,Segment,3,8,Image 1,1,1,100000001,510000001700,
25.6369,,Segment,3,13,Image 1,4,1,100000001,510000001702,
17.0646,,Segment,3,7,Image 1,4,1,100000000,510000001707,
29.4754,,Segment,3,5,Image 1,2,1,100000000,510000001783,
11.0114,,Segment,3,4,Image 1,2,1,100000000,510000001788,
18.7483,,Segment,3,3,Image 1,2,1,100000000,510000001795,
16.4766,,Segment,3,2,Image 1,2,1,100000000,510000001822,
49.2352,,Segment,3,1,Image 1,1,1,100000000,510000001858,
28.569,,Segment,3,0,Image 1,1,1,100000000,510000001863,
22.6757,,Segment,3,12,Image 1,3,1,100000001,510000001866,
20.4613,,Segment,3,6,Image 1,4,1,100000001,510000001874,
16.9466,,Segment,3,5,Image 1,4,1,100000001,510000001881,
