
Spine Terminal Pt Distance from Origin
 ==================== 
Spine Terminal Pt Distance from Origin,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
20237.8,µm,Spine,Spine Terminal Pt Distance from Origin,14,6,1,100000001,610000003319,
20238.2,µm,Spine,Spine Terminal Pt Distance from Origin,14,6,1,100000001,610000003329,
20238.3,µm,Spine,Spine Terminal Pt Distance from Origin,14,6,1,100000001,610000003333,
20274.2,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,100000000,610000003346,
20267.6,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,100000000,610000003350,
20238.7,µm,Spine,Spine Terminal Pt Distance from Origin,4,1,1,100000001,610000003353,
20234.1,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000001,610000003357,
20265.3,µm,Spine,Spine Terminal Pt Distance from Origin,4,4,1,100000000,610000003359,
20275.5,µm,Spine,Spine Terminal Pt Distance from Origin,9,5,1,100000000,610000003361,
20228.8,µm,Spine,Spine Terminal Pt Distance from Origin,2,3,1,100000001,610000003370,
20273.1,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,100000000,610000003377,
20273.6,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,100000000,610000003386,
20273.5,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000000,610000003389,
20275.3,µm,Spine,Spine Terminal Pt Distance from Origin,3,1,1,100000000,610000003392,
20232.2,µm,Spine,Spine Terminal Pt Distance from Origin,4,3,1,100000001,610000003396,
20231.8,µm,Spine,Spine Terminal Pt Distance from Origin,4,3,1,100000001,610000003398,
20236.1,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000001,610000003400,
20236.7,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000001,610000003403,
20237.2,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,100000001,610000003405,
20273,µm,Spine,Spine Terminal Pt Distance from Origin,7,5,1,100000000,610000003407,
20231.2,µm,Spine,Spine Terminal Pt Distance from Origin,4,1,1,100000001,610000003410,
20275.4,µm,Spine,Spine Terminal Pt Distance from Origin,8,3,1,100000000,610000003412,
20241.5,µm,Spine,Spine Terminal Pt Distance from Origin,7,1,1,100000001,610000003414,
20273.6,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000000,610000003423,
20275.3,µm,Spine,Spine Terminal Pt Distance from Origin,6,3,1,100000000,610000003425,
20234.2,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000001,610000003428,
20273.8,µm,Spine,Spine Terminal Pt Distance from Origin,7,4,1,100000000,610000003430,
20273.9,µm,Spine,Spine Terminal Pt Distance from Origin,7,4,1,100000000,610000003432,
20238.5,µm,Spine,Spine Terminal Pt Distance from Origin,14,6,1,100000001,610000003434,
20240.9,µm,Spine,Spine Terminal Pt Distance from Origin,7,2,1,100000001,610000003437,
20233.8,µm,Spine,Spine Terminal Pt Distance from Origin,5,4,1,100000001,610000003439,
20232.4,µm,Spine,Spine Terminal Pt Distance from Origin,3,3,1,100000001,610000003442,
20267.2,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,100000000,610000003445,
20273.6,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000000,610000003454,
20267.5,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000003456,
20275.2,µm,Spine,Spine Terminal Pt Distance from Origin,8,4,1,100000000,610000003459,
20271.4,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000000,610000003462,
20275.5,µm,Spine,Spine Terminal Pt Distance from Origin,9,5,1,100000000,610000003464,
20273.2,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,100000000,610000003470,
20269.4,µm,Spine,Spine Terminal Pt Distance from Origin,4,3,1,100000000,610000003472,
