
Spine Terminal Pt Intensity Center Ch=1 Img=1
 ==================== 
Spine Terminal Pt Intensity Center,Unit,Category,Channel,Depth,Image,Time,FilamentID,ID,
100,,Spine,1,3,Image 1,1,,610000003845,
53,,Spine,1,5,Image 1,1,,610000003846,
57,,Spine,1,3,Image 1,1,,610000003846,
60,,Spine,1,5,Image 1,1,,610000003847,
16,,Spine,1,2,Image 1,1,,610000003847,
44,,Spine,1,3,Image 1,1,,610000003848,
54,,Spine,1,1,Image 1,1,,610000003848,
47,,Spine,1,5,Image 1,1,,610000003849,
119,,Spine,1,3,Image 1,1,,610000003849,
49,,Spine,1,5,Image 1,1,,610000003850,
114,,Spine,1,3,Image 1,1,,610000003850,
40,,Spine,1,5,Image 1,1,,610000003851,
97,,Spine,1,4,Image 1,1,,610000003851,
59,,Spine,1,6,Image 1,1,,610000003852,
78,,Spine,1,4,Image 1,1,,610000003852,
75,,Spine,1,6,Image 1,1,,610000003853,
54,,Spine,1,7,Image 1,1,,610000003853,
52,,Spine,1,6,Image 1,1,,610000003854,
32,,Spine,1,7,Image 1,1,,610000003854,
62,,Spine,1,6,Image 1,1,,610000003855,
49,,Spine,1,7,Image 1,1,,610000003855,
47,,Spine,1,6,Image 1,1,,610000003856,
54,,Spine,1,8,Image 1,1,,610000003856,
29,,Spine,1,6,Image 1,1,,610000003857,
117,,Spine,1,8,Image 1,1,,610000003857,
75,,Spine,1,5,Image 1,1,,610000003858,
78,,Spine,1,7,Image 1,1,,610000003858,
60,,Spine,1,5,Image 1,1,,610000003859,
45,,Spine,1,7,Image 1,1,,610000003859,
31,,Spine,1,5,Image 1,1,,610000003860,
57,,Spine,1,7,Image 1,1,,610000003860,
37,,Spine,1,5,Image 1,1,,610000003861,
25,,Spine,1,7,Image 1,1,,610000003861,
22,,Spine,1,6,Image 1,1,,610000003862,
41,,Spine,1,11,Image 1,1,,610000003862,
45,,Spine,1,6,Image 1,1,,610000003863,
35,,Spine,1,11,Image 1,1,,610000003863,
43,,Spine,1,0,Image 1,1,,610000003864,
58,,Spine,1,8,Image 1,1,,610000003864,
46,,Spine,1,2,Image 1,1,,610000003865,
96,,Spine,1,0,Image 1,1,,610000003865,
76,,Spine,1,0,Image 1,1,,610000003866,
48,,Spine,1,6,Image 1,1,,610000003866,
35,,Spine,1,5,Image 1,1,,610000003867,
95,,Spine,1,1,Image 1,1,,610000003867,
38,,Spine,1,6,Image 1,1,,610000003868,
35,,Spine,1,8,Image 1,1,,610000003868,
49,,Spine,1,2,Image 1,1,,610000003869,
67,,Spine,1,6,Image 1,1,,610000003869,
50,,Spine,1,4,Image 1,1,,610000003870,
38,,Spine,1,9,Image 1,1,,610000003870,
