
Spine Part Mean Diameter Head
 ==================== 
Spine Part Mean Diameter Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.178056,µm,Spine,Spine Part Mean Diameter,14,6,1,100000001,610000003319,
0.195143,µm,Spine,Spine Part Mean Diameter,14,6,1,100000001,610000003329,
0.179006,µm,Spine,Spine Part Mean Diameter,14,6,1,100000001,610000003333,
0.179429,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000003346,
0.198355,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000003350,
0.176604,µm,Spine,Spine Part Mean Diameter,4,1,1,100000001,610000003353,
0.203125,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003357,
0.169153,µm,Spine,Spine Part Mean Diameter,4,4,1,100000000,610000003359,
0.174649,µm,Spine,Spine Part Mean Diameter,9,5,1,100000000,610000003361,
0.296129,µm,Spine,Spine Part Mean Diameter,2,3,1,100000001,610000003370,
0.366076,µm,Spine,Spine Part Mean Diameter,2,1,1,100000000,610000003377,
0.211541,µm,Spine,Spine Part Mean Diameter,2,1,1,100000000,610000003386,
0.208579,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000003389,
0.1625,µm,Spine,Spine Part Mean Diameter,3,1,1,100000000,610000003392,
0.172021,µm,Spine,Spine Part Mean Diameter,4,3,1,100000001,610000003396,
0.172422,µm,Spine,Spine Part Mean Diameter,4,3,1,100000001,610000003398,
0.1625,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000003400,
0.205664,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000003403,
0.210941,µm,Spine,Spine Part Mean Diameter,2,1,1,100000001,610000003405,
0.193774,µm,Spine,Spine Part Mean Diameter,7,5,1,100000000,610000003407,
0.229814,µm,Spine,Spine Part Mean Diameter,4,1,1,100000001,610000003410,
0.1625,µm,Spine,Spine Part Mean Diameter,8,3,1,100000000,610000003412,
0.1625,µm,Spine,Spine Part Mean Diameter,7,1,1,100000001,610000003414,
0.204509,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000003423,
0.1625,µm,Spine,Spine Part Mean Diameter,6,3,1,100000000,610000003425,
0.256976,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003428,
0.24375,µm,Spine,Spine Part Mean Diameter,7,4,1,100000000,610000003430,
0.183538,µm,Spine,Spine Part Mean Diameter,7,4,1,100000000,610000003432,
0.178854,µm,Spine,Spine Part Mean Diameter,14,6,1,100000001,610000003434,
0.226334,µm,Spine,Spine Part Mean Diameter,7,2,1,100000001,610000003437,
0.1625,µm,Spine,Spine Part Mean Diameter,5,4,1,100000001,610000003439,
0.19521,µm,Spine,Spine Part Mean Diameter,3,3,1,100000001,610000003442,
0.205871,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000003445,
0.186947,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000003454,
0.265971,µm,Spine,Spine Part Mean Diameter,2,1,1,100000000,610000003457,
0.25246,µm,Spine,Spine Part Mean Diameter,8,4,1,100000000,610000003459,
0.234456,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000003462,
0.204293,µm,Spine,Spine Part Mean Diameter,9,5,1,100000000,610000003464,
0.30426,µm,Spine,Spine Part Mean Diameter,2,1,1,100000000,610000003470,
0.182812,µm,Spine,Spine Part Mean Diameter,4,3,1,100000000,610000003472,
0.19103,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000003476,
0.631079,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003479,
0.182412,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003481,
0.181543,µm,Spine,Spine Part Mean Diameter,4,3,1,100000001,610000003484,
0.24375,µm,Spine,Spine Part Mean Diameter,5,4,1,100000001,610000003488,
0.334915,µm,Spine,Spine Part Mean Diameter,2,3,1,100000001,610000003494,
0.1625,µm,Spine,Spine Part Mean Diameter,3,2,1,100000001,610000003496,
0.247619,µm,Spine,Spine Part Mean Diameter,5,2,1,100000000,610000003501,
0.182713,µm,Spine,Spine Part Mean Diameter,6,3,1,100000000,610000003503,
0.208193,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000003507,
0.1625,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000003510,
0.211279,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000003518,
0.1625,µm,Spine,Spine Part Mean Diameter,5,3,1,100000000,610000003520,
0.193356,µm,Spine,Spine Part Mean Diameter,3,3,1,100000001,610000003523,
0.1625,µm,Spine,Spine Part Mean Diameter,6,3,1,100000001,610000003525,
0.229071,µm,Spine,Spine Part Mean Diameter,1,1,1,100000000,610000003527,
0.246335,µm,Spine,Spine Part Mean Diameter,1,1,1,100000000,610000003529,
0.190136,µm,Spine,Spine Part Mean Diameter,8,2,1,100000001,610000003531,
0.409246,µm,Spine,Spine Part Mean Diameter,2,1,1,100000000,610000003536,
0.374734,µm,Spine,Spine Part Mean Diameter,5,2,1,100000000,610000003542,
0.380436,µm,Spine,Spine Part Mean Diameter,3,1,1,100000000,610000003549,
0.24375,µm,Spine,Spine Part Mean Diameter,5,2,1,100000000,610000003555,
0.435873,µm,Spine,Spine Part Mean Diameter,2,1,1,100000000,610000003557,
0.185514,µm,Spine,Spine Part Mean Diameter,6,2,1,100000000,610000003560,
0.302404,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000003562,
0.223608,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003567,
0.337574,µm,Spine,Spine Part Mean Diameter,1,1,1,100000000,610000003573,
0.1625,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003576,
0.285645,µm,Spine,Spine Part Mean Diameter,6,2,1,100000001,610000003579,
0.248828,µm,Spine,Spine Part Mean Diameter,1,1,1,100000000,610000003581,
0.218359,µm,Spine,Spine Part Mean Diameter,4,3,1,100000001,610000003584,
0.24375,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003586,
0.232865,µm,Spine,Spine Part Mean Diameter,5,2,1,100000000,610000003590,
0.345159,µm,Spine,Spine Part Mean Diameter,5,3,1,100000000,610000003595,
0.167578,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003597,
0.338823,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000003600,
0.188659,µm,Spine,Spine Part Mean Diameter,5,3,1,100000000,610000003603,
0.336204,µm,Spine,Spine Part Mean Diameter,2,3,1,100000001,610000003605,
0.1625,µm,Spine,Spine Part Mean Diameter,5,2,1,100000001,610000003607,
0.642204,µm,Spine,Spine Part Mean Diameter,2,1,1,100000000,610000003610,
0.317739,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000003613,
0.254844,µm,Spine,Spine Part Mean Diameter,4,2,1,100000000,610000003617,
0.484646,µm,Spine,Spine Part Mean Diameter,2,1,1,100000000,610000003623,
0.540716,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003630,
0.260582,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000003632,
0.311781,µm,Spine,Spine Part Mean Diameter,1,2,1,100000000,610000003637,
0.426186,µm,Spine,Spine Part Mean Diameter,2,1,1,100000000,610000003641,
0.434257,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000003646,
