
Spine Part Max Diameter
 ==================== 
Spine Part Max Diameter Ground,Spine Part Max Diameter Head,Spine Part Max Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.256976,0.218276,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000003357,
0.460982,0.256976,0.24375,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000003428,
0.451149,0.234456,0.363052,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000003462,
0.660074,0.631079,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000003479,
0.323335,0.182412,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000003481,
0.381848,0.208193,0.290676,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000003507,
0.330078,0.223608,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000003567,
0.304688,0.1625,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000003576,
0.24375,0.24375,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000003586,
0.341006,0.167578,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000003597,
0.540716,0.540716,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000003630,
0.355991,0.1625,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000003669,
0.341392,0.232289,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000003769,
0.355991,0.244381,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000003770,
0.256131,0.22236,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000003771,
0.373117,0.373117,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000003772,
0.301725,0.301725,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000003773,
0.623707,0.364409,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000003779,
0.337351,0.253271,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000003791,
0.304526,0.201269,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000003793,
0.41264,0.41264,0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000003794,
