
Volume Outside Img=1
 ==================== 
Distance to Surface,Volume Outside,Unit,Collection,Image,Time,ID,
0.068,134.729,µm^3,Volume Outside,Image 1,1,,
0.204,113.396,µm^3,Volume Outside,Image 1,1,,
0.34,105.085,µm^3,Volume Outside,Image 1,1,,
0.476,94.7128,µm^3,Volume Outside,Image 1,1,,
0.612,90.9428,µm^3,Volume Outside,Image 1,1,,
0.748,89.7776,µm^3,Volume Outside,Image 1,1,,
0.884,86.329,µm^3,Volume Outside,Image 1,1,,
1.02,84.6737,µm^3,Volume Outside,Image 1,1,,
1.156,82.6394,µm^3,Volume Outside,Image 1,1,,
1.292,80.5416,µm^3,Volume Outside,Image 1,1,,
1.428,79.1096,µm^3,Volume Outside,Image 1,1,,
1.564,77.3435,µm^3,Volume Outside,Image 1,1,,
1.7,76.0446,µm^3,Volume Outside,Image 1,1,,
1.836,74.7522,µm^3,Volume Outside,Image 1,1,,
1.972,73.7113,µm^3,Volume Outside,Image 1,1,,
2.108,72.6764,µm^3,Volume Outside,Image 1,1,,
2.244,71.6373,µm^3,Volume Outside,Image 1,1,,
2.38,70.8011,µm^3,Volume Outside,Image 1,1,,
2.516,69.8673,µm^3,Volume Outside,Image 1,1,,
2.652,69.0346,µm^3,Volume Outside,Image 1,1,,
2.788,68.5317,µm^3,Volume Outside,Image 1,1,,
2.924,67.6951,µm^3,Volume Outside,Image 1,1,,
3.06,67.298,µm^3,Volume Outside,Image 1,1,,
3.196,66.7245,µm^3,Volume Outside,Image 1,1,,
3.332,66.1371,µm^3,Volume Outside,Image 1,1,,
3.468,65.8055,µm^3,Volume Outside,Image 1,1,,
3.604,65.6909,µm^3,Volume Outside,Image 1,1,,
3.74,65.32,µm^3,Volume Outside,Image 1,1,,
3.876,65.2751,µm^3,Volume Outside,Image 1,1,,
4.012,65.1461,µm^3,Volume Outside,Image 1,1,,
4.148,65.0721,µm^3,Volume Outside,Image 1,1,,
4.284,65.0848,µm^3,Volume Outside,Image 1,1,,
4.42,64.856,µm^3,Volume Outside,Image 1,1,,
4.556,65.3466,µm^3,Volume Outside,Image 1,1,,
4.692,65.679,µm^3,Volume Outside,Image 1,1,,
4.828,65.7429,µm^3,Volume Outside,Image 1,1,,
4.964,65.8275,µm^3,Volume Outside,Image 1,1,,
5.1,65.7315,µm^3,Volume Outside,Image 1,1,,
