
Soma BoundingBoxOO Length A
 ==================== 
Soma BoundingBoxOO Length A,Unit,Category,Collection,Time,FilamentID,ID,
2.07812,µm,Soma,Soma BoundingBoxOO Length,1,100000000,800000000,
1.75195,µm,Soma,Soma BoundingBoxOO Length,1,100000001,800000001,
1.27148,µm,Soma,Soma BoundingBoxOO Length,1,100000002,800000002,
1.64844,µm,Soma,Soma BoundingBoxOO Length,1,100000003,800000003,
