
Intensity Max Ch=4 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
95,,Surface,4,Image 1,1,0,
106,,Surface,4,Image 1,1,1,
83,,Surface,4,Image 1,1,2,
145,,Surface,4,Image 1,1,3,
