
Spine Part Mean Diameter Ground
 ==================== 
Spine Part Mean Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.344242,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000005064,
0.344242,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000005082,
0.347237,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000005095,
0.209143,µm,Spine,Spine Part Mean Diameter,4,3,1,100000001,610000005100,
0.347237,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000005112,
0.209143,µm,Spine,Spine Part Mean Diameter,4,3,1,100000001,610000005117,
0.244315,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000005121,
0.232464,µm,Spine,Spine Part Mean Diameter,4,3,1,100000001,610000005124,
0.286859,µm,Spine,Spine Part Mean Diameter,2,2,1,100000003,610000005131,
0.286859,µm,Spine,Spine Part Mean Diameter,2,2,1,100000003,610000005137,
0.28856,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000005144,
0.288432,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000005150,
0.336824,µm,Spine,Spine Part Mean Diameter,4,2,1,100000002,610000005153,
0.214111,µm,Spine,Spine Part Mean Diameter,5,2,1,100000003,610000005156,
0.284827,µm,Spine,Spine Part Mean Diameter,7,1,1,100000003,610000005158,
0.375522,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000005166,
0.340025,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000005169,
0.389027,µm,Spine,Spine Part Mean Diameter,6,3,1,100000002,610000005172,
0.341315,µm,Spine,Spine Part Mean Diameter,7,4,1,100000000,610000005175,
0.251451,µm,Spine,Spine Part Mean Diameter,11,5,1,100000002,610000005177,
0.3449,µm,Spine,Spine Part Mean Diameter,1,1,1,100000003,610000005181,
0.381891,µm,Spine,Spine Part Mean Diameter,3,2,1,100000001,610000005187,
0.349914,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000005191,
0.332496,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000005195,
0.281292,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000005197,
0.49383,µm,Spine,Spine Part Mean Diameter,1,2,1,100000000,610000005200,
0.377801,µm,Spine,Spine Part Mean Diameter,4,1,1,100000003,610000005206,
0.323293,µm,Spine,Spine Part Mean Diameter,2,2,1,100000002,610000005209,
0.334534,µm,Spine,Spine Part Mean Diameter,3,2,1,100000003,610000005215,
0.332311,µm,Spine,Spine Part Mean Diameter,5,1,1,100000003,610000005217,
