
Spine Position X
 ==================== 
Spine Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-20793.7,µm,Spine,Spine Position,0,1,1,100000001,610000005064,
-20793.7,µm,Spine,Spine Position,0,1,1,100000001,610000005082,
-20793.7,µm,Spine,Spine Position,0,1,1,100000001,610000005095,
-20789.8,µm,Spine,Spine Position,4,3,1,100000001,610000005100,
-20793.7,µm,Spine,Spine Position,0,1,1,100000001,610000005112,
-20789.8,µm,Spine,Spine Position,4,3,1,100000001,610000005117,
-20789.2,µm,Spine,Spine Position,1,1,1,100000001,610000005121,
-20789.8,µm,Spine,Spine Position,4,3,1,100000001,610000005124,
-20761.6,µm,Spine,Spine Position,2,2,1,100000003,610000005131,
-20761.6,µm,Spine,Spine Position,2,2,1,100000003,610000005137,
-20781.7,µm,Spine,Spine Position,0,1,1,100000002,610000005144,
-20793.6,µm,Spine,Spine Position,0,1,1,100000001,610000005150,
-20774.8,µm,Spine,Spine Position,4,2,1,100000002,610000005153,
-20757.2,µm,Spine,Spine Position,5,2,1,100000003,610000005156,
-20769.1,µm,Spine,Spine Position,7,1,1,100000003,610000005158,
-20748.3,µm,Spine,Spine Position,0,1,1,100000000,610000005166,
-20788.8,µm,Spine,Spine Position,2,2,1,100000001,610000005169,
-20780.1,µm,Spine,Spine Position,6,3,1,100000002,610000005172,
-20752.5,µm,Spine,Spine Position,7,4,1,100000000,610000005175,
-20766.1,µm,Spine,Spine Position,11,5,1,100000002,610000005177,
-20757.6,µm,Spine,Spine Position,1,1,1,100000003,610000005181,
-20785.7,µm,Spine,Spine Position,3,2,1,100000001,610000005187,
-20746.7,µm,Spine,Spine Position,0,1,1,100000000,610000005191,
-20783.1,µm,Spine,Spine Position,0,1,1,100000002,610000005195,
-20793.5,µm,Spine,Spine Position,0,1,1,100000001,610000005197,
-20745.5,µm,Spine,Spine Position,1,2,1,100000000,610000005200,
-20756.9,µm,Spine,Spine Position,4,1,1,100000003,610000005206,
-20782.1,µm,Spine,Spine Position,2,2,1,100000002,610000005209,
-20757.2,µm,Spine,Spine Position,3,2,1,100000003,610000005215,
-20762.6,µm,Spine,Spine Position,5,1,1,100000003,610000005217,
-20762.4,µm,Spine,Spine Position,5,1,1,100000003,610000005220,
-20749.7,µm,Spine,Spine Position,0,1,1,100000000,610000005222,
-20746.4,µm,Spine,Spine Position,0,1,1,100000000,610000005226,
-20793.6,µm,Spine,Spine Position,7,3,1,100000002,610000005229,
-20761.8,µm,Spine,Spine Position,2,1,1,100000003,610000005233,
-20789.3,µm,Spine,Spine Position,5,3,1,100000001,610000005236,
-20769.3,µm,Spine,Spine Position,8,3,1,100000002,610000005239,
-20788.3,µm,Spine,Spine Position,4,3,1,100000002,610000005243,
-20791.6,µm,Spine,Spine Position,7,3,1,100000002,610000005245,
-20787,µm,Spine,Spine Position,4,3,1,100000001,610000005247,
-20788.3,µm,Spine,Spine Position,3,1,1,100000001,610000005251,
-20748.1,µm,Spine,Spine Position,0,1,1,100000000,610000005255,
