
Segment Number of Voxel Ch=1 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
599,,Segment,1,2,Image 1,1,1,100000003,510000001911,
1044,,Segment,1,1,Image 1,1,1,100000003,510000001926,
368,,Segment,1,0,Image 1,1,1,100000003,510000001930,
674,,Segment,1,5,Image 1,2,1,100000002,510000001968,
309,,Segment,1,8,Image 1,5,1,100000002,510000001982,
381,,Segment,1,7,Image 1,3,1,100000002,510000002000,
151,,Segment,1,6,Image 1,3,1,100000002,510000002006,
251,,Segment,1,5,Image 1,3,1,100000002,510000002014,
606,,Segment,1,5,Image 1,3,1,100000001,510000002037,
171,,Segment,1,4,Image 1,2,1,100000001,510000002042,
409,,Segment,1,3,Image 1,2,1,100000001,510000002066,
363,,Segment,1,2,Image 1,2,1,100000001,510000002090,
823,,Segment,1,1,Image 1,2,1,100000001,510000002116,
1355,,Segment,1,0,Image 1,1,1,100000001,510000002146,
190,,Segment,1,6,Image 1,4,1,100000002,510000002175,
103,,Segment,1,7,Image 1,5,1,100000002,510000002177,
188,,Segment,1,7,Image 1,4,1,100000002,510000002181,
77,,Segment,1,10,Image 1,4,1,100000002,510000002183,
207,,Segment,1,9,Image 1,2,1,100000003,510000002196,
299,,Segment,1,8,Image 1,4,1,100000002,510000002212,
222,,Segment,1,7,Image 1,3,1,100000002,510000002214,
650,,Segment,1,4,Image 1,4,1,100000002,510000002251,
76,,Segment,1,9,Image 1,5,1,100000002,510000002253,
149,,Segment,1,8,Image 1,5,1,100000002,510000002259,
203,,Segment,1,6,Image 1,3,1,100000002,510000002264,
466,,Segment,1,8,Image 1,3,1,100000002,510000002271,
319,,Segment,1,6,Image 1,2,1,100000002,510000002292,
168,,Segment,1,5,Image 1,2,1,100000002,510000002297,
665,,Segment,1,4,Image 1,2,1,100000002,510000002335,
657,,Segment,1,4,Image 1,3,1,100000002,510000002361,
226,,Segment,1,6,Image 1,3,1,100000002,510000002374,
66,,Segment,1,8,Image 1,1,1,100000003,510000002376,
147,,Segment,1,6,Image 1,2,1,100000002,510000002379,
