
Segment Center Number of Voxel Ch=5 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
10,,Segment,5,7,Image 1,4,1,100000002,510000000012,
17,,Segment,5,6,Image 1,3,1,100000002,510000000028,
3,,Segment,5,5,Image 1,2,1,100000002,510000000030,
4,,Segment,5,4,Image 1,2,1,100000002,510000000033,
10,,Segment,5,3,Image 1,2,1,100000002,510000000042,
36,,Segment,5,2,Image 1,2,1,100000002,510000000077,
21,,Segment,5,1,Image 1,1,1,100000002,510000000097,
10,,Segment,5,0,Image 1,1,1,100000002,510000000110,
34,,Segment,5,8,Image 1,4,1,100000002,510000000178,
7,,Segment,5,7,Image 1,3,1,100000002,510000000184,
29,,Segment,5,10,Image 1,4,1,100000002,510000000220,
12,,Segment,5,9,Image 1,3,1,100000002,510000000231,
12,,Segment,5,8,Image 1,3,1,100000002,510000000242,
9,,Segment,5,7,Image 1,3,1,100000002,510000000250,
26,,Segment,5,6,Image 1,2,1,100000002,510000000275,
17,,Segment,5,10,Image 1,3,1,100000002,510000000292,
5,,Segment,5,7,Image 1,2,1,100000002,510000000296,
7,,Segment,5,9,Image 1,4,1,100000002,510000000302,
7,,Segment,5,6,Image 1,3,1,100000002,510000000308,
15,,Segment,5,5,Image 1,3,1,100000002,510000000322,
3,,Segment,5,6,Image 1,4,1,100000002,510000000324,
17,,Segment,5,3,Image 1,3,1,100000002,510000000340,
3,,Segment,5,4,Image 1,3,1,100000002,510000000342,
16,,Segment,5,2,Image 1,1,1,100000002,510000000357,
10,,Segment,5,1,Image 1,2,1,100000002,510000000366,
70,,Segment,5,8,Image 1,3,1,100000000,510000000435,
5,,Segment,5,7,Image 1,3,1,100000000,510000000439,
10,,Segment,5,6,Image 1,3,1,100000000,510000000448,
4,,Segment,5,4,Image 1,3,1,100000000,510000000452,
15,,Segment,5,3,Image 1,3,1,100000000,510000000466,
10,,Segment,5,1,Image 1,2,1,100000000,510000000476,
7,,Segment,5,0,Image 1,1,1,100000000,510000000484,
52,,Segment,5,7,Image 1,4,1,100000000,510000000541,
23,,Segment,5,8,Image 1,4,1,100000000,510000000563,
8,,Segment,5,5,Image 1,4,1,100000000,510000000570,
3,,Segment,5,6,Image 1,4,1,100000000,510000000572,
3,,Segment,5,4,Image 1,4,1,100000000,510000000574,
17,,Segment,5,5,Image 1,3,1,100000003,510000000590,
21,,Segment,5,4,Image 1,2,1,100000003,510000000610,
15,,Segment,5,3,Image 1,1,1,100000003,510000000624,
11,,Segment,5,2,Image 1,1,1,100000003,510000000634,
10,,Segment,5,1,Image 1,1,1,100000003,510000000643,
14,,Segment,5,0,Image 1,1,1,100000003,510000000660,
24,,Segment,5,8,Image 1,2,1,100000002,510000000691,
8,,Segment,5,7,Image 1,2,1,100000002,510000000698,
3,,Segment,5,6,Image 1,2,1,100000002,510000000700,
