
Area
 ==================== 
Area,Unit,Category,Time,Set 1,ID,
84.7165,µm^2,Surface,1,Class B,0,
64.4123,µm^2,Surface,1,Class B,1,
219.9,µm^2,Surface,1,Class B,2,
91.5707,µm^2,Surface,1,Class B,3,
116.493,µm^2,Surface,1,Class B,4,
