
Cumulative Volume Img=1
 ==================== 
Distance to Surface,Cumulative Volume,Unit,Collection,Image,Time,ID,
5.1,5163.21,µm^3,Cumulative Volume,Image 1,1,,
5.236,5273,µm^3,Cumulative Volume,Image 1,1,,
5.372,5381.51,µm^3,Cumulative Volume,Image 1,1,,
5.508,5488.46,µm^3,Cumulative Volume,Image 1,1,,
5.644,5593.04,µm^3,Cumulative Volume,Image 1,1,,
5.78,5695.09,µm^3,Cumulative Volume,Image 1,1,,
5.916,5794.76,µm^3,Cumulative Volume,Image 1,1,,
6.052,5893.4,µm^3,Cumulative Volume,Image 1,1,,
6.188,5990.71,µm^3,Cumulative Volume,Image 1,1,,
6.324,6086.24,µm^3,Cumulative Volume,Image 1,1,,
6.46,6179.39,µm^3,Cumulative Volume,Image 1,1,,
6.596,6270.01,µm^3,Cumulative Volume,Image 1,1,,
6.732,6359.48,µm^3,Cumulative Volume,Image 1,1,,
6.868,6447.91,µm^3,Cumulative Volume,Image 1,1,,
7.004,6535.39,µm^3,Cumulative Volume,Image 1,1,,
7.14,6621.97,µm^3,Cumulative Volume,Image 1,1,,
7.276,6707.33,µm^3,Cumulative Volume,Image 1,1,,
7.412,6791.48,µm^3,Cumulative Volume,Image 1,1,,
7.548,6875.57,µm^3,Cumulative Volume,Image 1,1,,
7.684,6959.45,µm^3,Cumulative Volume,Image 1,1,,
7.82,7042.77,µm^3,Cumulative Volume,Image 1,1,,
7.956,7125.23,µm^3,Cumulative Volume,Image 1,1,,
8.092,7206,µm^3,Cumulative Volume,Image 1,1,,
8.228,7286.06,µm^3,Cumulative Volume,Image 1,1,,
8.364,7366.63,µm^3,Cumulative Volume,Image 1,1,,
8.5,7446.44,µm^3,Cumulative Volume,Image 1,1,,
8.636,7526.03,µm^3,Cumulative Volume,Image 1,1,,
8.772,7604.23,µm^3,Cumulative Volume,Image 1,1,,
8.908,7681.6,µm^3,Cumulative Volume,Image 1,1,,
9.044,7758.51,µm^3,Cumulative Volume,Image 1,1,,
9.18,7833.24,µm^3,Cumulative Volume,Image 1,1,,
9.316,7906.44,µm^3,Cumulative Volume,Image 1,1,,
9.452,7976.92,µm^3,Cumulative Volume,Image 1,1,,
9.588,8045.57,µm^3,Cumulative Volume,Image 1,1,,
9.724,8113.45,µm^3,Cumulative Volume,Image 1,1,,
9.86,8179.6,µm^3,Cumulative Volume,Image 1,1,,
9.996,8244.92,µm^3,Cumulative Volume,Image 1,1,,
10.132,8308.63,µm^3,Cumulative Volume,Image 1,1,,
10.268,8371.36,µm^3,Cumulative Volume,Image 1,1,,
10.404,8432.36,µm^3,Cumulative Volume,Image 1,1,,
10.54,8492.44,µm^3,Cumulative Volume,Image 1,1,,
10.676,8552.34,µm^3,Cumulative Volume,Image 1,1,,
10.812,8610.8,µm^3,Cumulative Volume,Image 1,1,,
10.948,8668.38,µm^3,Cumulative Volume,Image 1,1,,
11.084,8724.25,µm^3,Cumulative Volume,Image 1,1,,
11.22,8779.15,µm^3,Cumulative Volume,Image 1,1,,
11.356,8833.79,µm^3,Cumulative Volume,Image 1,1,,
