
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,Set 1,ID,
21802.6,µm,Surface,Distance from Origin,1,Class B,0,
21793.9,µm,Surface,Distance from Origin,1,Class B,1,
21784.2,µm,Surface,Distance from Origin,1,Class B,2,
21800.9,µm,Surface,Distance from Origin,1,Class B,3,
21768.8,µm,Surface,Distance from Origin,1,Class B,4,
