
Intensity StdDev Ch=5 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,Set 1,ID,
8.67,,Surface,5,Image 1,1,Class B,0,
9.66198,,Surface,5,Image 1,1,Class B,1,
14.8544,,Surface,5,Image 1,1,Class B,2,
10.8014,,Surface,5,Image 1,1,Class B,3,
8.50794,,Surface,5,Image 1,1,Class B,4,
