
Intensity Median Ch=5 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,Set 1,ID,
0.03125,,Surface,5,Image 1,1,Class B,0,
0.03125,,Surface,5,Image 1,1,Class B,1,
0.0625,,Surface,5,Image 1,1,Class B,2,
0.0625,,Surface,5,Image 1,1,Class B,3,
0.03125,,Surface,5,Image 1,1,Class B,4,
