
Volume Outside Img=1
 ==================== 
Distance to Surface,Volume Outside,Unit,Collection,Image,Time,ID,
0.068,58.2418,µm^3,Volume Outside,Image 1,1,,
0.204,58.7754,µm^3,Volume Outside,Image 1,1,,
0.34,62.8488,µm^3,Volume Outside,Image 1,1,,
0.476,63.2574,µm^3,Volume Outside,Image 1,1,,
0.612,66.7913,µm^3,Volume Outside,Image 1,1,,
0.748,70.8639,µm^3,Volume Outside,Image 1,1,,
0.884,72.7795,µm^3,Volume Outside,Image 1,1,,
1.02,75.9995,µm^3,Volume Outside,Image 1,1,,
1.156,79.096,µm^3,Volume Outside,Image 1,1,,
1.292,81.7431,µm^3,Volume Outside,Image 1,1,,
1.428,84.7213,µm^3,Volume Outside,Image 1,1,,
1.564,87.7622,µm^3,Volume Outside,Image 1,1,,
1.7,90.7311,µm^3,Volume Outside,Image 1,1,,
1.836,93.7956,µm^3,Volume Outside,Image 1,1,,
1.972,96.6644,µm^3,Volume Outside,Image 1,1,,
2.108,98.9861,µm^3,Volume Outside,Image 1,1,,
2.244,101.025,µm^3,Volume Outside,Image 1,1,,
2.38,101.996,µm^3,Volume Outside,Image 1,1,,
2.516,102.629,µm^3,Volume Outside,Image 1,1,,
2.652,103.065,µm^3,Volume Outside,Image 1,1,,
2.788,104.275,µm^3,Volume Outside,Image 1,1,,
2.924,104.986,µm^3,Volume Outside,Image 1,1,,
3.06,106.292,µm^3,Volume Outside,Image 1,1,,
3.196,107.131,µm^3,Volume Outside,Image 1,1,,
3.332,107.892,µm^3,Volume Outside,Image 1,1,,
3.468,109.109,µm^3,Volume Outside,Image 1,1,,
3.604,110.278,µm^3,Volume Outside,Image 1,1,,
3.74,111.085,µm^3,Volume Outside,Image 1,1,,
3.876,112.52,µm^3,Volume Outside,Image 1,1,,
4.012,113.692,µm^3,Volume Outside,Image 1,1,,
4.148,114.979,µm^3,Volume Outside,Image 1,1,,
4.284,116.087,µm^3,Volume Outside,Image 1,1,,
4.42,116.741,µm^3,Volume Outside,Image 1,1,,
4.556,118.198,µm^3,Volume Outside,Image 1,1,,
4.692,119.451,µm^3,Volume Outside,Image 1,1,,
4.828,120.06,µm^3,Volume Outside,Image 1,1,,
4.964,120.487,µm^3,Volume Outside,Image 1,1,,
5.1,120.662,µm^3,Volume Outside,Image 1,1,,
5.236,120.746,µm^3,Volume Outside,Image 1,1,,
5.372,122.163,µm^3,Volume Outside,Image 1,1,,
5.508,123.347,µm^3,Volume Outside,Image 1,1,,
5.644,123.763,µm^3,Volume Outside,Image 1,1,,
