
Filament Spine Length (sum)
 ==================== 
Filament Spine Length (sum),Unit,Category,Time,ID,
7.73972,µm,Filament,1,100000000,
6.802,µm,Filament,1,100000001,
4.73821,µm,Filament,1,100000002,
3.33747,µm,Filament,1,100000003,
1.72135,µm,Filament,1,100000004,
