
Spine Min Diameter
 ==================== 
Spine Min Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.169231,µm,Spine,1,2,1,100000001,610000001690,
0.182948,µm,Spine,1,2,1,100000002,610000001695,
0.162334,µm,Spine,1,2,1,100000002,610000001699,
0.171982,µm,Spine,0,1,1,100000000,610000001702,
0.22491,µm,Spine,0,1,1,100000000,610000001707,
0.162334,µm,Spine,0,1,1,100000000,610000001716,
0.175946,µm,Spine,1,1,1,100000001,610000001719,
0.185167,µm,Spine,1,2,1,100000003,610000001723,
0.165457,µm,Spine,1,1,1,100000001,610000001728,
0.243501,µm,Spine,1,1,1,100000001,610000001731,
0.28475,µm,Spine,0,1,1,100000000,610000001733,
0.162334,µm,Spine,1,2,1,100000002,610000001736,
0.192772,µm,Spine,0,1,1,100000001,610000001738,
0.331903,µm,Spine,0,1,1,100000000,610000001741,
0.438726,µm,Spine,1,2,1,100000002,610000001744,
0.255023,µm,Spine,0,1,1,100000000,610000001747,
0.252801,µm,Spine,0,1,1,100000000,610000001749,
0.280737,µm,Spine,1,1,1,100000001,610000001752,
0.313546,µm,Spine,1,2,1,100000002,610000001754,
0.258573,µm,Spine,1,1,1,100000001,610000001756,
0.167783,µm,Spine,0,1,1,100000003,610000001758,
0.174315,µm,Spine,0,1,1,100000000,610000001762,
0.401517,µm,Spine,0,1,1,100000000,610000001764,
0.162334,µm,Spine,1,2,1,100000002,610000001767,
0.191513,µm,Spine,0,1,1,100000000,610000001770,
0.177318,µm,Spine,0,1,1,100000003,610000001773,
0.162334,µm,Spine,1,2,1,100000002,610000001775,
0.334216,µm,Spine,0,1,1,100000000,610000001778,
0.29297,µm,Spine,0,1,1,100000000,610000001781,
0.317896,µm,Spine,1,2,1,100000002,610000001785,
0.32347,µm,Spine,1,2,1,100000002,610000001788,
0.261256,µm,Spine,0,1,1,100000000,610000001792,
0.307139,µm,Spine,1,2,1,100000003,610000001795,
0.332904,µm,Spine,1,1,1,100000001,610000001803,
0.28491,µm,Spine,0,1,1,100000004,610000001805,
0.227014,µm,Spine,0,1,1,100000000,610000001814,
0.177318,µm,Spine,0,1,1,100000003,610000001816,
0.369798,µm,Spine,0,1,1,100000000,610000001819,
0.366872,µm,Spine,0,1,1,100000000,610000001821,
0.415188,µm,Spine,1,2,1,100000002,610000001823,
0.162334,µm,Spine,0,1,1,100000000,610000001829,
0.27724,µm,Spine,1,1,1,100000001,610000001841,
0.22163,µm,Spine,1,1,1,100000001,610000001843,
0.250679,µm,Spine,0,1,1,100000004,610000001845,
0.345384,µm,Spine,0,1,1,100000000,610000001847,
0.29297,µm,Spine,0,1,1,100000000,610000001849,
0.321157,µm,Spine,0,1,1,100000000,610000001856,
0.248574,µm,Spine,0,1,1,100000000,610000001858,
0.359903,µm,Spine,1,1,1,100000001,610000001865,
0.345798,µm,Spine,0,1,1,100000000,610000001871,
0.321485,µm,Spine,0,1,1,100000000,610000001879,
0.219069,µm,Spine,0,1,1,100000000,610000001891,
0.273428,µm,Spine,0,1,1,100000000,610000001908,
0.288901,µm,Spine,1,1,1,100000001,610000001909,
0.247996,µm,Spine,1,1,1,100000001,610000001910,
0.415324,µm,Spine,1,1,1,100000001,610000001911,
0.183036,µm,Spine,1,1,1,100000001,610000001912,
0.20421,µm,Spine,0,1,1,100000001,610000001913,
0.304376,µm,Spine,0,1,1,100000001,610000001914,
0.350074,µm,Spine,0,1,1,100000001,610000001915,
0.235613,µm,Spine,0,1,1,100000001,610000001916,
0.256832,µm,Spine,2,2,1,100000001,610000001917,
0.333714,µm,Spine,0,1,1,100000001,610000001924,
0.306999,µm,Spine,1,2,1,100000002,610000001927,
0.162334,µm,Spine,0,1,1,100000002,610000001928,
0.27747,µm,Spine,0,1,1,100000002,610000001929,
0.167407,µm,Spine,0,1,1,100000002,610000001930,
0.327246,µm,Spine,0,1,1,100000002,610000001931,
0.179572,µm,Spine,1,2,1,100000002,610000001933,
0.224221,µm,Spine,0,1,1,100000002,610000001934,
0.173952,µm,Spine,3,2,1,100000003,610000001943,
0.182626,µm,Spine,2,2,1,100000003,610000001944,
0.162334,µm,Spine,1,2,1,100000003,610000001945,
0.186271,µm,Spine,0,1,1,100000003,610000001946,
0.216915,µm,Spine,0,1,1,100000003,610000001950,
0.312516,µm,Spine,1,1,1,100000004,610000001952,
0.35213,µm,Spine,1,1,1,100000004,610000001953,
0.268738,µm,Spine,0,1,1,100000004,610000001954,
0.180405,µm,Spine,0,1,1,100000004,610000001955,
