
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
16.6904,,Surface,2,Image 1,1,0,
11.0599,,Surface,2,Image 1,1,1,
8.76628,,Surface,2,Image 1,1,2,
0,,Surface,2,Image 1,1,3,
9.37532,,Surface,2,Image 1,1,4,
