
Filament Length (sum)
 ==================== 
Filament Length (sum),Unit,Category,Time,ID,
14.4225,µm,Filament,1,100000000,
40.811,µm,Filament,1,100000001,
21.6898,µm,Filament,1,100000002,
17.6096,µm,Filament,1,100000003,
16.4852,µm,Filament,1,100000004,
