
Spine Terminal Pt Intensity Center Ch=3 Img=1
 ==================== 
Spine Terminal Pt Intensity Center,Unit,Category,Channel,Depth,Image,Time,FilamentID,ID,
96,,Spine,3,0,Image 1,1,100000001,610000002912,
116,,Spine,3,0,Image 1,1,100000001,610000002926,
0,,Spine,3,0,Image 1,1,100000001,610000002929,
120,,Spine,3,0,Image 1,1,100000001,610000002946,
50,,Spine,3,0,Image 1,1,100000001,610000002953,
118,,Spine,3,2,Image 1,1,100000000,610000002957,
69,,Spine,3,0,Image 1,1,100000001,610000002966,
57,,Spine,3,11,Image 1,1,100000001,610000002969,
57,,Spine,3,0,Image 1,1,100000001,610000002973,
0,,Spine,3,1,Image 1,1,100000001,610000002976,
70,,Spine,3,1,Image 1,1,100000000,610000002980,
57,,Spine,3,5,Image 1,1,100000001,610000002983,
36,,Spine,3,3,Image 1,1,100000001,610000002985,
54,,Spine,3,7,Image 1,1,100000001,610000002987,
55,,Spine,3,0,Image 1,1,100000001,610000002991,
42,,Spine,3,5,Image 1,1,100000001,610000002993,
54,,Spine,3,2,Image 1,1,100000000,610000002997,
50,,Spine,3,4,Image 1,1,100000001,610000003000,
41,,Spine,3,2,Image 1,1,100000000,610000003003,
52,,Spine,3,5,Image 1,1,100000001,610000003009,
32,,Spine,3,2,Image 1,1,100000000,610000003014,
45,,Spine,3,3,Image 1,1,100000001,610000003016,
60,,Spine,3,2,Image 1,1,100000000,610000003019,
126,,Spine,3,6,Image 1,1,100000001,610000003026,
77,,Spine,3,2,Image 1,1,100000000,610000003029,
55,,Spine,3,1,Image 1,1,100000001,610000003033,
80,,Spine,3,0,Image 1,1,100000001,610000003037,
113,,Spine,3,0,Image 1,1,,610000003040,
62,,Spine,3,3,Image 1,1,100000001,610000003046,
66,,Spine,3,1,Image 1,1,100000000,610000003048,
61,,Spine,3,0,Image 1,1,100000000,610000003050,
43,,Spine,3,8,Image 1,1,100000001,610000003053,
45,,Spine,3,2,Image 1,1,100000001,610000003056,
68,,Spine,3,0,Image 1,1,,610000003059,
53,,Spine,3,2,Image 1,1,100000000,610000003062,
99,,Spine,3,1,Image 1,1,100000001,610000003065,
119,,Spine,3,0,Image 1,1,100000001,610000003069,
95,,Spine,3,2,Image 1,1,100000000,610000003073,
157,,Spine,3,0,Image 1,1,,610000003075,
162,,Spine,3,0,Image 1,1,,610000003080,
113,,Spine,3,0,Image 1,1,100000001,610000003086,
169,,Spine,3,4,Image 1,1,100000001,610000003100,
92,,Spine,3,2,Image 1,1,100000000,610000003105,
188,,Spine,3,0,Image 1,1,,610000003107,
87,,Spine,3,5,Image 1,1,100000001,610000003115,
66,,Spine,3,7,Image 1,1,100000001,610000003117,
116,,Spine,3,0,Image 1,1,100000001,610000003120,
109,,Spine,3,2,Image 1,1,100000000,610000003123,
154,,Spine,3,3,Image 1,1,100000001,610000003126,
73,,Spine,3,7,Image 1,1,100000001,610000003128,
77,,Spine,3,4,Image 1,1,100000001,610000003131,
99,,Spine,3,2,Image 1,1,100000000,610000003134,
128,,Spine,3,0,Image 1,1,100000001,610000003142,
128,,Spine,3,1,Image 1,1,100000001,610000003145,
113,,Spine,3,2,Image 1,1,100000000,610000003149,
155,,Spine,3,0,Image 1,1,100000001,610000003151,
69,,Spine,3,1,Image 1,1,100000000,610000003155,
56,,Spine,3,1,Image 1,1,100000001,610000003157,
112,,Spine,3,3,Image 1,1,100000001,610000003160,
112,,Spine,3,0,Image 1,1,,610000003163,
175,,Spine,3,0,Image 1,1,,610000003175,
156,,Spine,3,2,Image 1,1,100000000,610000003178,
147,,Spine,3,0,Image 1,1,100000000,610000003189,
62,,Spine,3,1,Image 1,1,,610000003272,
111,,Spine,3,0,Image 1,1,,610000003272,
48,,Spine,3,1,Image 1,1,,610000003273,
55,,Spine,3,8,Image 1,1,,610000003273,
101,,Spine,3,0,Image 1,1,,610000003274,
70,,Spine,3,8,Image 1,1,,610000003274,
41,,Spine,3,2,Image 1,1,,610000003275,
55,,Spine,3,8,Image 1,1,,610000003275,
40,,Spine,3,3,Image 1,1,,610000003276,
101,,Spine,3,6,Image 1,1,,610000003276,
52,,Spine,3,5,Image 1,1,,610000003277,
83,,Spine,3,3,Image 1,1,,610000003277,
55,,Spine,3,5,Image 1,1,,610000003278,
55,,Spine,3,3,Image 1,1,,610000003278,
125,,Spine,3,0,Image 1,1,,610000003279,
61,,Spine,3,4,Image 1,1,,610000003279,
74,,Spine,3,2,Image 1,1,,610000003280,
114,,Spine,3,4,Image 1,1,,610000003280,
175,,Spine,3,3,Image 1,1,,610000003281,
0,,Spine,3,2,Image 1,1,,610000003281,
51,,Spine,3,3,Image 1,1,,610000003282,
48,,Spine,3,3,Image 1,1,,610000003283,
73,,Spine,3,2,Image 1,1,,610000003283,
37,,Spine,3,3,Image 1,1,,610000003284,
44,,Spine,3,4,Image 1,1,,610000003284,
71,,Spine,3,5,Image 1,1,,610000003285,
54,,Spine,3,2,Image 1,1,,610000003285,
119,,Spine,3,5,Image 1,1,,610000003286,
30,,Spine,3,2,Image 1,1,,610000003286,
44,,Spine,3,2,Image 1,1,,610000003287,
53,,Spine,3,4,Image 1,1,,610000003287,
43,,Spine,3,3,Image 1,1,,610000003288,
51,,Spine,3,4,Image 1,1,,610000003288,
77,,Spine,3,0,Image 1,1,,610000003289,
27,,Spine,3,5,Image 1,1,,610000003290,
103,,Spine,3,0,Image 1,1,,610000003290,
83,,Spine,3,0,Image 1,1,,610000003291,
86,,Spine,3,4,Image 1,1,,610000003291,
71,,Spine,3,0,Image 1,1,,610000003292,
26,,Spine,3,7,Image 1,1,,610000003292,
108,,Spine,3,0,Image 1,1,,610000003293,
73,,Spine,3,7,Image 1,1,,610000003293,
52,,Spine,3,0,Image 1,1,,610000003294,
89,,Spine,3,0,Image 1,1,,610000003295,
55,,Spine,3,1,Image 1,1,,610000003296,
47,,Spine,3,1,Image 1,1,,610000003297,
67,,Spine,3,1,Image 1,1,,610000003298,
63,,Spine,3,1,Image 1,1,,610000003299,
74,,Spine,3,1,Image 1,1,,610000003300,
80,,Spine,3,0,Image 1,1,,610000003301,
84,,Spine,3,0,Image 1,1,,610000003302,
111,,Spine,3,0,Image 1,1,,610000003303,
109,,Spine,3,0,Image 1,1,,610000003304,
135,,Spine,3,0,Image 1,1,,610000003305,
162,,Spine,3,0,Image 1,1,,610000003306,
