
Spine Orientation Angle
 ==================== 
Spine Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
79.7336,°,Spine,0,1,1,100000001,610000002912,
77.228,°,Spine,0,1,1,100000001,610000002926,
-106.69,°,Spine,0,1,1,100000001,610000002929,
-93.5248,°,Spine,0,1,1,100000001,610000002946,
-1.08771,°,Spine,0,1,1,100000001,610000002953,
169.665,°,Spine,2,2,1,100000000,610000002957,
71.9835,°,Spine,0,1,1,100000001,610000002966,
-100.548,°,Spine,11,4,1,100000001,610000002969,
85.8466,°,Spine,0,1,1,100000001,610000002973,
18.0223,°,Spine,1,1,1,100000001,610000002976,
77.4681,°,Spine,1,2,1,100000000,610000002980,
-177.412,°,Spine,5,2,1,100000001,610000002983,
-136.165,°,Spine,3,1,1,100000001,610000002985,
70.338,°,Spine,7,2,1,100000001,610000002987,
-162.542,°,Spine,0,1,1,100000001,610000002991,
-161.724,°,Spine,5,3,1,100000001,610000002993,
42.2555,°,Spine,2,2,1,100000000,610000002997,
175.895,°,Spine,4,1,1,100000001,610000003000,
161.391,°,Spine,2,1,1,100000000,610000003003,
-26.7255,°,Spine,5,2,1,100000001,610000003009,
-139.325,°,Spine,2,2,1,100000000,610000003014,
-103.499,°,Spine,3,3,1,100000001,610000003016,
50.8793,°,Spine,2,2,1,100000000,610000003019,
42.9839,°,Spine,6,2,1,100000001,610000003026,
-33.3235,°,Spine,2,2,1,100000000,610000003029,
141.269,°,Spine,1,1,1,100000001,610000003033,
-0.492149,°,Spine,0,1,1,100000001,610000003037,
16.4075,°,Spine,0,1,1,100000001,610000003042,
157.688,°,Spine,3,1,1,100000001,610000003046,
-170.111,°,Spine,1,1,1,100000000,610000003048,
-88.9868,°,Spine,0,1,1,100000000,610000003050,
29.9849,°,Spine,8,3,1,100000001,610000003053,
-165.84,°,Spine,2,2,1,100000001,610000003056,
157.216,°,Spine,0,1,1,100000000,610000003060,
-37.3981,°,Spine,2,2,1,100000000,610000003062,
-179.791,°,Spine,1,1,1,100000001,610000003065,
6.12007,°,Spine,0,1,1,100000001,610000003069,
62.5811,°,Spine,2,2,1,100000000,610000003073,
-166.711,°,Spine,0,1,1,100000001,610000003076,
126.536,°,Spine,0,1,1,100000001,610000003082,
15.7496,°,Spine,0,1,1,100000001,610000003086,
169.046,°,Spine,0,1,1,100000001,610000003088,
133.604,°,Spine,0,1,1,100000000,610000003091,
39.8035,°,Spine,0,1,1,100000000,610000003093,
-127.439,°,Spine,0,1,1,100000000,610000003095,
-163.057,°,Spine,4,2,1,100000001,610000003100,
-95.9125,°,Spine,2,2,1,100000000,610000003105,
110.155,°,Spine,0,1,1,100000001,610000003109,
-16.4829,°,Spine,5,2,1,100000001,610000003115,
4.60834,°,Spine,7,3,1,100000001,610000003117,
-93.0636,°,Spine,0,1,1,100000001,610000003120,
31.6853,°,Spine,2,2,1,100000000,610000003123,
-128.09,°,Spine,3,1,1,100000001,610000003126,
109.999,°,Spine,7,4,1,100000001,610000003128,
-39.5456,°,Spine,4,1,1,100000001,610000003131,
104.92,°,Spine,2,2,1,100000000,610000003134,
-4.83254,°,Spine,0,1,1,100000001,610000003136,
159.1,°,Spine,0,1,1,100000000,610000003140,
7.08525,°,Spine,0,1,1,100000001,610000003142,
137.257,°,Spine,1,1,1,100000001,610000003145,
-36.3615,°,Spine,2,2,1,100000000,610000003149,
99.975,°,Spine,0,1,1,100000001,610000003151,
52.8991,°,Spine,1,2,1,100000000,610000003155,
-67.7538,°,Spine,1,1,1,100000001,610000003157,
-157.271,°,Spine,3,1,1,100000001,610000003160,
-88.7102,°,Spine,0,1,1,100000001,610000003164,
-113.441,°,Spine,0,1,1,100000001,610000003167,
48.2694,°,Spine,0,1,1,100000001,610000003170,
131.819,°,Spine,0,1,1,100000001,610000003176,
134.28,°,Spine,2,1,1,100000000,610000003178,
118.212,°,Spine,0,1,1,100000001,610000003182,
-82.8224,°,Spine,0,1,1,100000000,610000003189,
86.4831,°,Spine,0,1,1,100000000,610000003199,
85.1718,°,Spine,1,1,1,100000000,610000003210,
146.513,°,Spine,1,1,1,100000000,610000003211,
-129.466,°,Spine,3,4,1,100000000,610000003214,
97.4392,°,Spine,2,2,1,100000000,610000003215,
-140.241,°,Spine,2,2,1,100000000,610000003216,
-9.87689,°,Spine,2,2,1,100000000,610000003217,
-129.214,°,Spine,3,3,1,100000000,610000003218,
-48.2461,°,Spine,3,2,1,100000000,610000003219,
-21.9648,°,Spine,2,1,1,100000000,610000003220,
-21.6786,°,Spine,2,2,1,100000000,610000003221,
109.47,°,Spine,2,2,1,100000000,610000003222,
-39.5312,°,Spine,0,1,1,100000000,610000003223,
-42.2478,°,Spine,3,4,1,100000000,610000003225,
88.9321,°,Spine,3,4,1,100000000,610000003226,
100.071,°,Spine,3,3,1,100000000,610000003227,
113.814,°,Spine,2,2,1,100000000,610000003228,
147.25,°,Spine,0,1,1,100000000,610000003229,
-146.917,°,Spine,4,3,1,100000001,610000003230,
95.666,°,Spine,4,3,1,100000001,610000003231,
-3.92597,°,Spine,5,2,1,100000001,610000003232,
38.4298,°,Spine,5,2,1,100000001,610000003233,
170.714,°,Spine,4,3,1,100000001,610000003234,
-7.72183,°,Spine,8,4,1,100000001,610000003235,
177.606,°,Spine,8,5,1,100000001,610000003236,
135.128,°,Spine,8,5,1,100000001,610000003237,
31.2855,°,Spine,6,3,1,100000001,610000003238,
-123.286,°,Spine,5,2,1,100000001,610000003239,
167.018,°,Spine,5,3,1,100000001,610000003240,
-18.9425,°,Spine,4,2,1,100000001,610000003241,
-150.111,°,Spine,4,2,1,100000001,610000003242,
-154.028,°,Spine,3,1,1,100000001,610000003243,
-174.047,°,Spine,3,1,1,100000001,610000003244,
29.3645,°,Spine,3,1,1,100000001,610000003245,
-49.7461,°,Spine,0,1,1,100000001,610000003246,
-83.7106,°,Spine,0,1,1,100000001,610000003247,
165.997,°,Spine,7,4,1,100000001,610000003252,
-19.8351,°,Spine,7,4,1,100000001,610000003253,
103.119,°,Spine,5,2,1,100000001,610000003254,
151.218,°,Spine,4,1,1,100000001,610000003255,
-103.65,°,Spine,0,1,1,100000001,610000003256,
162.296,°,Spine,1,1,1,100000001,610000003258,
65.2244,°,Spine,1,2,1,100000001,610000003264,
-132.672,°,Spine,1,2,1,100000001,610000003265,
119.216,°,Spine,1,2,1,100000001,610000003266,
-54.8525,°,Spine,1,2,1,100000001,610000003267,
-42.1957,°,Spine,0,1,1,100000001,610000003268,
135.548,°,Spine,0,1,1,100000001,610000003269,
