
Soma Center of Image Mass Ch=1 Img=1
 ==================== 
Soma Center of Image Mass X,Soma Center of Image Mass Y,Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
-295.727,21623.1,1442.49,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
-310.668,21626.9,1442.35,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
