
Segment Center Number of Voxel Ch=2 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
55,,Segment,2,4,Image 1,3,1,100000001,510000000059,
39,,Segment,2,3,Image 1,2,1,100000001,510000000097,
18,,Segment,2,2,Image 1,2,1,100000001,510000000114,
13,,Segment,2,1,Image 1,1,1,100000001,510000000126,
13,,Segment,2,0,Image 1,1,1,100000001,510000000138,
5,,Segment,2,5,Image 1,2,1,100000001,510000000161,
6,,Segment,2,4,Image 1,2,1,100000001,510000000166,
6,,Segment,2,5,Image 1,3,1,100000001,510000000171,
28,,Segment,2,3,Image 1,2,1,100000001,510000000199,
112,,Segment,2,2,Image 1,2,1,100000001,510000000315,
7,,Segment,2,1,Image 1,2,1,100000001,510000000321,
2,,Segment,2,3,Image 1,3,1,100000001,510000000326,
16,,Segment,2,10,Image 1,5,1,100000001,510000000341,
8,,Segment,2,9,Image 1,4,1,100000001,510000000348,
18,,Segment,2,8,Image 1,4,1,100000001,510000000365,
10,,Segment,2,7,Image 1,4,1,100000001,510000000374,
63,,Segment,2,6,Image 1,3,1,100000001,510000000436,
47,,Segment,2,5,Image 1,3,1,100000001,510000000482,
10,,Segment,2,4,Image 1,2,1,100000001,510000000491,
13,,Segment,2,3,Image 1,2,1,100000001,510000000503,
32,,Segment,2,2,Image 1,1,1,100000001,510000000534,
7,,Segment,2,11,Image 1,5,1,100000001,510000000540,
6,,Segment,2,11,Image 1,4,1,100000001,510000000546,
4,,Segment,2,9,Image 1,5,1,100000001,510000000549,
4,,Segment,2,8,Image 1,5,1,100000001,510000000552,
3,,Segment,2,7,Image 1,3,1,100000001,510000000554,
15,,Segment,2,6,Image 1,4,1,100000001,510000000568,
3,,Segment,2,6,Image 1,4,1,100000001,510000000570,
11,,Segment,2,4,Image 1,3,1,100000001,510000000595,
7,,Segment,2,5,Image 1,2,1,100000001,510000000601,
57,,Segment,2,1,Image 1,1,1,100000000,510000000657,
