
Soma Center of Image Mass Y
 ==================== 
Soma Center of Image Mass Y,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
21664.2,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
21664.2,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
21664.2,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
21664.7,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
21664.7,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
21650.6,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
21650.6,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
21650.6,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
21651.8,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
21650.6,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
21657.1,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000002,
21657,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
21657,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
21657.2,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
21657.2,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000002,800000002,
21669.2,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000003,800000003,
21669.1,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000003,800000003,
21669.1,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000003,800000003,
21669.3,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000003,800000003,
21669.3,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000003,800000003,
