
Spine Terminal Pt Diameter
 ==================== 
Spine Terminal Pt Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.2426,µm,Spine,0,1,1,100000003,610000003281,
0.162337,µm,Spine,0,1,1,100000003,610000003284,
0.211035,µm,Spine,2,2,1,100000003,610000003287,
0.280943,µm,Spine,10,4,1,100000000,610000003291,
0.53338,µm,Spine,6,2,1,100000001,610000003294,
0.243506,µm,Spine,16,6,1,100000000,610000003297,
0.23336,µm,Spine,11,4,1,100000000,610000003299,
0.24589,µm,Spine,1,2,1,100000001,610000003301,
0.240278,µm,Spine,3,2,1,100000002,610000003303,
0.257635,µm,Spine,16,6,1,100000000,610000003306,
0.278938,µm,Spine,1,2,1,100000000,610000003310,
0.308782,µm,Spine,2,2,1,100000001,610000003314,
0.25432,µm,Spine,10,4,1,100000000,610000003317,
0.636473,µm,Spine,6,2,1,100000001,610000003320,
0.513035,µm,Spine,5,2,1,100000000,610000003323,
0.237777,µm,Spine,3,1,1,100000001,610000003326,
0.276638,µm,Spine,23,9,1,100000000,610000003330,
0.433659,µm,Spine,23,9,1,100000000,610000003333,
0.270905,µm,Spine,3,1,1,100000002,610000003339,
0.405843,µm,Spine,6,2,1,100000001,610000003341,
0.428225,µm,Spine,6,2,1,100000001,610000003343,
0.247987,µm,Spine,2,2,1,100000003,610000003358,
0.24078,µm,Spine,23,9,1,100000000,610000003377,
0.415989,µm,Spine,20,6,1,100000000,610000003378,
0.203279,µm,Spine,20,5,1,100000000,610000003379,
0.243506,µm,Spine,16,6,1,100000000,610000003380,
0.392135,µm,Spine,12,4,1,100000000,610000003381,
0.342044,µm,Spine,13,5,1,100000000,610000003382,
0.173644,µm,Spine,13,6,1,100000000,610000003383,
0.315098,µm,Spine,8,4,1,100000000,610000003384,
0.275649,µm,Spine,12,4,1,100000000,610000003385,
0.258662,µm,Spine,11,3,1,100000000,610000003386,
0.286609,µm,Spine,10,4,1,100000000,610000003387,
0.295048,µm,Spine,6,3,1,100000000,610000003388,
0.20817,µm,Spine,2,1,1,100000000,610000003389,
0.37088,µm,Spine,1,1,1,100000000,610000003390,
0.372868,µm,Spine,2,2,1,100000001,610000003393,
0.28409,µm,Spine,3,2,1,100000001,610000003394,
0.3635,µm,Spine,1,1,1,100000001,610000003395,
0.302071,µm,Spine,6,2,1,100000001,610000003397,
0.449122,µm,Spine,1,2,1,100000001,610000003398,
0.250832,µm,Spine,7,3,1,100000001,610000003401,
0.256627,µm,Spine,5,3,1,100000001,610000003402,
0.282963,µm,Spine,1,2,1,100000001,610000003403,
0.308395,µm,Spine,3,3,1,100000001,610000003404,
0.183564,µm,Spine,3,2,1,100000001,610000003405,
0.252075,µm,Spine,1,2,1,100000002,610000003409,
0.200385,µm,Spine,4,3,1,100000002,610000003410,
0.337309,µm,Spine,1,2,1,100000003,610000003411,
