
Spine Part Length Ground
 ==================== 
Spine Part Length Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.68801,µm,Spine,Spine Part Length,1,2,1,100000002,610000000958,
0.492092,µm,Spine,Spine Part Length,8,3,1,100000000,610000000974,
0.598949,µm,Spine,Spine Part Length,1,2,1,100000002,610000000997,
0.366971,µm,Spine,Spine Part Length,2,1,1,100000000,610000001008,
0.327581,µm,Spine,Spine Part Length,0,1,1,100000001,610000001027,
0.327581,µm,Spine,Spine Part Length,0,1,1,100000001,610000001043,
0.46947,µm,Spine,Spine Part Length,2,1,1,100000000,610000001055,
0.315841,µm,Spine,Spine Part Length,8,3,1,100000000,610000001066,
0.505331,µm,Spine,Spine Part Length,1,1,1,100000001,610000001082,
0.496603,µm,Spine,Spine Part Length,0,1,1,100000001,610000001094,
0.368144,µm,Spine,Spine Part Length,1,1,1,100000001,610000001106,
0.328676,µm,Spine,Spine Part Length,0,1,1,100000001,610000001116,
0.422961,µm,Spine,Spine Part Length,3,2,1,100000001,610000001126,
0.236331,µm,Spine,Spine Part Length,1,1,1,100000000,610000001132,
0.219952,µm,Spine,Spine Part Length,2,1,1,100000000,610000001139,
0.423037,µm,Spine,Spine Part Length,3,2,1,100000001,610000001148,
0.413584,µm,Spine,Spine Part Length,6,2,1,100000000,610000001154,
0.464916,µm,Spine,Spine Part Length,5,2,1,100000000,610000001168,
0.32353,µm,Spine,Spine Part Length,7,4,1,100000000,610000001174,
0.239283,µm,Spine,Spine Part Length,1,1,1,100000001,610000001184,
0.741872,µm,Spine,Spine Part Length,1,1,1,100000002,610000001203,
0.292949,µm,Spine,Spine Part Length,1,1,1,100000001,610000001211,
0.418798,µm,Spine,Spine Part Length,3,2,1,100000001,610000001219,
0.265414,µm,Spine,Spine Part Length,1,1,1,100000000,610000001224,
0.268486,µm,Spine,Spine Part Length,2,2,1,100000000,610000001229,
0.292035,µm,Spine,Spine Part Length,1,1,1,100000000,610000001234,
0.374733,µm,Spine,Spine Part Length,2,1,1,100000000,610000001243,
0.283671,µm,Spine,Spine Part Length,1,1,1,100000000,610000001248,
0.741872,µm,Spine,Spine Part Length,1,1,1,100000002,610000001265,
0.741872,µm,Spine,Spine Part Length,1,1,1,100000002,610000001282,
0.35402,µm,Spine,Spine Part Length,1,2,1,100000002,610000001296,
0.741872,µm,Spine,Spine Part Length,1,1,1,100000002,610000001312,
0.409425,µm,Spine,Spine Part Length,3,2,1,100000001,610000001316,
0.464982,µm,Spine,Spine Part Length,5,2,1,100000000,610000001329,
0.23803,µm,Spine,Spine Part Length,1,1,1,100000001,610000001345,
0.31154,µm,Spine,Spine Part Length,7,4,1,100000000,610000001350,
0.147077,µm,Spine,Spine Part Length,0,1,1,100000001,610000001356,
0.303138,µm,Spine,Spine Part Length,1,2,1,100000002,610000001366,
0.381276,µm,Spine,Spine Part Length,6,2,1,100000000,610000001375,
0.241147,µm,Spine,Spine Part Length,1,1,1,100000001,610000001383,
0.310699,µm,Spine,Spine Part Length,3,2,1,100000001,610000001389,
0.247125,µm,Spine,Spine Part Length,8,3,1,100000000,610000001395,
0.610927,µm,Spine,Spine Part Length,1,1,1,100000002,610000001410,
0.281924,µm,Spine,Spine Part Length,5,4,1,100000001,610000001412,
0.448521,µm,Spine,Spine Part Length,1,2,1,100000002,610000001424,
0.326472,µm,Spine,Spine Part Length,6,2,1,100000000,610000001427,
0.600373,µm,Spine,Spine Part Length,5,2,1,100000000,610000001436,
0.276437,µm,Spine,Spine Part Length,3,2,1,100000001,610000001440,
0.1505,µm,Spine,Spine Part Length,7,2,1,100000000,610000001443,
0.347267,µm,Spine,Spine Part Length,5,2,1,100000000,610000001454,
0.345193,µm,Spine,Spine Part Length,5,2,1,100000000,610000001464,
0.0833815,µm,Spine,Spine Part Length,0,1,1,100000001,610000001472,
0.472699,µm,Spine,Spine Part Length,1,2,1,100000002,610000001477,
0.112542,µm,Spine,Spine Part Length,0,1,1,100000001,610000001486,
0.637169,µm,Spine,Spine Part Length,1,1,1,100000002,610000001500,
0.568838,µm,Spine,Spine Part Length,1,2,1,100000002,610000001511,
0.261894,µm,Spine,Spine Part Length,1,2,1,100000002,610000001521,
0.284898,µm,Spine,Spine Part Length,6,3,1,100000000,610000001525,
0.427269,µm,Spine,Spine Part Length,0,1,1,100000000,610000001535,
0.467661,µm,Spine,Spine Part Length,5,4,1,100000001,610000001543,
0.453404,µm,Spine,Spine Part Length,8,3,1,100000000,610000001557,
0.400421,µm,Spine,Spine Part Length,5,4,1,100000001,610000001563,
0.436724,µm,Spine,Spine Part Length,7,1,1,100000000,610000001567,
0.186861,µm,Spine,Spine Part Length,6,2,1,100000000,610000001571,
0.280313,µm,Spine,Spine Part Length,1,1,1,100000001,610000001576,
0.246509,µm,Spine,Spine Part Length,2,1,1,100000000,610000001579,
0.611369,µm,Spine,Spine Part Length,1,1,1,100000002,610000001591,
0.118182,µm,Spine,Spine Part Length,1,1,1,100000001,610000001598,
0.165749,µm,Spine,Spine Part Length,1,1,1,100000001,610000001603,
0.390948,µm,Spine,Spine Part Length,1,2,1,100000002,610000001608,
0.401819,µm,Spine,Spine Part Length,1,2,1,100000002,610000001613,
