
Soma Ellipsoid Axis Length B
 ==================== 
Soma Ellipsoid Axis Length B,Unit,Category,Time,FilamentID,ID,
0.86329,µm,Soma,1,100000000,800000000,
1.76439,µm,Soma,1,100000001,800000001,
0.447022,µm,Soma,1,100000002,800000002,
