
Segment Area
 ==================== 
Segment Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
1.27325,µm^2,Segment,3,4,1,100000002,510000000013,
0.702445,µm^2,Segment,2,3,1,100000002,510000000015,
12.7394,µm^2,Segment,1,2,1,100000002,510000000050,
0.98647,µm^2,Segment,0,1,1,100000002,510000000054,
1.14462,µm^2,Segment,3,4,1,100000002,510000000057,
0.816975,µm^2,Segment,3,3,1,100000002,510000000059,
0.877933,µm^2,Segment,2,2,1,100000002,510000000062,
8.00581,µm^2,Segment,1,1,1,100000002,510000000102,
3.70978,µm^2,Segment,1,1,1,100000002,510000000135,
2.044,µm^2,Segment,4,2,1,100000001,510000000145,
3.40354,µm^2,Segment,3,2,1,100000001,510000000158,
5.64124,µm^2,Segment,2,1,1,100000001,510000000167,
3.6616,µm^2,Segment,1,1,1,100000001,510000000173,
10.7821,µm^2,Segment,0,1,1,100000001,510000000193,
2.08781,µm^2,Segment,5,4,1,100000001,510000000205,
0.473972,µm^2,Segment,4,4,1,100000001,510000000207,
3.85212,µm^2,Segment,3,3,1,100000001,510000000227,
2.70534,µm^2,Segment,2,2,1,100000001,510000000233,
2.52523,µm^2,Segment,0,1,1,100000001,510000000240,
1.24724,µm^2,Segment,4,3,1,100000001,510000000245,
0.914534,µm^2,Segment,4,3,1,100000001,510000000250,
1.2085,µm^2,Segment,5,5,1,100000001,510000000256,
3.7543,µm^2,Segment,3,1,1,100000001,510000000269,
1.97976,µm^2,Segment,10,3,1,100000000,510000000278,
1.32958,µm^2,Segment,9,3,1,100000000,510000000281,
4.28733,µm^2,Segment,8,2,1,100000000,510000000298,
1.0809,µm^2,Segment,7,2,1,100000000,510000000301,
3.01605,µm^2,Segment,6,2,1,100000000,510000000307,
1.3692,µm^2,Segment,5,2,1,100000000,510000000309,
4.92688,µm^2,Segment,4,1,1,100000000,510000000314,
1.85405,µm^2,Segment,3,1,1,100000000,510000000316,
2.38181,µm^2,Segment,2,1,1,100000000,510000000318,
1.98045,µm^2,Segment,0,1,1,100000000,510000000321,
7.04642,µm^2,Segment,7,2,1,100000000,510000000361,
1.6282,µm^2,Segment,6,1,1,100000000,510000000366,
2.36507,µm^2,Segment,5,1,1,100000000,510000000369,
4.82124,µm^2,Segment,2,2,1,100000000,510000000394,
3.50693,µm^2,Segment,1,1,1,100000000,510000000402,
2.5796,µm^2,Segment,0,1,1,100000000,510000000406,
1.18207,µm^2,Segment,10,4,1,100000000,510000000412,
2.83644,µm^2,Segment,2,2,1,100000001,510000000420,
5.74201,µm^2,Segment,8,3,1,100000000,510000000442,
2.0685,µm^2,Segment,9,2,1,100000000,510000000449,
1.55213,µm^2,Segment,7,4,1,100000000,510000000458,
3.12108,µm^2,Segment,6,3,1,100000000,510000000470,
3.946,µm^2,Segment,7,1,1,100000000,510000000491,
2.60783,µm^2,Segment,7,3,1,100000000,510000000503,
4.24367,µm^2,Segment,6,2,1,100000000,510000000527,
1.33733,µm^2,Segment,5,2,1,100000000,510000000533,
1.05945,µm^2,Segment,4,2,1,100000000,510000000537,
2.78244,µm^2,Segment,3,2,1,100000000,510000000546,
2.65772,µm^2,Segment,6,3,1,100000000,510000000561,
5.06174,µm^2,Segment,1,2,1,100000000,510000000584,
1.50006,µm^2,Segment,0,1,1,100000000,510000000591,
0.940254,µm^2,Segment,1,2,1,100000001,510000000598,
1.83192,µm^2,Segment,7,3,1,100000000,510000000604,
2.5454,µm^2,Segment,3,1,1,100000001,510000000612,
2.80657,µm^2,Segment,2,1,1,100000001,510000000617,
2.62073,µm^2,Segment,6,2,1,100000000,510000000629,
2.9659,µm^2,Segment,3,2,1,100000001,510000000638,
3.25447,µm^2,Segment,2,1,1,100000000,510000000645,
1.78598,µm^2,Segment,3,2,1,100000001,510000000652,
1.26467,µm^2,Segment,5,3,1,100000000,510000000657,
2.08404,µm^2,Segment,0,1,1,100000001,510000000670,
1.96601,µm^2,Segment,2,1,1,100000000,510000000679,
1.3987,µm^2,Segment,1,1,1,100000000,510000000685,
1.35214,µm^2,Segment,0,1,1,100000000,510000000696,
2.82471,µm^2,Segment,1,2,1,100000001,510000000704,
1.94112,µm^2,Segment,2,2,1,100000000,510000000714,
3.5479,µm^2,Segment,1,1,1,100000000,510000000728,
1.40167,µm^2,Segment,4,3,1,100000000,510000000734,
2.22886,µm^2,Segment,4,2,1,100000000,510000000743,
1.88883,µm^2,Segment,1,2,1,100000000,510000000751,
0.842318,µm^2,Segment,0,1,1,100000001,510000000759,
3.57878,µm^2,Segment,1,2,1,100000000,510000000767,
1.19455,µm^2,Segment,1,2,1,100000000,510000000775,
1.82427,µm^2,Segment,2,2,1,100000000,510000000782,
0.700706,µm^2,Segment,0,1,1,100000000,510000000789,
0.513927,µm^2,Segment,0,1,1,100000000,510000000793,
0.29357,µm^2,Segment,0,1,1,100000000,510000000796,
1.40795,µm^2,Segment,1,1,1,100000000,510000000798,
0.682008,µm^2,Segment,1,1,1,100000001,510000000810,
