
Soma Center of Image Mass Z
 ==================== 
Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
1461.51,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1461.6,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1461.6,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1461.25,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1461.25,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1460.89,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1460.78,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1460.77,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1461.35,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1461.35,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1458.66,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1458.68,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1458.68,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1458.64,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1458.64,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000002,800000002,
