
Spine Attachment Pt Position Z
 ==================== 
Spine Attachment Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1443.9,µm,Spine,Spine Attachment Pt Position,2,2,1,100000005,610000008317,
1446.57,µm,Spine,Spine Attachment Pt Position,4,2,1,100000001,610000008328,
1459.19,µm,Spine,Spine Attachment Pt Position,2,2,1,100000003,610000008341,
1445.09,µm,Spine,Spine Attachment Pt Position,10,2,1,100000002,610000008357,
1460.08,µm,Spine,Spine Attachment Pt Position,2,1,1,100000004,610000008386,
1454.05,µm,Spine,Spine Attachment Pt Position,9,6,1,100000003,610000008394,
1441.69,µm,Spine,Spine Attachment Pt Position,5,3,1,100000003,610000008415,
1450.28,µm,Spine,Spine Attachment Pt Position,0,1,1,100000004,610000008426,
1454.64,µm,Spine,Spine Attachment Pt Position,1,1,1,100000005,610000008431,
1454.36,µm,Spine,Spine Attachment Pt Position,13,1,1,100000002,610000008437,
1441.24,µm,Spine,Spine Attachment Pt Position,4,1,1,100000001,610000008442,
1460.03,µm,Spine,Spine Attachment Pt Position,6,3,1,100000001,610000008455,
1441.22,µm,Spine,Spine Attachment Pt Position,2,2,1,100000004,610000008460,
1453.18,µm,Spine,Spine Attachment Pt Position,5,2,1,100000002,610000008468,
1442.96,µm,Spine,Spine Attachment Pt Position,8,4,1,100000002,610000008471,
1442.18,µm,Spine,Spine Attachment Pt Position,2,2,1,100000000,610000008476,
1453.91,µm,Spine,Spine Attachment Pt Position,6,3,1,100000002,610000008483,
1456.83,µm,Spine,Spine Attachment Pt Position,1,1,1,100000001,610000008486,
1452.33,µm,Spine,Spine Attachment Pt Position,6,6,1,100000003,610000008511,
1440.99,µm,Spine,Spine Attachment Pt Position,1,2,1,100000000,610000008516,
1440.24,µm,Spine,Spine Attachment Pt Position,6,1,1,100000003,610000008523,
1440.74,µm,Spine,Spine Attachment Pt Position,5,3,1,100000003,610000008539,
1458.53,µm,Spine,Spine Attachment Pt Position,6,1,1,100000001,610000008544,
1444.72,µm,Spine,Spine Attachment Pt Position,5,3,1,100000002,610000008563,
1448.93,µm,Spine,Spine Attachment Pt Position,6,1,1,100000002,610000008600,
1447.34,µm,Spine,Spine Attachment Pt Position,0,1,1,100000005,610000008602,
1440.01,µm,Spine,Spine Attachment Pt Position,7,2,1,100000003,610000008608,
1448.54,µm,Spine,Spine Attachment Pt Position,9,4,1,100000002,610000008623,
1450.63,µm,Spine,Spine Attachment Pt Position,6,3,1,100000002,610000008626,
1439.31,µm,Spine,Spine Attachment Pt Position,6,2,1,100000003,610000008628,
1444.2,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000008631,
1458.75,µm,Spine,Spine Attachment Pt Position,0,1,1,100000003,610000008647,
1447.97,µm,Spine,Spine Attachment Pt Position,1,1,1,100000003,610000008664,
1455.49,µm,Spine,Spine Attachment Pt Position,11,1,1,100000002,610000008668,
1442.39,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000008671,
