
Filament Segment Volume (sum)
 ==================== 
Filament Segment Volume (sum),Unit,Category,Time,ID,
200.967,µm^3,Filament,1,100000000,
296.549,µm^3,Filament,1,100000001,
569.508,µm^3,Filament,1,100000002,
362.956,µm^3,Filament,1,100000003,
54.6971,µm^3,Filament,1,100000004,
238.305,µm^3,Filament,1,100000005,
