
Filament Length (sum)
 ==================== 
Filament Length (sum),Unit,Category,Time,ID,
352.006,µm,Filament,1,100000000,
519.101,µm,Filament,1,100000001,
784.648,µm,Filament,1,100000002,
555.046,µm,Filament,1,100000003,
103.943,µm,Filament,1,100000004,
360.701,µm,Filament,1,100000005,
