
Soma Intensity Max Ch=6 Img=1
 ==================== 
Soma Intensity Max,Unit,Category,Channel,Image,Time,FilamentID,ID,
320,,Soma,6,Image 1,1,100000000,800000000,
218,,Soma,6,Image 1,1,100000001,800000001,
169,,Soma,6,Image 1,1,100000002,800000002,
36,,Soma,6,Image 1,1,100000003,800000003,
80,,Soma,6,Image 1,1,100000004,800000004,
154,,Soma,6,Image 1,1,100000005,800000005,
