
Spine Terminal Pt Distance from Origin
 ==================== 
Spine Terminal Pt Distance from Origin,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
19476,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,100000002,610000008714,
19454.2,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000000,610000008717,
19436.3,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000000,610000008719,
19447,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000001,610000008722,
19454.8,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000000,610000008727,
19433.7,µm,Spine,Spine Terminal Pt Distance from Origin,11,5,1,100000001,610000008731,
19467.1,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000008735,
19480.7,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,100000000,610000008742,
19460.4,µm,Spine,Spine Terminal Pt Distance from Origin,5,2,1,100000003,610000008747,
19445.3,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,100000002,610000008750,
19453.3,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000001,610000008753,
19450.9,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000000,610000008759,
19435.6,µm,Spine,Spine Terminal Pt Distance from Origin,3,1,1,100000003,610000008762,
19464.8,µm,Spine,Spine Terminal Pt Distance from Origin,5,2,1,100000002,610000008765,
19455.6,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000000,610000008771,
19467.3,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000008773,
19454.5,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000000,610000008783,
19448.6,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000000,610000008787,
19448.2,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000001,610000008791,
19460.7,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000002,610000008794,
19456.3,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000000,610000008804,
19453.2,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000000,610000008808,
19465.2,µm,Spine,Spine Terminal Pt Distance from Origin,7,3,1,100000002,610000008810,
19457,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000000,610000008819,
19462.3,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000000,610000008822,
19467.3,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000008824,
19442.2,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,100000003,610000008827,
19420.3,µm,Spine,Spine Terminal Pt Distance from Origin,5,1,1,100000005,610000008832,
19465.2,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000002,610000008842,
19451.7,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000000,610000008844,
19454.5,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000000,610000008847,
19441.4,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,,610000009090,
19448.3,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000009090,
19456.9,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,,610000009090,
19398.2,µm,Spine,Spine Terminal Pt Distance from Origin,2,3,1,,610000009090,
