
Segment Spine Density
 ==================== 
Segment Spine Density,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,1/10µm,Segment,5,3,1,100000005,510000000045,
0,1/10µm,Segment,4,2,1,100000005,510000000087,
0,1/10µm,Segment,3,2,1,100000005,510000000091,
0,1/10µm,Segment,2,1,1,100000005,510000000098,
0,1/10µm,Segment,1,1,1,100000005,510000000106,
0,1/10µm,Segment,0,1,1,100000005,510000000133,
0,1/10µm,Segment,5,3,1,100000005,510000000190,
0,1/10µm,Segment,4,3,1,100000005,510000000213,
0,1/10µm,Segment,2,2,1,100000005,510000000221,
2.50911,1/10µm,Segment,1,1,1,100000005,510000000239,
0,1/10µm,Segment,0,1,1,100000005,510000000243,
0,1/10µm,Segment,6,4,1,100000005,510000000290,
0,1/10µm,Segment,5,3,1,100000005,510000000298,
0.46513,1/10µm,Segment,4,2,1,100000005,510000000377,
0,1/10µm,Segment,3,1,1,100000005,510000000389,
0,1/10µm,Segment,2,1,1,100000005,510000000392,
0,1/10µm,Segment,1,1,1,100000005,510000000394,
0,1/10µm,Segment,0,1,1,100000005,510000000400,
0,1/10µm,Segment,5,2,1,100000005,510000000413,
0,1/10µm,Segment,7,4,1,100000001,510000000447,
0,1/10µm,Segment,6,3,1,100000001,510000000456,
0,1/10µm,Segment,5,3,1,100000001,510000000466,
0,1/10µm,Segment,4,2,1,100000001,510000000481,
0,1/10µm,Segment,3,1,1,100000001,510000000490,
0,1/10µm,Segment,2,1,1,100000001,510000000508,
10.1985,1/10µm,Segment,1,1,1,100000001,510000000511,
28.993,1/10µm,Segment,0,1,1,100000001,510000000517,
0,1/10µm,Segment,5,4,1,100000000,510000000546,
0,1/10µm,Segment,4,3,1,100000000,510000000551,
0,1/10µm,Segment,3,2,1,100000000,510000000555,
0,1/10µm,Segment,2,2,1,100000000,510000000570,
13.0244,1/10µm,Segment,1,1,1,100000000,510000000575,
17.2011,1/10µm,Segment,0,1,1,100000000,510000000589,
0.833535,1/10µm,Segment,2,2,1,100000000,510000000736,
2.93636,1/10µm,Segment,1,1,1,100000000,510000000744,
0,1/10µm,Segment,0,1,1,100000000,510000000765,
0,1/10µm,Segment,7,6,1,100000003,510000000785,
0.725742,1/10µm,Segment,6,6,1,100000003,510000000823,
1.87283,1/10µm,Segment,5,5,1,100000003,510000000845,
1.28362,1/10µm,Segment,4,4,1,100000003,510000000899,
0,1/10µm,Segment,3,3,1,100000003,510000000933,
0,1/10µm,Segment,2,3,1,100000003,510000000941,
3.82276,1/10µm,Segment,1,2,1,100000003,510000000978,
0,1/10µm,Segment,0,1,1,100000003,510000000980,
0,1/10µm,Segment,7,7,1,100000003,510000001001,
0.61018,1/10µm,Segment,2,2,1,100000004,510000001040,
0,1/10µm,Segment,1,1,1,100000004,510000001089,
0,1/10µm,Segment,0,1,1,100000004,510000001097,
0,1/10µm,Segment,10,5,1,100000001,510000001135,
0,1/10µm,Segment,9,4,1,100000001,510000001137,
0,1/10µm,Segment,8,4,1,100000001,510000001147,
0,1/10µm,Segment,7,3,1,100000001,510000001160,
0,1/10µm,Segment,5,2,1,100000005,510000001207,
0.820384,1/10µm,Segment,0,1,1,100000004,510000001266,
0,1/10µm,Segment,4,3,1,100000003,510000001341,
0,1/10µm,Segment,3,2,1,100000003,510000001347,
0,1/10µm,Segment,2,2,1,100000003,510000001351,
0,1/10µm,Segment,12,6,1,100000001,510000001377,
0.832516,1/10µm,Segment,11,5,1,100000001,510000001408,
0,1/10µm,Segment,10,4,1,100000001,510000001439,
2.17033,1/10µm,Segment,2,2,1,100000005,510000001468,
0.662439,1/10µm,Segment,6,3,1,100000002,510000001526,
0.941189,1/10µm,Segment,5,2,1,100000002,510000001577,
1.23133,1/10µm,Segment,4,2,1,100000002,510000001607,
0,1/10µm,Segment,3,2,1,100000002,510000001611,
3.97371,1/10µm,Segment,2,2,1,100000002,510000001618,
0,1/10µm,Segment,1,2,1,100000002,510000001624,
2.53257,1/10µm,Segment,0,1,1,100000002,510000001647,
0,1/10µm,Segment,4,2,1,100000001,510000001721,
0,1/10µm,Segment,3,1,1,100000001,510000001738,
0,1/10µm,Segment,2,1,1,100000001,510000001747,
0,1/10µm,Segment,1,1,1,100000001,510000001753,
0,1/10µm,Segment,0,1,1,100000001,510000001758,
0,1/10µm,Segment,12,5,1,100000001,510000001804,
0,1/10µm,Segment,1,2,1,100000001,510000001871,
0,1/10µm,Segment,0,1,1,100000001,510000001886,
0,1/10µm,Segment,14,4,1,100000002,510000001906,
0,1/10µm,Segment,13,3,1,100000002,510000001936,
0,1/10µm,Segment,12,2,1,100000002,510000001939,
2.49112,1/10µm,Segment,11,2,1,100000002,510000001954,
0,1/10µm,Segment,10,2,1,100000002,510000001958,
1.89416,1/10µm,Segment,9,2,1,100000002,510000001995,
7.11672,1/10µm,Segment,8,1,1,100000002,510000001998,
0,1/10µm,Segment,7,1,1,100000002,510000002001,
3.95778,1/10µm,Segment,6,1,1,100000002,510000002024,
0,1/10µm,Segment,5,1,1,100000002,510000002026,
0,1/10µm,Segment,4,1,1,100000002,510000002030,
0,1/10µm,Segment,3,1,1,100000002,510000002032,
0,1/10µm,Segment,2,1,1,100000002,510000002036,
6.07282,1/10µm,Segment,1,1,1,100000002,510000002055,
0,1/10µm,Segment,6,5,1,100000005,510000002061,
0,1/10µm,Segment,5,4,1,100000005,510000002076,
0,1/10µm,Segment,4,3,1,100000005,510000002079,
0,1/10µm,Segment,3,3,1,100000005,510000002083,
0,1/10µm,Segment,2,2,1,100000005,510000002103,
0,1/10µm,Segment,3,3,1,100000005,510000002116,
0,1/10µm,Segment,7,4,1,100000002,510000002127,
0,1/10µm,Segment,6,3,1,100000002,510000002184,
