
Soma Intensity Sum Ch=5 Img=1
 ==================== 
Soma Intensity Sum,Unit,Category,Channel,Image,Time,FilamentID,ID,
1.18489e+06,,Soma,5,Image 1,1,100000000,800000000,
1.11448e+06,,Soma,5,Image 1,1,100000001,800000001,
1.192e+06,,Soma,5,Image 1,1,100000002,800000002,
1.04824e+06,,Soma,5,Image 1,1,100000003,800000003,
621767,,Soma,5,Image 1,1,100000004,800000004,
636669,,Soma,5,Image 1,1,100000005,800000005,
