
Spine Neck Mean Diameter
 ==================== 
Spine Neck Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.485611,µm,Spine,2,2,1,100000005,610000008294,
0.485611,µm,Spine,2,2,1,100000005,610000008306,
0.443098,µm,Spine,2,2,1,100000005,610000008317,
0.479167,µm,Spine,4,2,1,100000001,610000008328,
0.525165,µm,Spine,2,2,1,100000003,610000008341,
0.459676,µm,Spine,10,2,1,100000002,610000008349,
0.459676,µm,Spine,10,2,1,100000002,610000008357,
0.463857,µm,Spine,2,1,1,100000004,610000008372,
0.463857,µm,Spine,2,1,1,100000004,610000008386,
0.425094,µm,Spine,9,6,1,100000003,610000008394,
0.538586,µm,Spine,5,3,1,100000003,610000008401,
0.538586,µm,Spine,5,3,1,100000003,610000008408,
0.490704,µm,Spine,5,3,1,100000003,610000008415,
0.475343,µm,Spine,0,1,1,100000004,610000008426,
0.501709,µm,Spine,1,1,1,100000005,610000008431,
0.589193,µm,Spine,13,1,1,100000002,610000008437,
0.468066,µm,Spine,4,1,1,100000001,610000008442,
0.590278,µm,Spine,6,3,1,100000001,610000008449,
0.541667,µm,Spine,6,3,1,100000001,610000008455,
0.429474,µm,Spine,2,2,1,100000004,610000008460,
0.617821,µm,Spine,5,2,1,100000002,610000008468,
0.516914,µm,Spine,8,4,1,100000002,610000008471,
0.704865,µm,Spine,2,2,1,100000000,610000008476,
0.621048,µm,Spine,6,3,1,100000002,610000008483,
0.903395,µm,Spine,1,1,1,100000001,610000008486,
0.538593,µm,Spine,7,2,1,100000003,610000008501,
0.565259,µm,Spine,5,3,1,100000003,610000008507,
0.575749,µm,Spine,6,6,1,100000003,610000008511,
0.625,µm,Spine,1,2,1,100000000,610000008516,
0.620414,µm,Spine,6,1,1,100000003,610000008523,
1.35273,µm,Spine,4,2,1,100000005,610000008527,
0.640677,µm,Spine,5,3,1,100000003,610000008532,
0.655133,µm,Spine,1,1,1,100000002,610000008536,
0.545636,µm,Spine,5,3,1,100000003,610000008539,
0.511522,µm,Spine,6,1,1,100000001,610000008544,
0.515386,µm,Spine,7,2,1,100000003,610000008552,
0.670199,µm,Spine,1,1,1,100000002,610000008555,
0.458177,µm,Spine,0,1,1,100000000,610000008560,
0.705247,µm,Spine,5,3,1,100000002,610000008563,
0.63318,µm,Spine,6,2,1,100000003,610000008569,
0.47073,µm,Spine,0,1,1,100000000,610000008576,
0,µm,Spine,4,2,1,100000005,610000008578,
1.07479,µm,Spine,0,1,1,100000000,610000008584,
0.416802,µm,Spine,0,1,1,100000000,610000008589,
0.456238,µm,Spine,6,4,1,100000002,610000008595,
1.4535,µm,Spine,6,1,1,100000002,610000008600,
0.792874,µm,Spine,0,1,1,100000005,610000008602,
0.544038,µm,Spine,7,2,1,100000003,610000008608,
0.968049,µm,Spine,0,1,1,100000001,610000008616,
0.562485,µm,Spine,0,1,1,100000000,610000008620,
0.807684,µm,Spine,9,4,1,100000002,610000008623,
1.00567,µm,Spine,6,3,1,100000002,610000008626,
0.530781,µm,Spine,6,2,1,100000003,610000008628,
0.855159,µm,Spine,0,1,1,100000000,610000008631,
0.938856,µm,Spine,3,2,1,100000000,610000008634,
0.833333,µm,Spine,8,4,1,100000002,610000008638,
1.34019,µm,Spine,0,1,1,100000000,610000008643,
1.06576,µm,Spine,0,1,1,100000003,610000008647,
1.50595,µm,Spine,1,1,1,100000002,610000008653,
0.889516,µm,Spine,0,1,1,100000001,610000008656,
0,µm,Spine,8,4,1,100000002,610000008659,
0,µm,Spine,0,1,1,100000004,610000008661,
0.773189,µm,Spine,1,1,1,100000003,610000008664,
1.09825,µm,Spine,11,1,1,100000002,610000008668,
0.458493,µm,Spine,0,1,1,100000000,610000008671,
1.03073,µm,Spine,0,1,1,100000001,610000008673,
0.905182,µm,Spine,1,1,1,100000002,610000008676,
0.636377,µm,Spine,1,1,1,100000000,610000008681,
0.42806,µm,Spine,0,1,1,100000000,610000008688,
0.833333,µm,Spine,4,1,1,100000003,610000008691,
0,µm,Spine,0,1,1,100000000,610000008693,
0.725911,µm,Spine,2,2,1,100000002,610000008695,
0.605189,µm,Spine,2,2,1,100000000,610000008699,
1.04167,µm,Spine,5,2,1,100000003,610000008701,
0.68342,µm,Spine,0,1,1,100000000,610000008704,
1.26302,µm,Spine,0,1,1,100000000,610000008712,
0.908315,µm,Spine,2,1,1,100000002,610000008714,
1.04167,µm,Spine,0,1,1,100000000,610000008717,
