
Spine Part Min Diameter Neck
 ==================== 
Spine Part Min Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.416667,µm,Spine,Spine Part Min Diameter,2,2,1,100000005,610000008294,
0.416667,µm,Spine,Spine Part Min Diameter,2,2,1,100000005,610000008306,
0.416667,µm,Spine,Spine Part Min Diameter,2,2,1,100000005,610000008317,
0.416667,µm,Spine,Spine Part Min Diameter,4,2,1,100000001,610000008328,
0.416667,µm,Spine,Spine Part Min Diameter,2,2,1,100000003,610000008341,
0.416667,µm,Spine,Spine Part Min Diameter,10,2,1,100000002,610000008349,
0.416667,µm,Spine,Spine Part Min Diameter,10,2,1,100000002,610000008357,
0.416667,µm,Spine,Spine Part Min Diameter,2,1,1,100000004,610000008372,
0.416667,µm,Spine,Spine Part Min Diameter,2,1,1,100000004,610000008386,
0.416667,µm,Spine,Spine Part Min Diameter,9,6,1,100000003,610000008394,
0.438645,µm,Spine,Spine Part Min Diameter,5,3,1,100000003,610000008401,
0.438645,µm,Spine,Spine Part Min Diameter,5,3,1,100000003,610000008408,
0.438645,µm,Spine,Spine Part Min Diameter,5,3,1,100000003,610000008415,
0.416667,µm,Spine,Spine Part Min Diameter,0,1,1,100000004,610000008426,
0.416667,µm,Spine,Spine Part Min Diameter,1,1,1,100000005,610000008431,
0.416667,µm,Spine,Spine Part Min Diameter,13,1,1,100000002,610000008437,
0.524664,µm,Spine,Spine Part Min Diameter,4,1,1,100000001,610000008442,
0.416667,µm,Spine,Spine Part Min Diameter,6,3,1,100000001,610000008449,
0.416667,µm,Spine,Spine Part Min Diameter,6,3,1,100000001,610000008455,
0.416667,µm,Spine,Spine Part Min Diameter,2,2,1,100000004,610000008460,
0.416667,µm,Spine,Spine Part Min Diameter,5,2,1,100000002,610000008468,
0.416667,µm,Spine,Spine Part Min Diameter,8,4,1,100000002,610000008471,
0.943765,µm,Spine,Spine Part Min Diameter,2,2,1,100000000,610000008476,
0.473083,µm,Spine,Spine Part Min Diameter,6,3,1,100000002,610000008483,
0.832026,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000008486,
0.416667,µm,Spine,Spine Part Min Diameter,7,2,1,100000003,610000008501,
0.558375,µm,Spine,Spine Part Min Diameter,5,3,1,100000003,610000008507,
0,µm,Spine,Spine Part Min Diameter,6,6,1,100000003,610000008511,
0.625,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000008516,
0.457886,µm,Spine,Spine Part Min Diameter,6,1,1,100000003,610000008523,
1.04167,µm,Spine,Spine Part Min Diameter,4,2,1,100000005,610000008527,
0.693359,µm,Spine,Spine Part Min Diameter,5,3,1,100000003,610000008532,
0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000008536,
0.582682,µm,Spine,Spine Part Min Diameter,5,3,1,100000003,610000008539,
0.480808,µm,Spine,Spine Part Min Diameter,6,1,1,100000001,610000008544,
0.582855,µm,Spine,Spine Part Min Diameter,7,2,1,100000003,610000008552,
0.528835,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000008555,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008560,
0.676598,µm,Spine,Spine Part Min Diameter,5,3,1,100000002,610000008563,
0.700711,µm,Spine,Spine Part Min Diameter,6,2,1,100000003,610000008569,
0.416667,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008576,
0,µm,Spine,Spine Part Min Diameter,4,2,1,100000005,610000008578,
0.420778,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008584,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008589,
0.430094,µm,Spine,Spine Part Min Diameter,6,4,1,100000002,610000008595,
0,µm,Spine,Spine Part Min Diameter,6,1,1,100000002,610000008600,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000005,610000008602,
0.575308,µm,Spine,Spine Part Min Diameter,7,2,1,100000003,610000008608,
0.833333,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000008616,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008620,
0.559378,µm,Spine,Spine Part Min Diameter,9,4,1,100000002,610000008623,
0.954298,µm,Spine,Spine Part Min Diameter,6,3,1,100000002,610000008626,
0,µm,Spine,Spine Part Min Diameter,6,2,1,100000003,610000008628,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008631,
0.880546,µm,Spine,Spine Part Min Diameter,3,2,1,100000000,610000008634,
1.18171,µm,Spine,Spine Part Min Diameter,8,4,1,100000002,610000008638,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008643,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000008647,
1.14619,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000008653,
1.04167,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000008656,
0,µm,Spine,Spine Part Min Diameter,8,4,1,100000002,610000008659,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000004,610000008661,
0,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000008664,
0,µm,Spine,Spine Part Min Diameter,11,1,1,100000002,610000008668,
0.455267,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008671,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000008673,
0.753034,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000008676,
0,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000008681,
1.29114,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008688,
0,µm,Spine,Spine Part Min Diameter,4,1,1,100000003,610000008691,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008693,
0,µm,Spine,Spine Part Min Diameter,2,2,1,100000002,610000008695,
0.585378,µm,Spine,Spine Part Min Diameter,2,2,1,100000000,610000008699,
0,µm,Spine,Spine Part Min Diameter,5,2,1,100000003,610000008701,
0.691129,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008704,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008712,
0,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000008714,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008717,
0,µm,Spine,Spine Part Min Diameter,2,2,1,100000000,610000008719,
1.25,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000008722,
0.416667,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008727,
0,µm,Spine,Spine Part Min Diameter,11,5,1,100000001,610000008731,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008733,
1.75837,µm,Spine,Spine Part Min Diameter,6,4,1,100000002,610000008737,
0.691092,µm,Spine,Spine Part Min Diameter,3,2,1,100000000,610000008742,
0.625,µm,Spine,Spine Part Min Diameter,5,2,1,100000003,610000008747,
1.25,µm,Spine,Spine Part Min Diameter,4,2,1,100000002,610000008750,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000008753,
0,µm,Spine,Spine Part Min Diameter,6,4,1,100000002,610000008756,
0.416667,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008759,
0,µm,Spine,Spine Part Min Diameter,3,1,1,100000003,610000008762,
0,µm,Spine,Spine Part Min Diameter,5,2,1,100000002,610000008765,
0,µm,Spine,Spine Part Min Diameter,4,3,1,100000001,610000008768,
0.678094,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008771,
0.939198,µm,Spine,Spine Part Min Diameter,6,4,1,100000002,610000008775,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008783,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008787,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000008791,
0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000008794,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008799,
0,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000008804,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008808,
0,µm,Spine,Spine Part Min Diameter,7,3,1,100000002,610000008810,
0.416667,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000008819,
0,µm,Spine,Spine Part Min Diameter,2,2,1,100000000,610000008822,
0,µm,Spine,Spine Part Min Diameter,6,4,1,100000002,610000008825,
0,µm,Spine,Spine Part Min Diameter,1,2,1,100000003,610000008827,
0,µm,Spine,Spine Part Min Diameter,5,1,1,100000005,610000008832,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000008837,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008839,
0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000008842,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008844,
