
Spine Branch Level
 ==================== 
Spine Branch Level,Unit,Category,Depth,Level,Time,FilamentID,ID,
2,,Spine,2,2,1,100000005,610000008294,
2,,Spine,2,2,1,100000005,610000008306,
2,,Spine,2,2,1,100000005,610000008317,
2,,Spine,4,2,1,100000001,610000008328,
2,,Spine,2,2,1,100000003,610000008341,
2,,Spine,10,2,1,100000002,610000008349,
2,,Spine,10,2,1,100000002,610000008357,
1,,Spine,2,1,1,100000004,610000008372,
1,,Spine,2,1,1,100000004,610000008386,
6,,Spine,9,6,1,100000003,610000008394,
3,,Spine,5,3,1,100000003,610000008401,
3,,Spine,5,3,1,100000003,610000008408,
3,,Spine,5,3,1,100000003,610000008415,
1,,Spine,0,1,1,100000004,610000008426,
1,,Spine,1,1,1,100000005,610000008431,
1,,Spine,13,1,1,100000002,610000008437,
1,,Spine,4,1,1,100000001,610000008442,
3,,Spine,6,3,1,100000001,610000008449,
3,,Spine,6,3,1,100000001,610000008455,
2,,Spine,2,2,1,100000004,610000008460,
2,,Spine,5,2,1,100000002,610000008468,
4,,Spine,8,4,1,100000002,610000008471,
2,,Spine,2,2,1,100000000,610000008476,
3,,Spine,6,3,1,100000002,610000008483,
1,,Spine,1,1,1,100000001,610000008486,
2,,Spine,7,2,1,100000003,610000008501,
3,,Spine,5,3,1,100000003,610000008507,
6,,Spine,6,6,1,100000003,610000008511,
2,,Spine,1,2,1,100000000,610000008516,
1,,Spine,6,1,1,100000003,610000008523,
0,,Spine,4,2,1,100000005,610000008527,
3,,Spine,5,3,1,100000003,610000008532,
1,,Spine,1,1,1,100000002,610000008536,
3,,Spine,5,3,1,100000003,610000008539,
1,,Spine,6,1,1,100000001,610000008544,
2,,Spine,7,2,1,100000003,610000008552,
1,,Spine,1,1,1,100000002,610000008555,
0,,Spine,0,1,1,100000000,610000008560,
3,,Spine,5,3,1,100000002,610000008563,
2,,Spine,6,2,1,100000003,610000008569,
1,,Spine,0,1,1,100000000,610000008576,
0,,Spine,4,2,1,100000005,610000008578,
1,,Spine,0,1,1,100000000,610000008584,
0,,Spine,0,1,1,100000000,610000008589,
0,,Spine,6,4,1,100000002,610000008595,
1,,Spine,6,1,1,100000002,610000008600,
1,,Spine,0,1,1,100000005,610000008602,
2,,Spine,7,2,1,100000003,610000008608,
1,,Spine,0,1,1,100000001,610000008616,
1,,Spine,0,1,1,100000000,610000008620,
4,,Spine,9,4,1,100000002,610000008623,
3,,Spine,6,3,1,100000002,610000008626,
2,,Spine,6,2,1,100000003,610000008628,
1,,Spine,0,1,1,100000000,610000008631,
2,,Spine,3,2,1,100000000,610000008634,
4,,Spine,8,4,1,100000002,610000008638,
1,,Spine,0,1,1,100000000,610000008643,
1,,Spine,0,1,1,100000003,610000008647,
1,,Spine,1,1,1,100000002,610000008653,
1,,Spine,0,1,1,100000001,610000008656,
4,,Spine,8,4,1,100000002,610000008659,
0,,Spine,0,1,1,100000004,610000008661,
1,,Spine,1,1,1,100000003,610000008664,
1,,Spine,11,1,1,100000002,610000008668,
1,,Spine,0,1,1,100000000,610000008671,
1,,Spine,0,1,1,100000001,610000008673,
1,,Spine,1,1,1,100000002,610000008676,
1,,Spine,1,1,1,100000000,610000008681,
0,,Spine,0,1,1,100000000,610000008688,
1,,Spine,4,1,1,100000003,610000008691,
0,,Spine,0,1,1,100000000,610000008693,
2,,Spine,2,2,1,100000002,610000008695,
2,,Spine,2,2,1,100000000,610000008699,
2,,Spine,5,2,1,100000003,610000008701,
1,,Spine,0,1,1,100000000,610000008704,
1,,Spine,0,1,1,100000000,610000008712,
1,,Spine,2,1,1,100000002,610000008714,
1,,Spine,0,1,1,100000000,610000008717,
2,,Spine,2,2,1,100000000,610000008719,
1,,Spine,0,1,1,100000001,610000008722,
1,,Spine,0,1,1,100000000,610000008727,
5,,Spine,11,5,1,100000001,610000008731,
0,,Spine,0,1,1,100000000,610000008733,
0,,Spine,6,4,1,100000002,610000008737,
2,,Spine,3,2,1,100000000,610000008742,
2,,Spine,5,2,1,100000003,610000008747,
2,,Spine,4,2,1,100000002,610000008750,
1,,Spine,0,1,1,100000001,610000008753,
0,,Spine,6,4,1,100000002,610000008756,
1,,Spine,0,1,1,100000000,610000008759,
1,,Spine,3,1,1,100000003,610000008762,
2,,Spine,5,2,1,100000002,610000008765,
0,,Spine,4,3,1,100000001,610000008768,
1,,Spine,0,1,1,100000000,610000008771,
0,,Spine,6,4,1,100000002,610000008775,
1,,Spine,0,1,1,100000000,610000008783,
1,,Spine,0,1,1,100000000,610000008787,
1,,Spine,0,1,1,100000001,610000008791,
1,,Spine,1,1,1,100000002,610000008794,
1,,Spine,0,1,1,100000000,610000008799,
1,,Spine,1,1,1,100000000,610000008804,
1,,Spine,0,1,1,100000000,610000008808,
3,,Spine,7,3,1,100000002,610000008810,
1,,Spine,1,1,1,100000000,610000008819,
2,,Spine,2,2,1,100000000,610000008822,
0,,Spine,6,4,1,100000002,610000008825,
2,,Spine,1,2,1,100000003,610000008827,
1,,Spine,5,1,1,100000005,610000008832,
0,,Spine,0,1,1,100000003,610000008837,
0,,Spine,0,1,1,100000000,610000008839,
1,,Spine,1,1,1,100000002,610000008842,
1,,Spine,0,1,1,100000000,610000008844,
1,,Spine,1,1,1,100000000,610000008847,
0,,Spine,0,1,1,100000000,610000008858,
0,,Spine,0,1,1,100000000,610000008864,
0,,Spine,0,1,1,100000000,610000008883,
1,,Spine,2,1,1,100000000,610000008943,
1,,Spine,2,1,1,100000000,610000008944,
1,,Spine,1,1,1,100000000,610000008945,
2,,Spine,3,2,1,100000000,610000008947,
2,,Spine,3,2,1,100000000,610000008948,
2,,Spine,2,2,1,100000000,610000008949,
2,,Spine,2,2,1,100000000,610000008950,
2,,Spine,2,2,1,100000000,610000008951,
1,,Spine,0,1,1,100000000,610000008952,
1,,Spine,0,1,1,100000000,610000008953,
1,,Spine,0,1,1,100000000,610000008954,
2,,Spine,2,2,1,100000000,610000008955,
2,,Spine,2,2,1,100000000,610000008956,
1,,Spine,1,1,1,100000000,610000008957,
4,,Spine,3,4,1,100000000,610000008958,
4,,Spine,3,4,1,100000000,610000008959,
3,,Spine,3,3,1,100000000,610000008960,
3,,Spine,2,3,1,100000000,610000008961,
3,,Spine,2,3,1,100000000,610000008962,
1,,Spine,1,1,1,100000000,610000008964,
1,,Spine,0,1,1,100000000,610000008966,
1,,Spine,0,1,1,100000000,610000008969,
1,,Spine,0,1,1,100000000,610000008970,
1,,Spine,0,1,1,100000000,610000008971,
1,,Spine,2,1,1,100000001,610000008973,
1,,Spine,0,1,1,100000001,610000008974,
2,,Spine,4,2,1,100000001,610000008975,
2,,Spine,4,2,1,100000001,610000008976,
2,,Spine,5,2,1,100000001,610000008977,
1,,Spine,1,1,1,100000001,610000008978,
1,,Spine,0,1,1,100000001,610000008979,
1,,Spine,0,1,1,100000001,610000008980,
1,,Spine,0,1,1,100000001,610000008981,
2,,Spine,1,2,1,100000001,610000008982,
3,,Spine,6,3,1,100000001,610000008983,
2,,Spine,1,2,1,100000001,610000008984,
2,,Spine,1,2,1,100000001,610000008985,
2,,Spine,4,2,1,100000001,610000008986,
1,,Spine,2,1,1,100000001,610000008987,
3,,Spine,4,3,1,100000001,610000008988,
1,,Spine,0,1,1,100000001,610000008989,
2,,Spine,1,2,1,100000001,610000008991,
1,,Spine,0,1,1,100000001,610000008992,
1,,Spine,0,1,1,100000001,610000008993,
1,,Spine,0,1,1,100000001,610000008994,
1,,Spine,0,1,1,100000001,610000008995,
1,,Spine,0,1,1,100000001,610000008996,
1,,Spine,0,1,1,100000001,610000008997,
2,,Spine,4,2,1,100000002,610000009000,
3,,Spine,13,3,1,100000002,610000009001,
2,,Spine,11,2,1,100000002,610000009002,
2,,Spine,9,2,1,100000002,610000009003,
2,,Spine,9,2,1,100000002,610000009004,
2,,Spine,16,2,1,100000002,610000009005,
2,,Spine,11,2,1,100000002,610000009006,
1,,Spine,10,1,1,100000002,610000009007,
1,,Spine,10,1,1,100000002,610000009008,
1,,Spine,9,1,1,100000002,610000009009,
1,,Spine,9,1,1,100000002,610000009010,
1,,Spine,8,1,1,100000002,610000009011,
1,,Spine,7,1,1,100000002,610000009012,
1,,Spine,7,1,1,100000002,610000009013,
2,,Spine,4,2,1,100000002,610000009014,
2,,Spine,3,2,1,100000002,610000009015,
2,,Spine,2,2,1,100000002,610000009016,
2,,Spine,2,2,1,100000002,610000009017,
1,,Spine,1,1,1,100000002,610000009018,
1,,Spine,1,1,1,100000002,610000009019,
1,,Spine,0,1,1,100000002,610000009020,
4,,Spine,6,4,1,100000002,610000009022,
4,,Spine,8,4,1,100000002,610000009023,
4,,Spine,8,4,1,100000002,610000009024,
3,,Spine,6,3,1,100000002,610000009025,
3,,Spine,5,3,1,100000002,610000009026,
3,,Spine,5,3,1,100000002,610000009027,
3,,Spine,5,3,1,100000002,610000009028,
1,,Spine,3,1,1,100000002,610000009029,
3,,Spine,6,3,1,100000002,610000009030,
2,,Spine,5,2,1,100000002,610000009031,
2,,Spine,4,2,1,100000002,610000009032,
3,,Spine,5,3,1,100000002,610000009033,
2,,Spine,5,2,1,100000002,610000009034,
2,,Spine,5,2,1,100000002,610000009035,
2,,Spine,5,2,1,100000002,610000009036,
2,,Spine,2,2,1,100000002,610000009037,
1,,Spine,1,1,1,100000002,610000009038,
5,,Spine,6,5,1,100000003,610000009040,
5,,Spine,5,5,1,100000003,610000009041,
4,,Spine,4,4,1,100000003,610000009042,
4,,Spine,4,4,1,100000003,610000009043,
6,,Spine,10,6,1,100000003,610000009044,
3,,Spine,4,3,1,100000003,610000009045,
3,,Spine,5,3,1,100000003,610000009046,
2,,Spine,5,2,1,100000003,610000009047,
2,,Spine,1,2,1,100000003,610000009048,
2,,Spine,1,2,1,100000003,610000009049,
2,,Spine,1,2,1,100000003,610000009050,
1,,Spine,0,1,1,100000003,610000009051,
1,,Spine,6,1,1,100000003,610000009052,
2,,Spine,4,2,1,100000003,610000009053,
3,,Spine,5,3,1,100000003,610000009054,
1,,Spine,1,1,1,100000003,610000009055,
2,,Spine,7,2,1,100000003,610000009056,
2,,Spine,7,2,1,100000003,610000009057,
2,,Spine,7,2,1,100000003,610000009058,
2,,Spine,7,2,1,100000003,610000009059,
2,,Spine,6,2,1,100000003,610000009060,
2,,Spine,5,2,1,100000003,610000009061,
2,,Spine,5,2,1,100000003,610000009062,
1,,Spine,3,1,1,100000003,610000009063,
1,,Spine,1,1,1,100000003,610000009064,
2,,Spine,4,2,1,100000003,610000009066,
2,,Spine,2,2,1,100000003,610000009067,
2,,Spine,5,2,1,100000003,610000009068,
2,,Spine,5,2,1,100000003,610000009069,
1,,Spine,4,1,1,100000003,610000009070,
2,,Spine,2,2,1,100000003,610000009072,
2,,Spine,2,2,1,100000003,610000009073,
2,,Spine,1,2,1,100000003,610000009074,
3,,Spine,2,3,1,100000004,610000009075,
1,,Spine,1,1,1,100000005,610000009082,
2,,Spine,4,2,1,100000005,610000009084,
3,,Spine,6,3,1,100000005,610000009085,
2,,Spine,1,2,1,100000005,610000009086,
