
Spine Part Mean Diameter Head
 ==================== 
Spine Part Mean Diameter Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.182812,µm,Spine,Spine Part Mean Diameter,9,5,1,100000002,610000007318,
0.1625,µm,Spine,Spine Part Mean Diameter,7,3,1,100000000,610000007322,
0.182883,µm,Spine,Spine Part Mean Diameter,3,1,1,100000002,610000007325,
0.229994,µm,Spine,Spine Part Mean Diameter,12,3,1,100000003,610000007332,
0.270088,µm,Spine,Spine Part Mean Diameter,12,3,1,100000003,610000007338,
0.199185,µm,Spine,Spine Part Mean Diameter,2,3,1,100000002,610000007341,
0.1625,µm,Spine,Spine Part Mean Diameter,3,1,1,100000002,610000007344,
0.172054,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000007347,
0.1625,µm,Spine,Spine Part Mean Diameter,5,3,1,100000003,610000007350,
0.236536,µm,Spine,Spine Part Mean Diameter,11,4,1,100000002,610000007352,
0.183314,µm,Spine,Spine Part Mean Diameter,11,2,1,100000003,610000007354,
0.1625,µm,Spine,Spine Part Mean Diameter,7,1,1,100000003,610000007357,
0.45851,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007367,
0.18916,µm,Spine,Spine Part Mean Diameter,15,4,1,100000001,610000007369,
0.28992,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007372,
0.172656,µm,Spine,Spine Part Mean Diameter,7,1,1,100000003,610000007375,
0.325,µm,Spine,Spine Part Mean Diameter,3,1,1,100000002,610000007377,
0.1625,µm,Spine,Spine Part Mean Diameter,4,1,1,100000003,610000007381,
0.185701,µm,Spine,Spine Part Mean Diameter,16,4,1,100000001,610000007385,
0.1625,µm,Spine,Spine Part Mean Diameter,4,3,1,100000000,610000007388,
0.177444,µm,Spine,Spine Part Mean Diameter,12,3,1,100000003,610000007391,
0.1625,µm,Spine,Spine Part Mean Diameter,16,3,1,100000001,610000007394,
0.1625,µm,Spine,Spine Part Mean Diameter,10,5,1,100000002,610000007396,
0.1625,µm,Spine,Spine Part Mean Diameter,15,3,1,100000001,610000007398,
0.346641,µm,Spine,Spine Part Mean Diameter,1,1,1,100000000,610000007403,
0.1625,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000007405,
0.362051,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000007409,
0.167578,µm,Spine,Spine Part Mean Diameter,1,1,1,100000002,610000007411,
0.171197,µm,Spine,Spine Part Mean Diameter,5,3,1,100000001,610000007414,
0.213281,µm,Spine,Spine Part Mean Diameter,15,4,1,100000001,610000007417,
0.1625,µm,Spine,Spine Part Mean Diameter,5,4,1,100000003,610000007420,
0.1625,µm,Spine,Spine Part Mean Diameter,1,1,1,100000000,610000007422,
0.191064,µm,Spine,Spine Part Mean Diameter,3,1,1,100000002,610000007424,
0.1625,µm,Spine,Spine Part Mean Diameter,10,3,1,100000001,610000007427,
0.220716,µm,Spine,Spine Part Mean Diameter,11,4,1,100000002,610000007429,
0.183309,µm,Spine,Spine Part Mean Diameter,13,3,1,100000001,610000007432,
0.304567,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000007435,
0.216689,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000007440,
0.215722,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007443,
0.205597,µm,Spine,Spine Part Mean Diameter,16,3,1,100000001,610000007445,
0.1625,µm,Spine,Spine Part Mean Diameter,4,2,1,100000001,610000007447,
0.251161,µm,Spine,Spine Part Mean Diameter,11,4,1,100000002,610000007452,
0.268932,µm,Spine,Spine Part Mean Diameter,17,4,1,100000001,610000007455,
0.1625,µm,Spine,Spine Part Mean Diameter,16,3,1,100000003,610000007457,
0.189521,µm,Spine,Spine Part Mean Diameter,9,5,1,100000002,610000007459,
0.203025,µm,Spine,Spine Part Mean Diameter,7,4,1,100000000,610000007461,
0.198047,µm,Spine,Spine Part Mean Diameter,15,3,1,100000001,610000007464,
