
Filament No. Segment Terminal Pts
 ==================== 
Filament No. Segment Terminal Pts,Unit,Category,Time,ID,
52,,Filament,1,100000000,
94,,Filament,1,100000001,
50,,Filament,1,100000002,
76,,Filament,1,100000003,
