
Soma Center of Image Mass Ch=2 Img=1
 ==================== 
Soma Center of Image Mass X,Soma Center of Image Mass Y,Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
1860.43,20430.4,1464.31,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1827.37,20406.4,1464.42,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1824.34,20421.2,1466.22,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1850.01,20408.8,1462.9,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000003,800000003,
