
Spine Part Length Ground
 ==================== 
Spine Part Length Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.315351,µm,Spine,Spine Part Length,9,5,1,100000002,610000007318,
0.301182,µm,Spine,Spine Part Length,7,3,1,100000000,610000007322,
0.276372,µm,Spine,Spine Part Length,3,1,1,100000002,610000007325,
0.297283,µm,Spine,Spine Part Length,12,3,1,100000003,610000007332,
0.301295,µm,Spine,Spine Part Length,12,3,1,100000003,610000007338,
0.338109,µm,Spine,Spine Part Length,2,3,1,100000002,610000007341,
0.187879,µm,Spine,Spine Part Length,3,1,1,100000002,610000007344,
0.240055,µm,Spine,Spine Part Length,2,2,1,100000000,610000007347,
0.207926,µm,Spine,Spine Part Length,5,3,1,100000003,610000007350,
0.256093,µm,Spine,Spine Part Length,11,4,1,100000002,610000007352,
0.357107,µm,Spine,Spine Part Length,11,2,1,100000003,610000007354,
0.263546,µm,Spine,Spine Part Length,7,1,1,100000003,610000007357,
0.646068,µm,Spine,Spine Part Length,0,1,1,100000000,610000007367,
0.359639,µm,Spine,Spine Part Length,15,4,1,100000001,610000007369,
0.297639,µm,Spine,Spine Part Length,0,1,1,100000000,610000007372,
0.211316,µm,Spine,Spine Part Length,7,1,1,100000003,610000007375,
0.3695,µm,Spine,Spine Part Length,3,1,1,100000002,610000007377,
0.275085,µm,Spine,Spine Part Length,4,1,1,100000003,610000007381,
0.230105,µm,Spine,Spine Part Length,16,4,1,100000001,610000007385,
0.221571,µm,Spine,Spine Part Length,4,3,1,100000000,610000007388,
0.157787,µm,Spine,Spine Part Length,12,3,1,100000003,610000007391,
0.387661,µm,Spine,Spine Part Length,16,3,1,100000001,610000007394,
0.352863,µm,Spine,Spine Part Length,10,5,1,100000002,610000007396,
0.301882,µm,Spine,Spine Part Length,15,3,1,100000001,610000007398,
0.296311,µm,Spine,Spine Part Length,1,1,1,100000000,610000007403,
0.262861,µm,Spine,Spine Part Length,2,2,1,100000001,610000007405,
0.243856,µm,Spine,Spine Part Length,0,1,1,100000001,610000007409,
0.286864,µm,Spine,Spine Part Length,1,1,1,100000002,610000007411,
0.298485,µm,Spine,Spine Part Length,5,3,1,100000001,610000007414,
0.200401,µm,Spine,Spine Part Length,15,4,1,100000001,610000007417,
0.255505,µm,Spine,Spine Part Length,5,4,1,100000003,610000007420,
0.32888,µm,Spine,Spine Part Length,1,1,1,100000000,610000007422,
0.258792,µm,Spine,Spine Part Length,3,1,1,100000002,610000007424,
0.198683,µm,Spine,Spine Part Length,10,3,1,100000001,610000007427,
0.206382,µm,Spine,Spine Part Length,11,4,1,100000002,610000007429,
0.28897,µm,Spine,Spine Part Length,13,3,1,100000001,610000007432,
0.335493,µm,Spine,Spine Part Length,0,1,1,100000001,610000007435,
0.347275,µm,Spine,Spine Part Length,0,1,1,100000001,610000007440,
0.197097,µm,Spine,Spine Part Length,0,1,1,100000000,610000007443,
0.279005,µm,Spine,Spine Part Length,16,3,1,100000001,610000007445,
0.315272,µm,Spine,Spine Part Length,4,2,1,100000001,610000007447,
0.226356,µm,Spine,Spine Part Length,11,4,1,100000002,610000007452,
0.320834,µm,Spine,Spine Part Length,17,4,1,100000001,610000007455,
0.366351,µm,Spine,Spine Part Length,16,3,1,100000003,610000007457,
0.241952,µm,Spine,Spine Part Length,9,5,1,100000002,610000007459,
0.267534,µm,Spine,Spine Part Length,7,4,1,100000000,610000007461,
0.222272,µm,Spine,Spine Part Length,15,3,1,100000001,610000007464,
0.222643,µm,Spine,Spine Part Length,5,4,1,100000002,610000007466,
0.41842,µm,Spine,Spine Part Length,6,2,1,100000003,610000007469,
0.240901,µm,Spine,Spine Part Length,4,1,1,100000002,610000007472,
0.246605,µm,Spine,Spine Part Length,8,3,1,100000003,610000007474,
0.279711,µm,Spine,Spine Part Length,9,5,1,100000002,610000007476,
0.362008,µm,Spine,Spine Part Length,0,1,1,100000001,610000007482,
0.216344,µm,Spine,Spine Part Length,4,1,1,100000003,610000007486,
0.218778,µm,Spine,Spine Part Length,4,2,1,100000002,610000007489,
0.306938,µm,Spine,Spine Part Length,2,1,1,100000003,610000007494,
0.182376,µm,Spine,Spine Part Length,1,1,1,100000003,610000007497,
0.391829,µm,Spine,Spine Part Length,0,1,1,100000000,610000007503,
0.255427,µm,Spine,Spine Part Length,0,1,1,100000000,610000007506,
0.221005,µm,Spine,Spine Part Length,5,2,1,100000002,610000007508,
0.490855,µm,Spine,Spine Part Length,0,1,1,100000000,610000007512,
0.334401,µm,Spine,Spine Part Length,16,3,1,100000001,610000007515,
0.25078,µm,Spine,Spine Part Length,1,2,1,100000003,610000007517,
0.311804,µm,Spine,Spine Part Length,1,1,1,100000003,610000007524,
0.270886,µm,Spine,Spine Part Length,3,2,1,100000001,610000007528,
0.207417,µm,Spine,Spine Part Length,9,4,1,100000002,610000007530,
0.188548,µm,Spine,Spine Part Length,3,3,1,100000000,610000007535,
0.310453,µm,Spine,Spine Part Length,7,1,1,100000003,610000007537,
0.269584,µm,Spine,Spine Part Length,3,1,1,100000002,610000007543,
0.267198,µm,Spine,Spine Part Length,0,1,1,100000000,610000007546,
0.286056,µm,Spine,Spine Part Length,6,2,1,100000001,610000007549,
0.366613,µm,Spine,Spine Part Length,1,1,1,100000003,610000007553,
0.408061,µm,Spine,Spine Part Length,4,1,1,100000002,610000007559,
0.271146,µm,Spine,Spine Part Length,0,1,1,100000001,610000007562,
0.165542,µm,Spine,Spine Part Length,13,8,1,100000000,610000007565,
0.1802,µm,Spine,Spine Part Length,13,2,1,100000003,610000007569,
0.273913,µm,Spine,Spine Part Length,0,1,1,100000000,610000007572,
0.395812,µm,Spine,Spine Part Length,0,1,1,100000000,610000007576,
0.237678,µm,Spine,Spine Part Length,5,2,1,100000003,610000007579,
0.0979743,µm,Spine,Spine Part Length,11,2,1,100000003,610000007581,
0.245327,µm,Spine,Spine Part Length,3,1,1,100000002,610000007583,
0.231513,µm,Spine,Spine Part Length,0,1,1,100000001,610000007588,
0.299683,µm,Spine,Spine Part Length,0,1,1,100000001,610000007591,
0.221198,µm,Spine,Spine Part Length,9,2,1,100000001,610000007596,
0.20341,µm,Spine,Spine Part Length,0,1,1,100000000,610000007599,
