
Intensity Sum of Square Ch=3 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,Set 1,ID,
261113,,Surface,3,Image 1,1,Class B,0,
3.46743e+06,,Surface,3,Image 1,1,Class B,1,
9.43921e+06,,Surface,3,Image 1,1,Class B,2,
2.87205e+07,,Surface,3,Image 1,1,Class B,3,
1.26898e+07,,Surface,3,Image 1,1,,4,
