
Spine Intensity Max Ch=4 Img=1
 ==================== 
Spine Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
113,,Spine,4,9,Image 1,5,1,100000002,610000007318,
109,,Spine,4,7,Image 1,3,1,100000000,610000007322,
128,,Spine,4,3,Image 1,1,1,100000002,610000007325,
128,,Spine,4,12,Image 1,3,1,100000003,610000007332,
128,,Spine,4,12,Image 1,3,1,100000003,610000007338,
48,,Spine,4,2,Image 1,3,1,100000002,610000007341,
145,,Spine,4,3,Image 1,1,1,100000002,610000007344,
154,,Spine,4,2,Image 1,2,1,100000000,610000007347,
175,,Spine,4,5,Image 1,3,1,100000003,610000007350,
90,,Spine,4,11,Image 1,4,1,100000002,610000007352,
124,,Spine,4,11,Image 1,2,1,100000003,610000007354,
159,,Spine,4,7,Image 1,1,1,100000003,610000007357,
170,,Spine,4,0,Image 1,1,1,100000000,610000007367,
55,,Spine,4,15,Image 1,4,1,100000001,610000007369,
159,,Spine,4,0,Image 1,1,1,100000000,610000007372,
149,,Spine,4,7,Image 1,1,1,100000003,610000007375,
52,,Spine,4,4,Image 1,2,1,100000002,610000007377,
140,,Spine,4,4,Image 1,1,1,100000003,610000007381,
116,,Spine,4,16,Image 1,4,1,100000001,610000007385,
141,,Spine,4,4,Image 1,3,1,100000000,610000007388,
129,,Spine,4,12,Image 1,3,1,100000003,610000007391,
100,,Spine,4,16,Image 1,3,1,100000001,610000007394,
114,,Spine,4,10,Image 1,5,1,100000002,610000007396,
70,,Spine,4,15,Image 1,3,1,100000001,610000007398,
111,,Spine,4,1,Image 1,1,1,100000000,610000007403,
128,,Spine,4,2,Image 1,2,1,100000001,610000007405,
151,,Spine,4,0,Image 1,1,1,100000001,610000007409,
87,,Spine,4,1,Image 1,1,1,100000002,610000007411,
99,,Spine,4,5,Image 1,3,1,100000001,610000007414,
120,,Spine,4,15,Image 1,4,1,100000001,610000007417,
146,,Spine,4,5,Image 1,4,1,100000003,610000007420,
92,,Spine,4,1,Image 1,1,1,100000000,610000007422,
59,,Spine,4,4,Image 1,2,1,100000002,610000007424,
115,,Spine,4,10,Image 1,3,1,100000001,610000007427,
142,,Spine,4,11,Image 1,4,1,100000002,610000007429,
123,,Spine,4,13,Image 1,3,1,100000001,610000007432,
144,,Spine,4,0,Image 1,1,1,100000001,610000007435,
129,,Spine,4,0,Image 1,1,1,100000001,610000007440,
101,,Spine,4,0,Image 1,1,1,100000000,610000007443,
118,,Spine,4,16,Image 1,3,1,100000001,610000007445,
98,,Spine,4,4,Image 1,2,1,100000001,610000007447,
148,,Spine,4,11,Image 1,4,1,100000002,610000007452,
88,,Spine,4,17,Image 1,4,1,100000001,610000007455,
96,,Spine,4,16,Image 1,3,1,100000003,610000007457,
63,,Spine,4,9,Image 1,5,1,100000002,610000007459,
120,,Spine,4,7,Image 1,4,1,100000000,610000007461,
73,,Spine,4,15,Image 1,3,1,100000001,610000007464,
112,,Spine,4,5,Image 1,4,1,100000002,610000007466,
95,,Spine,4,6,Image 1,2,1,100000003,610000007469,
132,,Spine,4,4,Image 1,1,1,100000002,610000007472,
84,,Spine,4,8,Image 1,3,1,100000003,610000007474,
143,,Spine,4,9,Image 1,5,1,100000002,610000007476,
160,,Spine,4,0,Image 1,1,1,100000001,610000007482,
128,,Spine,4,4,Image 1,1,1,100000003,610000007486,
110,,Spine,4,4,Image 1,2,1,100000002,610000007489,
182,,Spine,4,2,Image 1,1,1,100000003,610000007494,
186,,Spine,4,1,Image 1,1,1,100000003,610000007497,
123,,Spine,4,0,Image 1,1,1,100000000,610000007503,
99,,Spine,4,0,Image 1,1,1,100000000,610000007506,
115,,Spine,4,5,Image 1,2,1,100000002,610000007508,
170,,Spine,4,0,Image 1,1,1,100000000,610000007512,
100,,Spine,4,16,Image 1,3,1,100000001,610000007515,
178,,Spine,4,1,Image 1,2,1,100000003,610000007517,
176,,Spine,4,1,Image 1,1,1,100000003,610000007524,
135,,Spine,4,3,Image 1,2,1,100000001,610000007528,
79,,Spine,4,9,Image 1,4,1,100000002,610000007530,
134,,Spine,4,3,Image 1,3,1,100000000,610000007535,
148,,Spine,4,7,Image 1,1,1,100000003,610000007537,
149,,Spine,4,4,Image 1,2,1,100000002,610000007543,
135,,Spine,4,0,Image 1,1,1,100000000,610000007546,
96,,Spine,4,6,Image 1,2,1,100000001,610000007549,
182,,Spine,4,1,Image 1,1,1,100000003,610000007553,
192,,Spine,4,4,Image 1,1,1,100000002,610000007559,
159,,Spine,4,0,Image 1,1,1,100000001,610000007562,
97,,Spine,4,13,Image 1,8,1,100000000,610000007565,
126,,Spine,4,13,Image 1,2,1,100000003,610000007569,
112,,Spine,4,0,Image 1,1,1,100000000,610000007572,
137,,Spine,4,0,Image 1,1,1,100000000,610000007576,
150,,Spine,4,5,Image 1,2,1,100000003,610000007579,
137,,Spine,4,11,Image 1,2,1,100000003,610000007581,
77,,Spine,4,4,Image 1,2,1,100000002,610000007583,
160,,Spine,4,0,Image 1,1,1,100000001,610000007588,
151,,Spine,4,0,Image 1,1,1,100000001,610000007591,
115,,Spine,4,9,Image 1,2,1,100000001,610000007596,
151,,Spine,4,0,Image 1,1,1,100000000,610000007599,
140,,Spine,4,5,Image 1,3,1,100000003,610000007601,
111,,Spine,4,1,Image 1,1,1,100000000,610000007604,
150,,Spine,4,1,Image 1,2,1,100000002,610000007607,
166,,Spine,4,1,Image 1,1,1,100000003,610000007610,
108,,Spine,4,0,Image 1,1,1,100000000,610000007613,
93,,Spine,4,0,Image 1,1,1,100000000,610000007615,
126,,Spine,4,4,Image 1,2,1,100000001,610000007619,
114,,Spine,4,11,Image 1,4,1,100000000,610000007621,
192,,Spine,4,4,Image 1,1,1,100000002,610000007624,
124,,Spine,4,5,Image 1,3,1,100000003,610000007627,
187,,Spine,4,1,Image 1,1,1,100000003,610000007632,
166,,Spine,4,1,Image 1,1,1,100000003,610000007635,
132,,Spine,4,8,Image 1,3,1,100000003,610000007637,
176,,Spine,4,4,Image 1,1,1,100000003,610000007639,
132,,Spine,4,1,Image 1,1,1,100000003,610000007641,
176,,Spine,4,1,Image 1,1,1,100000003,610000007645,
160,,Spine,4,5,Image 1,1,1,100000002,610000007649,
118,,Spine,4,1,Image 1,1,1,100000003,610000007653,
137,,Spine,4,0,Image 1,1,1,100000002,610000007656,
140,,Spine,4,4,Image 1,1,1,100000003,610000007661,
146,,Spine,4,0,Image 1,1,1,100000001,610000007665,
165,,Spine,4,7,Image 1,3,1,100000001,610000007670,
171,,Spine,4,1,Image 1,1,1,100000003,610000007673,
79,,Spine,4,7,Image 1,3,1,100000003,610000007675,
182,,Spine,4,2,Image 1,1,1,100000003,610000007678,
155,,Spine,4,4,Image 1,2,1,100000002,610000007684,
125,,Spine,4,0,Image 1,1,1,100000000,610000007687,
114,,Spine,4,0,Image 1,1,1,100000000,610000007691,
144,,Spine,4,0,Image 1,1,1,100000001,610000007695,
106,,Spine,4,0,Image 1,1,1,100000000,610000007697,
111,,Spine,4,13,Image 1,4,1,100000001,610000007701,
139,,Spine,4,0,Image 1,1,1,100000000,610000007704,
143,,Spine,4,11,Image 1,2,1,100000001,610000007707,
178,,Spine,4,1,Image 1,2,1,100000003,610000007712,
188,,Spine,4,1,Image 1,1,1,100000003,610000007716,
79,,Spine,4,14,Image 1,4,1,100000001,610000007719,
124,,Spine,4,18,Image 1,4,1,100000003,610000007722,
164,,Spine,4,0,Image 1,1,1,100000000,610000007726,
104,,Spine,4,1,Image 1,1,1,100000000,610000007729,
171,,Spine,4,1,Image 1,1,1,100000003,610000007733,
106,,Spine,4,0,Image 1,1,1,100000000,610000007735,
150,,Spine,4,0,Image 1,1,1,100000001,610000007737,
129,,Spine,4,0,Image 1,1,1,100000001,610000007740,
169,,Spine,4,1,Image 1,1,1,100000000,610000007743,
182,,Spine,4,1,Image 1,1,1,100000003,610000007746,
130,,Spine,4,1,Image 1,1,1,100000003,610000007750,
172,,Spine,4,1,Image 1,1,1,100000003,610000007754,
135,,Spine,4,16,Image 1,4,1,100000001,610000007758,
173,,Spine,4,1,Image 1,1,1,100000003,610000007761,
161,,Spine,4,1,Image 1,1,1,100000003,610000007765,
144,,Spine,4,5,Image 1,3,1,100000003,610000007774,
185,,Spine,4,2,Image 1,1,1,100000000,610000007778,
111,,Spine,4,13,Image 1,4,1,100000001,610000007780,
123,,Spine,4,0,Image 1,1,1,100000000,610000007782,
135,,Spine,4,3,Image 1,2,1,100000001,610000007787,
114,,Spine,4,11,Image 1,3,1,100000001,610000007792,
182,,Spine,4,1,Image 1,1,1,100000003,610000007794,
144,,Spine,4,5,Image 1,3,1,100000003,610000007799,
156,,Spine,4,3,Image 1,2,1,100000001,610000007802,
176,,Spine,4,1,Image 1,1,1,100000003,610000007808,
190,,Spine,4,1,Image 1,1,1,100000003,610000007812,
141,,Spine,4,0,Image 1,1,1,100000000,610000007817,
123,,Spine,4,0,Image 1,1,1,100000000,610000007819,
174,,Spine,4,1,Image 1,1,1,100000003,610000007822,
150,,Spine,4,1,Image 1,2,1,100000002,610000007826,
182,,Spine,4,1,Image 1,1,1,100000003,610000007829,
156,,Spine,4,3,Image 1,2,1,100000003,610000007836,
137,,Spine,4,0,Image 1,1,1,100000000,610000007848,
160,,Spine,4,0,Image 1,1,1,100000001,610000007860,
164,,Spine,4,3,Image 1,1,1,100000003,610000007869,
108,,Spine,4,0,Image 1,1,1,100000000,610000007875,
132,,Spine,4,7,Image 1,5,1,100000000,610000007954,
90,,Spine,4,13,Image 1,7,1,100000000,610000007955,
98,,Spine,4,12,Image 1,7,1,100000000,610000007956,
135,,Spine,4,8,Image 1,4,1,100000000,610000007957,
120,,Spine,4,7,Image 1,4,1,100000000,610000007958,
120,,Spine,4,7,Image 1,4,1,100000000,610000007959,
148,,Spine,4,6,Image 1,4,1,100000000,610000007960,
60,,Spine,4,5,Image 1,5,1,100000000,610000007961,
92,,Spine,4,3,Image 1,3,1,100000000,610000007962,
134,,Spine,4,3,Image 1,3,1,100000000,610000007963,
134,,Spine,4,3,Image 1,3,1,100000000,610000007964,
74,,Spine,4,1,Image 1,2,1,100000000,610000007965,
111,,Spine,4,1,Image 1,1,1,100000000,610000007966,
111,,Spine,4,1,Image 1,1,1,100000000,610000007967,
102,,Spine,4,0,Image 1,1,1,100000000,610000007969,
106,,Spine,4,4,Image 1,4,1,100000000,610000007972,
145,,Spine,4,4,Image 1,3,1,100000000,610000007973,
70,,Spine,4,0,Image 1,1,1,100000000,610000007975,
91,,Spine,4,0,Image 1,1,1,100000000,610000007976,
124,,Spine,4,0,Image 1,1,1,100000000,610000007977,
102,,Spine,4,2,Image 1,2,1,100000000,610000007978,
74,,Spine,4,2,Image 1,2,1,100000000,610000007979,
172,,Spine,4,1,Image 1,1,1,100000000,610000007980,
104,,Spine,4,1,Image 1,1,1,100000000,610000007982,
122,,Spine,4,0,Image 1,1,1,100000000,610000007983,
141,,Spine,4,0,Image 1,1,1,100000000,610000007984,
87,,Spine,4,0,Image 1,1,1,100000000,610000007985,
123,,Spine,4,0,Image 1,1,1,100000000,610000007986,
139,,Spine,4,0,Image 1,1,1,100000000,610000007990,
68,,Spine,4,20,Image 1,4,1,100000001,610000007994,
103,,Spine,4,20,Image 1,4,1,100000001,610000007995,
106,,Spine,4,19,Image 1,5,1,100000001,610000007996,
73,,Spine,4,15,Image 1,3,1,100000001,610000007997,
121,,Spine,4,16,Image 1,4,1,100000001,610000007998,
92,,Spine,4,13,Image 1,2,1,100000001,610000007999,
92,,Spine,4,13,Image 1,2,1,100000001,610000008000,
109,,Spine,4,12,Image 1,3,1,100000001,610000008001,
142,,Spine,4,11,Image 1,3,1,100000001,610000008002,
118,,Spine,4,15,Image 1,3,1,100000001,610000008003,
100,,Spine,4,11,Image 1,3,1,100000001,610000008004,
136,,Spine,4,11,Image 1,3,1,100000001,610000008005,
156,,Spine,4,8,Image 1,2,1,100000001,610000008006,
117,,Spine,4,6,Image 1,2,1,100000001,610000008007,
80,,Spine,4,7,Image 1,3,1,100000001,610000008008,
108,,Spine,4,7,Image 1,3,1,100000001,610000008009,
73,,Spine,4,7,Image 1,4,1,100000001,610000008010,
