
Spine Straightness
 ==================== 
Spine Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.970396,,Spine,9,5,1,100000002,610000007318,
0.987152,,Spine,7,3,1,100000000,610000007322,
0.994406,,Spine,3,1,1,100000002,610000007325,
0.971199,,Spine,12,3,1,100000003,610000007332,
0.943646,,Spine,12,3,1,100000003,610000007338,
0.90441,,Spine,2,3,1,100000002,610000007341,
0.998835,,Spine,3,1,1,100000002,610000007344,
0.991686,,Spine,2,2,1,100000000,610000007347,
0.998372,,Spine,5,3,1,100000003,610000007350,
0.988551,,Spine,11,4,1,100000002,610000007352,
0.993383,,Spine,11,2,1,100000003,610000007354,
0.979945,,Spine,7,1,1,100000003,610000007357,
0.855001,,Spine,0,1,1,100000000,610000007367,
0.962341,,Spine,15,4,1,100000001,610000007369,
0.998092,,Spine,0,1,1,100000000,610000007372,
0.99313,,Spine,7,1,1,100000003,610000007375,
1,,Spine,3,1,1,100000002,610000007377,
0.963198,,Spine,4,1,1,100000003,610000007381,
0.996519,,Spine,16,4,1,100000001,610000007385,
0.991184,,Spine,4,3,1,100000000,610000007388,
0.993227,,Spine,12,3,1,100000003,610000007391,
0.994494,,Spine,16,3,1,100000001,610000007394,
0.997818,,Spine,10,5,1,100000002,610000007396,
0.98934,,Spine,15,3,1,100000001,610000007398,
0.91324,,Spine,1,1,1,100000000,610000007403,
0.998428,,Spine,2,2,1,100000001,610000007405,
0.952315,,Spine,0,1,1,100000001,610000007409,
0.99932,,Spine,1,1,1,100000002,610000007411,
0.907959,,Spine,5,3,1,100000001,610000007414,
0.988657,,Spine,15,4,1,100000001,610000007417,
0.968904,,Spine,5,4,1,100000003,610000007420,
0.994145,,Spine,1,1,1,100000000,610000007422,
1,,Spine,3,1,1,100000002,610000007424,
0.98891,,Spine,10,3,1,100000001,610000007427,
0.964195,,Spine,11,4,1,100000002,610000007429,
0.984096,,Spine,13,3,1,100000001,610000007432,
0.957622,,Spine,0,1,1,100000001,610000007435,
0.869912,,Spine,0,1,1,100000001,610000007440,
0.934578,,Spine,0,1,1,100000000,610000007443,
0.992634,,Spine,16,3,1,100000001,610000007445,
0.988929,,Spine,4,2,1,100000001,610000007447,
0.977053,,Spine,11,4,1,100000002,610000007452,
0.997098,,Spine,17,4,1,100000001,610000007455,
0.99698,,Spine,16,3,1,100000003,610000007457,
0.995267,,Spine,9,5,1,100000002,610000007459,
0.986598,,Spine,7,4,1,100000000,610000007461,
0.997855,,Spine,15,3,1,100000001,610000007464,
0.993791,,Spine,5,4,1,100000002,610000007466,
0.977784,,Spine,6,2,1,100000003,610000007469,
0.994741,,Spine,4,1,1,100000002,610000007472,
0.997552,,Spine,8,3,1,100000003,610000007474,
0.995327,,Spine,9,5,1,100000002,610000007476,
0.959222,,Spine,0,1,1,100000001,610000007482,
0.990876,,Spine,4,1,1,100000003,610000007486,
0.99378,,Spine,4,2,1,100000002,610000007489,
0.958134,,Spine,2,1,1,100000003,610000007494,
0.991867,,Spine,1,1,1,100000003,610000007497,
0.90691,,Spine,0,1,1,100000000,610000007503,
0.996988,,Spine,0,1,1,100000000,610000007506,
0.92044,,Spine,5,2,1,100000002,610000007508,
0.957434,,Spine,0,1,1,100000000,610000007512,
0.999504,,Spine,16,3,1,100000001,610000007515,
0.999149,,Spine,1,2,1,100000003,610000007517,
0.870359,,Spine,1,1,1,100000003,610000007524,
0.99553,,Spine,3,2,1,100000001,610000007528,
0.986643,,Spine,9,4,1,100000002,610000007530,
0.986266,,Spine,3,3,1,100000000,610000007535,
0.999189,,Spine,7,1,1,100000003,610000007537,
1,,Spine,3,1,1,100000002,610000007543,
0.973814,,Spine,0,1,1,100000000,610000007546,
0.999644,,Spine,6,2,1,100000001,610000007549,
0.937205,,Spine,1,1,1,100000003,610000007553,
0.937687,,Spine,4,1,1,100000002,610000007559,
0.995339,,Spine,0,1,1,100000001,610000007562,
0.997724,,Spine,13,8,1,100000000,610000007565,
0.996752,,Spine,13,2,1,100000003,610000007569,
0.98291,,Spine,0,1,1,100000000,610000007572,
0.998456,,Spine,0,1,1,100000000,610000007576,
0.997406,,Spine,5,2,1,100000003,610000007579,
0.97964,,Spine,11,2,1,100000003,610000007581,
1,,Spine,3,1,1,100000002,610000007583,
0.982844,,Spine,0,1,1,100000001,610000007588,
0.98338,,Spine,0,1,1,100000001,610000007591,
0.993002,,Spine,9,2,1,100000001,610000007596,
0.92375,,Spine,0,1,1,100000000,610000007599,
0.997394,,Spine,5,3,1,100000003,610000007601,
0.956545,,Spine,1,1,1,100000000,610000007604,
0.975607,,Spine,1,2,1,100000002,610000007607,
0.957892,,Spine,1,1,1,100000003,610000007610,
0.998014,,Spine,0,1,1,100000000,610000007613,
1,,Spine,0,1,1,100000000,610000007615,
0.980534,,Spine,4,2,1,100000001,610000007619,
0.995711,,Spine,11,4,1,100000000,610000007621,
0.966802,,Spine,4,1,1,100000002,610000007624,
0.970813,,Spine,5,3,1,100000003,610000007627,
0.992633,,Spine,1,1,1,100000003,610000007632,
0.953591,,Spine,1,1,1,100000003,610000007635,
0.988159,,Spine,8,3,1,100000003,610000007637,
0.997866,,Spine,4,1,1,100000003,610000007639,
0.998968,,Spine,1,1,1,100000003,610000007641,
0.978352,,Spine,1,1,1,100000003,610000007645,
0.999427,,Spine,5,1,1,100000002,610000007649,
1,,Spine,1,1,1,100000003,610000007653,
0.997815,,Spine,0,1,1,100000002,610000007656,
0.994498,,Spine,4,1,1,100000003,610000007661,
0.989511,,Spine,0,1,1,100000001,610000007665,
0.995062,,Spine,7,3,1,100000001,610000007670,
0.987436,,Spine,1,1,1,100000003,610000007673,
0.980605,,Spine,7,3,1,100000003,610000007675,
0.990722,,Spine,2,1,1,100000003,610000007678,
0.997848,,Spine,3,1,1,100000002,610000007684,
0.946853,,Spine,0,1,1,100000000,610000007687,
0.999487,,Spine,0,1,1,100000000,610000007691,
1,,Spine,0,1,1,100000001,610000007695,
1,,Spine,0,1,1,100000000,610000007697,
0.977488,,Spine,13,4,1,100000001,610000007701,
0.984744,,Spine,0,1,1,100000000,610000007704,
0.999499,,Spine,11,2,1,100000001,610000007707,
0.983036,,Spine,1,2,1,100000003,610000007712,
0.994192,,Spine,1,1,1,100000003,610000007716,
0.998873,,Spine,14,4,1,100000001,610000007719,
0.998565,,Spine,18,4,1,100000003,610000007722,
1,,Spine,0,1,1,100000000,610000007726,
0.982967,,Spine,1,1,1,100000000,610000007729,
0.983128,,Spine,1,1,1,100000003,610000007733,
1,,Spine,0,1,1,100000000,610000007735,
1,,Spine,0,1,1,100000001,610000007737,
0.998442,,Spine,0,1,1,100000001,610000007740,
0.982854,,Spine,1,1,1,100000000,610000007743,
0.988623,,Spine,1,1,1,100000003,610000007746,
1,,Spine,1,1,1,100000003,610000007750,
0.931466,,Spine,1,1,1,100000003,610000007754,
0.989022,,Spine,16,4,1,100000001,610000007758,
0.976166,,Spine,1,1,1,100000003,610000007761,
0.986649,,Spine,1,1,1,100000003,610000007765,
0.974214,,Spine,5,3,1,100000003,610000007774,
0.993587,,Spine,2,1,1,100000000,610000007778,
0.98798,,Spine,13,4,1,100000001,610000007780,
0.984992,,Spine,0,1,1,100000000,610000007782,
0.987932,,Spine,3,2,1,100000001,610000007787,
0.987959,,Spine,11,3,1,100000001,610000007792,
0.962891,,Spine,1,1,1,100000003,610000007794,
0.953451,,Spine,5,3,1,100000003,610000007799,
0.995067,,Spine,3,2,1,100000001,610000007802,
0.929644,,Spine,1,1,1,100000003,610000007808,
1,,Spine,1,1,1,100000003,610000007812,
1,,Spine,0,1,1,100000000,610000007817,
0.967661,,Spine,0,1,1,100000000,610000007819,
0.958531,,Spine,1,1,1,100000003,610000007822,
0.981634,,Spine,1,2,1,100000002,610000007826,
0.973292,,Spine,1,1,1,100000003,610000007829,
0.996509,,Spine,3,2,1,100000003,610000007836,
1,,Spine,0,1,1,100000000,610000007848,
1,,Spine,0,1,1,100000001,610000007860,
0.994407,,Spine,3,1,1,100000003,610000007869,
1,,Spine,0,1,1,100000000,610000007875,
1,,Spine,7,5,1,100000000,610000007954,
1,,Spine,13,7,1,100000000,610000007955,
1,,Spine,12,7,1,100000000,610000007956,
1,,Spine,8,4,1,100000000,610000007957,
1,,Spine,7,4,1,100000000,610000007958,
1,,Spine,7,4,1,100000000,610000007959,
1,,Spine,6,4,1,100000000,610000007960,
1,,Spine,5,5,1,100000000,610000007961,
1,,Spine,3,3,1,100000000,610000007962,
1,,Spine,3,3,1,100000000,610000007963,
1,,Spine,3,3,1,100000000,610000007964,
1,,Spine,1,2,1,100000000,610000007965,
1,,Spine,1,1,1,100000000,610000007966,
1,,Spine,1,1,1,100000000,610000007967,
1,,Spine,0,1,1,100000000,610000007969,
1,,Spine,4,4,1,100000000,610000007972,
1,,Spine,4,3,1,100000000,610000007973,
1,,Spine,0,1,1,100000000,610000007975,
1,,Spine,0,1,1,100000000,610000007976,
1,,Spine,0,1,1,100000000,610000007977,
1,,Spine,2,2,1,100000000,610000007978,
1,,Spine,2,2,1,100000000,610000007979,
1,,Spine,1,1,1,100000000,610000007980,
1,,Spine,1,1,1,100000000,610000007982,
1,,Spine,0,1,1,100000000,610000007983,
1,,Spine,0,1,1,100000000,610000007984,
1,,Spine,0,1,1,100000000,610000007985,
1,,Spine,0,1,1,100000000,610000007986,
1,,Spine,0,1,1,100000000,610000007990,
1,,Spine,20,4,1,100000001,610000007994,
1,,Spine,20,4,1,100000001,610000007995,
1,,Spine,19,5,1,100000001,610000007996,
1,,Spine,15,3,1,100000001,610000007997,
1,,Spine,16,4,1,100000001,610000007998,
1,,Spine,13,2,1,100000001,610000007999,
1,,Spine,13,2,1,100000001,610000008000,
1,,Spine,12,3,1,100000001,610000008001,
1,,Spine,11,3,1,100000001,610000008002,
1,,Spine,15,3,1,100000001,610000008003,
1,,Spine,11,3,1,100000001,610000008004,
1,,Spine,11,3,1,100000001,610000008005,
1,,Spine,8,2,1,100000001,610000008006,
1,,Spine,6,2,1,100000001,610000008007,
1,,Spine,7,3,1,100000001,610000008008,
1,,Spine,7,3,1,100000001,610000008009,
1,,Spine,7,4,1,100000001,610000008010,
1,,Spine,5,2,1,100000001,610000008011,
1,,Spine,4,3,1,100000001,610000008012,
1,,Spine,19,5,1,100000001,610000008013,
1,,Spine,17,4,1,100000001,610000008014,
1,,Spine,17,4,1,100000001,610000008015,
1,,Spine,14,3,1,100000001,610000008016,
1,,Spine,11,4,1,100000001,610000008017,
1,,Spine,14,4,1,100000001,610000008018,
1,,Spine,15,3,1,100000001,610000008019,
1,,Spine,15,3,1,100000001,610000008020,
1,,Spine,12,3,1,100000001,610000008021,
1,,Spine,18,5,1,100000001,610000008022,
1,,Spine,16,3,1,100000001,610000008023,
1,,Spine,16,3,1,100000001,610000008024,
1,,Spine,13,3,1,100000001,610000008025,
1,,Spine,11,4,1,100000001,610000008026,
1,,Spine,9,2,1,100000001,610000008027,
1,,Spine,7,2,1,100000001,610000008028,
1,,Spine,7,3,1,100000001,610000008029,
1,,Spine,7,3,1,100000001,610000008030,
1,,Spine,6,2,1,100000001,610000008031,
1,,Spine,5,2,1,100000001,610000008032,
1,,Spine,5,2,1,100000001,610000008033,
1,,Spine,6,2,1,100000001,610000008034,
1,,Spine,6,2,1,100000001,610000008035,
1,,Spine,6,2,1,100000001,610000008036,
1,,Spine,4,2,1,100000001,610000008037,
1,,Spine,4,2,1,100000001,610000008038,
1,,Spine,6,4,1,100000001,610000008039,
1,,Spine,5,4,1,100000001,610000008040,
1,,Spine,5,4,1,100000001,610000008041,
1,,Spine,4,2,1,100000001,610000008042,
1,,Spine,4,2,1,100000001,610000008043,
1,,Spine,4,2,1,100000001,610000008044,
1,,Spine,3,2,1,100000001,610000008045,
1,,Spine,3,2,1,100000001,610000008046,
1,,Spine,3,3,1,100000001,610000008047,
1,,Spine,0,1,1,100000001,610000008048,
1,,Spine,0,1,1,100000001,610000008053,
1,,Spine,1,1,1,100000001,610000008056,
1,,Spine,1,1,1,100000002,610000008058,
1,,Spine,1,1,1,100000002,610000008059,
1,,Spine,1,2,1,100000002,610000008060,
1,,Spine,8,4,1,100000002,610000008063,
1,,Spine,5,3,1,100000002,610000008064,
1,,Spine,6,3,1,100000002,610000008065,
1,,Spine,6,3,1,100000002,610000008066,
1,,Spine,5,2,1,100000002,610000008067,
1,,Spine,7,1,1,100000002,610000008068,
1,,Spine,5,1,1,100000002,610000008069,
1,,Spine,5,2,1,100000002,610000008070,
1,,Spine,4,1,1,100000002,610000008071,
1,,Spine,4,1,1,100000002,610000008072,
1,,Spine,4,1,1,100000002,610000008073,
1,,Spine,6,2,1,100000002,610000008074,
1,,Spine,1,1,1,100000002,610000008075,
1,,Spine,1,1,1,100000002,610000008076,
1,,Spine,1,2,1,100000002,610000008077,
1,,Spine,12,6,1,100000002,610000008079,
1,,Spine,11,4,1,100000002,610000008080,
1,,Spine,10,5,1,100000002,610000008081,
1,,Spine,10,5,1,100000002,610000008082,
1,,Spine,10,5,1,100000002,610000008083,
1,,Spine,10,5,1,100000002,610000008084,
1,,Spine,10,4,1,100000002,610000008085,
1,,Spine,7,4,1,100000002,610000008086,
1,,Spine,5,3,1,100000002,610000008087,
1,,Spine,5,2,1,100000002,610000008088,
1,,Spine,4,2,1,100000002,610000008089,
1,,Spine,1,2,1,100000002,610000008090,
1,,Spine,3,1,1,100000002,610000008091,
1,,Spine,3,1,1,100000002,610000008092,
1,,Spine,3,1,1,100000002,610000008093,
